ottimo;316;adj
locale;304;adj
buono;290;adj
prezzo;213;nom
qualità;189;nom
servizio;165;nom
pizza;165;nom
piatto;165;nom
primo;146;adj
personale;145;adj
romano;133;adj
cibo;115;nom
ristorante;104;nom
gentile;99;adj
consiglio;95;nom
cena;91;nom
cucina;89;nom
vino;87;nom
tavolo;84;nom
scelta;82;nom
dolce;80;adj
amico;74;nom
buonissimo;70;adj
solo;69;adj
pranzo;64;nom
antipasto;64;nom
accogliente;62;adj
sicuramente;61;adv
gusto;60;nom
grande;58;adj
veloce;57;adj
bello;56;adj
panino;55;nom
carino;55;adj
cameriere;55;nom
zona;54;nom
piccolo;54;adj
simpatico;52;adj
casa;52;nom
pepe;51;nom
disponibile;51;adj
carciofo;51;nom
anno;51;nom
serata;50;nom
sapore;50;nom
euro;50;adj
ambiente;50;nom
tipico;49;adj
menù;48;nom
fresco;48;adj
cacio;48;nom
sera;46;nom
secondo;46;adj
pasta;46;nom
carbonaro;46;adj
carne;45;nom
proprietario;43;adj
eccellente;43;adj
cliente;43;nom
atmosfera;43;nom
musico;42;adj
ingrediente;42;nom
gelato;42;nom
unico;41;adj
tradizione;41;nom
tempo;41;nom
via;40;nom
proprio;40;adj
menu;40;nom
medio;40;adj
pieno;37;adj
giusto;37;adj
conto;37;nom
caldo;37;adj
prodotto;36;nom
piacevole;36;adj
migliore;36;adj
diverso;36;adj
ampio;36;adj
pesce;35;nom
trattoria;34;nom
rapporto;34;nom
cordiale;34;adj
torta;33;nom
mercato;33;nom
alto;33;adj
supplì;32;nom
ragazzo;32;nom
birra;32;nom
persona;31;nom
giorno;31;nom
cortese;31;adj
gustoso;30;adj
caffè;30;nom
aperitivo;30;nom
attento;29;adj
porzione;27;nom
pizzeria;27;nom
pasticceria;27;nom
abbondante;27;adj
varietà;26;nom
fritto;26;adj
classico;26;adj
polpetta;25;nom
pessimo;25;adj
pane;25;nom
interno;25;adj
fantastico;25;adj
esperienza;25;nom
eccezionale;25;adj
grazia;24;nom
vero;23;adj
peccato;23;nom
patata;23;nom
nuovo;23;adj
delizioso;23;adj
complimento;23;nom
cioccolato;23;nom
super;22;adj
squisito;22;adj
sabato;22;nom
oggi;22;adv
leggero;22;adj
freddo;22;adj
discreto;22;adj
attesa;22;nom
vicino;21;adj
semplice;21;adj
quartiere;21;nom
quantità;21;nom
pollo;21;nom
formaggio;21;nom
carta;21;nom
vista;20;nom
particolare;20;adj
lungo;20;adj
gentilezza;20;nom
forno;20;nom
bar;20;nom
acqua;20;nom
verdura;19;nom
salato;19;adj
ragazza|ragazzo;19;nom
punto;19;nom
problema;19;nom
noto;19;adj
idea;19;nom
famiglia;19;nom
bottiglia;19;nom
ultimo;18;adj
taglio;18;nom
stile;18;nom
riso;18;nom
presente;18;adj
possibilità;18;nom
pezzo;18;nom
pena;18;nom
materia;18;nom
focaccia;18;nom
bravo;18;adj
accoglienza;18;nom
vivamente;17;adv
tradizionale;17;adj
staff;17;nom
sala;17;nom
prenotazione;17;nom
pietanza;17;nom
onesto;17;adj
croccante;17;adj
collega;17;nom
cocktail;17;nom
vecchio;16;adj
simpatia;16;nom
ricco;16;adj
resto;16;nom
proposta;16;nom
positivo;16;adj
pomodoro;16;nom
originale;16;adj
minuto;16;nom
giro;16;nom
giovane;16;adj
giapponese;16;adj
costo;16;nom
banco;16;nom
zucca;15;nom
rosso;15;adj
pronto;15;adj
perfetto;15;adj
insalata;15;nom
familiare;15;adj
cura;15;nom
cuore;15;nom
colazione;15;nom
coda;15;nom
base;15;nom
tranquillo;14;adj
sugo;14;nom
strepitoso;14;adj
spazio;14;nom
sorpresa;14;nom
secco;14;adj
scarso;14;adj
salso;14;adj
persiano;14;adj
pausa;14;nom
ordine;14;nom
occasione;14;nom
mozzarella;14;nom
misto;14;adj
luogo;14;nom
livello;14;nom
impeccabile;14;adj
impasto;14;nom
gradevole;14;adj
gestore;14;nom
fatto;14;nom
domenica;14;nom
contorno;14;nom
cicoria;14;nom
bruschetta;14;nom
basso;14;adj
baccalà;14;nom
vivo;13;adj
rapido;13;adj
posto;13;nom
pecorino;13;adj
pecca;13;nom
pasto;13;nom
passato;13;adj
olio;13;nom
fiore;13;nom
economico;13;adj
crudo;13;adj
condimento;13;nom
buffet;13;nom
bibita;13;nom
bevanda;13;nom
bancone;13;nom
attenzione;13;nom
tagliere;12;nom
storico;12;adj
splendido;12;adj
speciale;12;adj
rustico;12;adj
romanesco;12;adj
professionalità;12;nom
professionale;12;adj
piazza;12;nom
panna;12;nom
manzo;12;nom
ideale;12;adj
hamburger;12;nom
gruppo;12;nom
genuino;12;adj
fungo;12;nom
formula;12;nom
crema;12;nom
can;12;nom
bicchiere;12;nom
bambino;12;nom
amichevole;12;adj
visita;11;nom
scadente;11;adj
salume;11;nom
richiesta;11;nom
possibile;11;adj
pistacchio;11;adj
passaggio;11;nom
palato;11;nom
osteria;11;nom
offerta;11;nom
norma;11;nom
interessante;11;adj
facile;11;adj
drink;11;nom
difficile;11;adj
cordialità;11;nom
certo;11;adj
biscotto;11;nom
amante;11;nom
vegetariano;10;nom
vasto;10;adj
top;10;adj
teatro;10;nom
tartufo;10;nom
signore;10;nom
sicuro;10;adj
scoperta;10;nom
ripieno;10;nom
piadina;10;nom
patatina;10;nom
passo;10;nom
modico;10;adj
moderno;10;adj
massimo;10;adj
leggermente;10;adv
guanciale;10;nom
frutta;10;nom
festa;10;nom
famoso;10;adj
esterno;10;adj
coppia;10;nom
consegna;10;nom
calice;10;nom
bianco;10;adj
avviso;10;nom
