"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,136426724224199;2,72283407714605;2,72283407714605
"facteur 2";0,123495160394512;2,46474312856915;5,1875772057152
"facteur 3";0,109394869335436;2,18332646910121;7,3709036748164
"facteur 4";0,104974326156705;2,09510031198286;9,46600398679927
"facteur 5";0,0976645589291171;1,94921039623166;11,4152143830309
"facteur 6";0,0916123013868499;1,82841813083454;13,2436325138655
"facteur 7";0,0889161781328605;1,7746083196418;15,0182408335073
"facteur 8";0,0813966399588674;1,62453174995958;16,6427725834668
"facteur 9";0,0798336587801817;1,59333743345405;18,2361100169209
"facteur 10";0,0755881058870741;1,50860377031425;19,7447137872351
"facteur 11";0,0735330584545106;1,46758868905832;21,2123024762935
"facteur 12";0,0703444768403455;1,40395028737287;22,6162527636663
"facteur 13";0,0690459562032172;1,37803413157014;23,9942868952365
"facteur 14";0,0669761047917421;1,33672358930035;25,3310104845368
"facteur 15";0,0639082123677651;1,27549392858303;26,6065044131199
"facteur 16";0,0629630036885183;1,25662924927256;27,8631336623924
"facteur 17";0,0624773870454665;1,24693720725037;29,1100708696428
"facteur 18";0,0606470365728285;1,21040667653244;30,3204775461752
"facteur 19";0,0605169224190148;1,20780983010123;31,5282873762764
"facteur 20";0,0595236329677151;1,18798554434015;32,7162729206166
"facteur 21";0,057897819925107;1,15553721590116;33,8718101365178
"facteur 22";0,0560022249671177;1,11770452162935;34,9895146581471
"facteur 23";0,0552605501401992;1,10290201497694;36,092416673124
"facteur 24";0,0551132735175449;1,09996263627961;37,1923793094037
"facteur 25";0,053656197886671;1,07088200560932;38,263261315013
"facteur 26";0,0527247724093328;1,05229241442445;39,3155537294374
"facteur 27";0,0518652398393657;1,03513767743848;40,3506914068759
"facteur 28";0,0509731303129268;1,01733276250743;41,3680241693833
"facteur 29";0,0498260139601732;0,994438366167629;42,362462535551
"facteur 30";0,049137627948879;0,980699409226156;43,3431619447771
"facteur 31";0,048832424177313;0,974608086324289;44,3177700311014
"facteur 32";0,0485628983862289;0,969228832275593;45,286998863377
"facteur 33";0,0473047531532363;0,944118497523573;46,2311173609006
"facteur 34";0,0467006053230344;0,932060784424751;47,1631781453253
"facteur 35";0,0456630051201058;0,911352135096304;48,0745302804216
"facteur 36";0,0451290802457413;0,900695946942388;48,975226227364
"facteur 37";0,0446043331771505;0,890222931421664;49,8654491587857
"facteur 38";0,0436986461166412;0,872147033128215;50,7375961919139
"facteur 39";0,0433892389680476;0,865971818318257;51,6035680102322
"facteur 40";0,0427110229344739;0,852435835992343;52,4560038462245
