"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";-0,523135675445838;1,75828669614145;-0,774608970455229;1,23391620305726;-0,895626344172346;0,105898729215767;-0,208402851741981;0,700453016024144;-0,308582889687674;0,491558246928227;-0,356792879900018;0,0421871384428313;0,00548141824346771;0,0560523896592199;0,00963666610841131;0,0234649289534666;0,0115015275985153;0,000150834297217256;0,00109015323275537;0,0123151087505824;0,00239014316593108;0,00606499162467034;0,0031953069955983;4,46725114026177e-05;0,00398344542162442;2,60986229501468;0,0271327652518534
"classe 2";0,898668316239313;0,183514684442528;0,34967171147955;-0,669045148273877;0,197853301672458;-0,00928817321533898;0,746198878469765;0,152379303063446;0,29034587536205;-0,555533927552708;0,164285208615514;-0,00771232757523099;0,0293552786606188;0,0011081013308439;0,00356373865452765;0,0125193517646282;0,00101861834247193;2,10572813818871e-06;0,00685189745413522;0,000285728549539093;0,00103736834726757;0,00379771915728534;0,000332122729082338;7,3193515339964e-07;0,00848422141748577;1,93734092304435;0,0318437421492388
"classe 3";-0,265600758398859;-1,2720241589253;0,258717849396349;-0,139857658140008;0,322687541136434;-1,21067741074759;-0,145222666768921;-0,695505320343317;0,141459294983019;-0,0764700455133766;0,1764360370785;-0,661962726482985;0,00132547378140002;0,02752033566522;0,00100846959180931;0,000282793008368691;0,00140060108117018;0,0184936971064504;0,000346697230827453;0,00795211168052325;0,000328961093204647;9,61311759616504e-05;0,000511747991435301;0,00720358408303032;0,00491464045525091;2,69459478947134;0,0356844233081935
"classe 4";0,868825911978384;1,17004800947405;0,454314673073764;0,0903777037264702;-0,0348799047999519;0,425474318489409;0,547234425851337;0,736960698173749;0,286152410796819;0,056924857012952;-0,0219692856920983;0,267987166569261;0,0197629242814382;0,0324446824853297;0,00433307999227131;0,000164547741866155;2,28020451093674e-05;0,00318263417147316;0,00429562499667655;0,0077905513653472;0,00117455770505501;4,64818534089839e-05;6,92327229559792e-06;0,00103016676287341;0,00569063631660631;2,28274230350845;0,0296534074839616
"classe 5";0,408818411789777;-0,95362104228704;-0,178752013798071;-0,780534081159023;-1,08735327533243;-0,724689312839999;0,220895066675383;-0,515265892249895;-0,0965842948056562;-0,421742570607831;-0,587524845573162;-0,391568210878541;0,0040449100643676;0,0199227880463591;0,0006200794881741;0,0113452837500924;0,0204845700101839;0,00853504925469241;0,00130558750991027;0,00710389844470697;0,000249601378580793;0,00475914388150361;0,00923605323082262;0,00410250204975794;0,00781169167097775;2,3742461227158;0,0440348547509512
"classe 6";-0,172853937249942;0,239322968516418;-2,04166797882495;-0,0239700776662051;0,353178544363768;-0,943714918338606;-0,0752858612887277;0,104236189800413;-0,8892405616957;-0,0104400742671457;0,153825543832871;-0,4110313688453;0,00060765849248659;0,00105443610620123;0,0679780585046848;8,99132189369471e-06;0,00181604742445507;0,0121628962459225;0,000123656424719325;0,000237042869154726;0,0172515597962096;2,37791877216308e-06;0,000516234181888919;0,00368586796521404;0,0041386445938955;2,58999673154854;0,0277623717307071
"classe 7";-0,152746382976175;0,62080513887224;-0,79125393779019;0,369606486677323;-0,203447450592879;-0,380709572886478;-0,131087285408278;0,532776350160543;-0,679055888280543;0,317197108460358;-0,174599054339736;-0,326725801725974;0,000691210946361124;0,0103354604872783;0,0148729805016598;0,00311409280189283;0,000877830736362633;0,00288343837171848;0,000195535236264527;0,0032299348842695;0,00524704669628008;0,00114488622395347;0,000346886712609633;0,00121470482047385;0,00838075530263838;2,14592904036212;0,0385934740970336
"classe 8";0,231712552652253;0,648854091156625;0,69841706041921;1,25271152480094;-1,02797635157246;0,676347405567335;0,11519641912766;0,322579277566164;0,34721961972731;0,622788365175847;-0,511060765994772;0,336247640949213;0,00268180384860492;0,019035858515859;0,0195368736546542;0,0603133812732198;0,0377860657544442;0,0153434098210706;0,000572182392843473;0,00448672509631671;0,00519834435585255;0,0167238980786359;0,0112616393251319;0,00487500452569266;0,0106570098292809;1,65266862539922;0,0291076357262319
"classe 9";-0,19097251830615;0,453342099100576;-1,49747690885519;0,0743656631220185;0,705822949978582;-0,796374351939397;-0,100340293491505;0,238193849456829;-0,786800498124039;0,0390730170473613;0,370851694170752;-0,418428980836939;0,000639825486992518;0,00326379126212243;0,0315455102772526;7,46531847683567e-05;0,00625675109622372;0,0074715147298087;0,000137731334744856;0,000776145436815051;0,00846859326210439;2,08850690721759e-05;0,00188140613969488;0,00239511039395568;0,00377651319192964;2,78862317815979;0,0293677498072018
"classe 10";-0,990923602150654;1,22803990948917;0,297932099378285;0,566569795920201;-1,19894466239718;0,454067538861873;-0,464888313887376;0,576130593387591;0,139773793895203;0,265804221993708;-0,562480660806135;0,213024184785129;0,0268072653265784;0,0372689894121296;0,0019431407687712;0,00674314732642461;0,0280936382783385;0,00377978781073172;0,00716254896674553;0,0110004948122629;0,000647473282640108;0,00234149964017161;0,0104854128707805;0,00150393189387373;0,00729436109674082;2,23544321296617;0,0364514276530733
