"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
"****";"16";"121";"13.22";"****";""
"0";"28";"0.00";"-5.55";"ingrediente";"0.01846745"
"0";"28";"0.00";"-5.55";"rimanere";"0.01846745"
"1";"35";"2.86";"-4.61";"mai";"0.03175895"
"0";"18";"0.00";"-3.22";"stesso";"0.07264632"
"3";"47";"6.38";"-3.13";"prendere";"0.07669348"
"0";"17";"0.00";"-3.01";"varietà";"0.08255246"
"1";"28";"3.57";"-2.96";"cliente";"0.08547790"
"0";"16";"0.00";"-2.81";"leggero";"0.09370089"
"0";"15";"0.00";"-2.61";"subito";"0.10624773"
"0";"15";"0.00";"-2.61";"stile";"0.10624773"
"2";"35";"5.71";"-2.42";"veramente";"0.11981689"
"0";"14";"0.00";"-2.41";"panino";"0.12037299"
"0";"14";"0.00";"-2.41";"pollo";"0.12037299"
"0";"14";"0.00";"-2.41";"ragazza|ragazzo";"0.12037299"
"0";"13";"0.00";"-2.22";"resto";"0.13628598"
"2";"33";"6.06";"-2.03";"grande";"0.15435557"
"0";"12";"0.00";"-2.03";"sushi";"0.15423258"
"0";"12";"0.00";"-2.03";"materia";"0.15423258"
"*****";"*";"*";"*";"*";"*"
"*";"*";"*";"*";"*";"*"
"0";"14";"0";"-2.41";"*RATING_5";"0.120373"
"**";"classe";"2";"**";"";""
"****";"16";"121";"13.22";"****";""
"6";"88";"6.82";"-11.54";"locale";"0.000682682"
"2";"59";"3.39";" -9.70";"piatto";"0.001839661"
"4";"71";"5.63";" -8.62";"servizio";"0.003316389"
"1";"48";"2.08";" -8.60";"cena";"0.003353520"
"1";"48";"2.08";" -8.60";"dire";"0.003353520"
"1";"45";"2.22";" -7.56";"dolce";"0.005980386"
"0";"34";"0.00";" -7.21";"antipasto";"0.007267271"
"2";"50";"4.00";" -6.32";"ristorante";"0.011958063"
"1";"40";"2.50";" -5.99";"pizza";"0.014405325"
"0";"27";"0.00";" -5.30";"portare";"0.021373858"
"0";"26";"0.00";" -5.05";"troppo";"0.024679786"
"0";"25";"0.00";" -4.80";"diverso";"0.028433529"
"1";"34";"2.94";" -4.36";"tavolo";"0.036863433"
"0";"22";"0.00";" -4.10";"chiedere";"0.042950369"
"9";"92";"9.78";" -3.96";"buono";"0.046595565"
"1";"32";"3.12";" -3.87";"cameriere";"0.049266565"
"1";"32";"3.12";" -3.87";"atmosfera";"0.049266565"
"0";"20";"0.00";" -3.65";"cenare";"0.056031925"
"0";"19";"0.00";" -3.43";"location";"0.063846086"
"0";"19";"0.00";" -3.43";"attento";"0.063846086"
"1";"30";"3.33";" -3.40";"casa";"0.065189172"
"1";"30";"3.33";" -3.40";"serata";"0.065189172"
"1";"30";"3.33";" -3.40";"ambiente";"0.065189172"
"0";"18";"0.00";" -3.22";"eccezionale";"0.072646315"
"1";"29";"3.45";" -3.18";"secondo";"0.074728121"
"1";"29";"3.45";" -3.18";"menu";"0.074728121"
"0";"17";"0.00";" -3.01";"abbondante";"0.082552458"
"1";"28";"3.57";" -2.96";"rimanere";"0.085477903"
"0";"16";"0.00";" -2.81";"freddo";"0.093700889"
"0";"16";"0.00";" -2.81";"discreto";"0.093700889"
"0";"16";"0.00";" -2.81";"curare";"0.093700889"
"0";"16";"0.00";" -2.81";"tagliare";"0.093700889"
"0";"16";"0.00";" -2.81";"acqua";"0.093700889"
"0";"16";"0.00";" -2.81";"non_sono";"0.093700889"
"1";"27";"3.70";" -2.74";"conto";"0.097573390"
"3";"45";"6.67";" -2.68";"sicuramente";"0.101359304"
"0";"15";"0.00";" -2.61";"peccato";"0.106247732"
"0";"15";"0.00";" -2.61";"abbastanza";"0.106247732"
"0";"15";"0.00";" -2.61";"insomma";"0.106247732"
"1";"26";"3.85";" -2.54";"eccellente";"0.111163641"
"3";"44";"6.82";" -2.47";"scelta";"0.115893323"
"2";"35";"5.71";" -2.42";"sapore";"0.119816891"
"0";"14";"0.00";" -2.41";"pizzeria";"0.120372992"
"1";"25";"4.00";" -2.34";"pasta";"0.126413606"
"0";"13";"0.00";" -2.22";"entrare";"0.136285984"
"0";"13";"0.00";" -2.22";"rendere";"0.136285984"
"1";"24";"4.17";" -2.14";"carne";"0.143506115"
"2";"33";"6.06";" -2.03";"vino";"0.154355570"
"0";"12";"0.00";" -2.03";"quartiere";"0.154232577"
"0";"12";"0.00";" -2.03";"tiramisù";"0.154232577"
"0";"12";"0.00";" -2.03";"evitare";"0.154232577"
"*****";"*";"*";"*";"*";"*"
"3";"43";"6.98";"-2.27";"un_po";"0.1320539"
"0";"13";"0.00";"-2.22";"di_una";"0.1362860"
"0";"12";"0.00";"-2.03";"in_cui";"0.1542326"
"*";"*";"*";"*";"*";"*"
"0";"13";"0";"-2.22";"*RATING_4.2";"0.136286"
"**";"classe";"3";"**";"";""
"****";"18";"121";"14.88";"****";""
"2";"50";"4.00";"-7.96";"ristorante";"0.004782919"
"8";"82";"9.76";"-5.27";"fare";"0.021739299"
"1";"33";"3.03";"-5.03";"vino";"0.024939676"
"1";"32";"3.12";"-4.74";"cameriere";"0.029398066"
"0";"22";"0.00";"-4.70";"via";"0.030179661"
"0";"22";"0.00";"-4.70";"meglio";"0.030179661"
"4";"55";"7.27";"-4.60";"cibo";"0.031910325"
"0";"21";"0.00";"-4.44";"piacere";"0.035094271"
"3";"47";"6.38";"-4.38";"prendere";"0.036413321"
"1";"30";"3.33";"-4.20";"unico";"0.040495082"
"0";"20";"0.00";"-4.19";"musico";"0.040729026"
"0";"19";"0.00";"-3.94";"poi";"0.047181842"
"0";"17";"0.00";"-3.46";"fritto";"0.063003644"
