"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
"****";"16";"121";"13.22";"****";""
"12";" 22";" 54.55";"40.01";"tradizione";"2.522489e-10"
" 6";"  7";" 85.71";"34.03";"abbacchio";"5.438264e-09"
"16";" 48";" 33.33";"28.04";"romano";"1.187556e-07"
" 4";"  4";"100.00";"27.15";"pajata";"1.885151e-07"
" 4";"  4";"100.00";"27.15";"rispettare";"1.885151e-07"
" 5";"  6";" 83.33";"27.04";"rigatone";"1.989302e-07"
"10";" 22";" 45.45";"24.34";"carciofo";"8.057534e-07"
"11";" 28";" 39.29";"21.57";"pepe";"3.419746e-06"
" 4";"  5";" 80.00";"20.27";"turista";"6.731724e-06"
" 3";"  3";"100.00";"20.19";"mattatoio";"7.019079e-06"
" 3";"  3";"100.00";"20.19";"fretta";"7.019079e-06"
" 3";"  3";"100.00";"20.19";"rivisitazione";"7.019079e-06"
"11";" 30";" 36.67";"19.11";"menù";"1.236476e-05"
"10";" 26";" 38.46";"18.38";"cacio";"1.806476e-05"
" 9";" 23";" 39.13";"16.61";"forse";"4.588697e-05"
" 6";" 12";" 50.00";"15.70";"preferire";"7.415156e-05"
"15";" 59";" 25.42";"14.94";"piatto";"1.111506e-04"
" 3";"  4";" 75.00";"13.76";"sugo";"2.078727e-04"
" 3";"  4";" 75.00";"13.76";"inserire";"2.078727e-04"
" 3";"  4";" 75.00";"13.76";"genere";"2.078727e-04"
" 3";"  4";" 75.00";"13.76";"definire";"2.078727e-04"
" 3";"  4";" 75.00";"13.76";"caratteristico";"2.078727e-04"
" 5";" 10";" 50.00";"12.85";"amatriciana";"3.376393e-04"
" 5";" 10";" 50.00";"12.85";"gricia";"3.376393e-04"
" 4";"  7";" 57.14";"12.49";"calice";"4.091574e-04"
" 4";"  7";" 57.14";"12.49";"pure";"4.091574e-04"
" 7";" 19";" 36.84";"10.96";"attento";"9.321219e-04"
" 5";" 11";" 45.45";"10.95";"trattoria";"9.336037e-04"
" 6";" 15";" 40.00";"10.70";"peccato";"1.071816e-03"
" 6";" 15";" 40.00";"10.70";"insomma";"1.071816e-03"
" 3";"  5";" 60.00";" 9.95";"matriciana";"1.612544e-03"
" 3";"  5";" 60.00";" 9.95";"chef";"1.612544e-03"
"12";" 48";" 25.00";" 9.62";"cucina";"1.928202e-03"
"13";" 55";" 23.64";" 9.53";"trovare";"2.022778e-03"
" 6";" 16";" 37.50";" 9.47";"già";"2.088282e-03"
" 6";" 16";" 37.50";" 9.47";"discreto";"2.088282e-03"
" 5";" 12";" 41.67";" 9.39";"tiramisù";"2.179077e-03"
"15";" 71";" 21.13";" 9.35";"servizio";"2.225257e-03"
" 7";" 21";" 33.33";" 8.96";"tipico";"2.766081e-03"
" 7";" 21";" 33.33";" 8.96";"carbonaro";"2.766081e-03"
" 7";" 21";" 33.33";" 8.96";"lasciare";"2.766081e-03"
"12";" 50";" 24.00";" 8.62";"ristorante";"3.316389e-03"
" 4";"  9";" 44.44";" 8.26";"lungo";"4.053095e-03"
" 4";"  9";" 44.44";" 8.26";"presentare";"4.053095e-03"
" 7";" 22";" 31.82";" 8.10";"meglio";"4.419989e-03"
" 5";" 13";" 38.46";" 8.09";"vecchio";"4.462856e-03"
" 9";" 33";" 27.27";" 7.81";"vino";"5.208514e-03"
" 2";"  3";" 66.67";" 7.66";"tipicamente";"5.654272e-03"
" 2";"  3";" 66.67";" 7.66";"mix";"5.654272e-03"
" 2";"  3";" 66.67";" 7.66";"riprovare";"5.654272e-03"
" 2";"  3";" 66.67";" 7.66";"quinto";"5.654272e-03"
" 2";"  3";" 66.67";" 7.66";"quarto";"5.654272e-03"
" 2";"  3";" 66.67";" 7.66";"preferito";"5.654272e-03"
" 2";"  3";" 66.67";" 7.66";"modesto";"5.654272e-03"
" 2";"  3";" 66.67";" 7.66";"entusiasmare";"5.654272e-03"
" 2";"  3";" 66.67";" 7.66";"assai";"5.654272e-03"
" 2";"  3";" 66.67";" 7.66";"variegato";"5.654272e-03"
" 2";"  3";" 66.67";" 7.66";"recensire";"5.654272e-03"
" 2";"  3";" 66.67";" 7.66";"rappresentare";"5.654272e-03"
" 2";"  3";" 66.67";" 7.66";"mitico";"5.654272e-03"
" 2";"  3";" 66.67";" 7.66";"fortemente";"5.654272e-03"
" 2";"  3";" 66.67";" 7.66";"convincere";"5.654272e-03"
" 2";"  3";" 66.67";" 7.66";"azzeccare";"5.654272e-03"
" 2";"  3";" 66.67";" 7.66";"aziendale";"5.654272e-03"
" 3";"  6";" 50.00";" 7.44";"coda";"6.374340e-03"
" 3";"  6";" 50.00";" 7.44";"osteria";"6.374340e-03"
" 3";"  6";" 50.00";" 7.44";"stella";"6.374340e-03"
" 3";"  6";" 50.00";" 7.44";"soddisfacente";"6.374340e-03"
" 3";"  6";" 50.00";" 7.44";"comprendere";"6.374340e-03"
" 3";"  6";" 50.00";" 7.44";"mare";"6.374340e-03"
" 9";" 34";" 26.47";" 7.23";"antipasto";"7.160707e-03"
" 8";" 29";" 27.59";" 6.86";"secondo";"8.828126e-03"
" 4";" 10";" 40.00";" 6.81";"professionale";"9.057236e-03"
" 4";" 10";" 40.00";" 6.81";"apprezzare";"9.057236e-03"
"11";" 48";" 22.92";" 6.52";"cena";"1.069554e-02"
" 7";" 25";" 28.00";" 6.00";"diverso";"1.433630e-02"
" 3";"  7";" 42.86";" 5.69";"possibile";"1.709903e-02"
" 3";"  7";" 42.86";" 5.69";"giudia";"1.709903e-02"
" 3";"  7";" 42.86";" 5.69";"passo";"1.709903e-02"
" 3";"  7";" 42.86";" 5.69";"specie";"1.709903e-02"
