"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"non";-0,336823989647095;0,0889995686989935;0,0877464839949183;-0,0792236538896273;0,145860575168706;-0,0498774854736943;-0,844411167115043;0,223120181423516;0,219978722531082;-0,198612153825948;0,365669614694978;-0,125041882455385;0,767137889680849;0,0517085164906658;0,0424478724234764;0,029628358457046;0,0984886888461974;0,0105886741018221;0,00101801911994701;7,10764465724861e-05;6,90890705056883e-05;5,63196102592614e-05;0,000190908711683241;2,23233313154938e-05;0,0089732528041415;0,152436269801176;0,000208509827480008
"molto";-0,0992610080114842;-0,101976720743694;0,0549183832693496;0,0238438642159119;0,25119294113726;0,00025673669068205;-0,336653052796185;-0,345863648176296;0,186260866705267;0,0808687100761231;0,851944506395976;0,000870746654848618;0,149406598783355;0,152241611859108;0,0372886776822626;0,00601860924055584;0,655043873285898;6,29148800114786e-07;8,7561088376183e-05;9,24178526388817e-05;2,68033622566588e-05;5,05250868480803e-06;0,000560749184534104;5,85773427028831e-10;0,0088869715271786;0,101792505805228;9,20842594068206e-05
"ottimo";-0,459399484436145;-0,257128170656201;-0,120727689987945;0,154376179739949;0,0568967931008349;-0,171093324480671;-0,778665414321715;-0,435822895586259;-0,204629042759915;0,261662008842152;0,0964379945437151;-0,289996961050005;0,651301482306634;0,196978693127883;0,0366727873503259;0,0513442825212304;0,00683942745504281;0,0568633272388718;0,00178452915076956;0,000559038811234722;0,000123241342771603;0,000201513069660733;2,73727365302505e-05;0,000247519130010451;0,00845556514236411;0,225642801953268;0,000430512343329207
"locale";0,342162720493716;-0,041987264154047;0,190973065441307;0,140571316864278;0,313162235162835;-0,218071593922053;0,604208107345839;-0,07414321867251;0,337229825206643;0,248227887559239;0,55299759461494;-0,38508176705929;0,451363054215101;0,00656167406052479;0,114639410549681;0,0531844294260329;0,258846624241894;0,115404807506764;0,000888923969112869;1,3385493606598e-05;0,000276913082978117;0,000150035027695964;0,000744625670995003;0,000361075010065748;0,00759275237273512;0,201879258239039;0,0003094444065426
"buono";-0,101798336254555;-0,30065615694934;0,227442592371319;0,254572522715565;0,0192083366372334;0,107595842503123;-0,212615702011731;-0,627949554245031;0,475035921249965;0,53169941299159;0,0401184747105365;0,224724356301272;0,0538077166595188;0,453129439229193;0,218995844990404;0,234918222522307;0,00131155295351438;0,0378372236450449;8,22594405785999e-05;0,000717537486925131;0,00041062745641604;0,000514431369939822;2,92876083399258e-06;9,18957385508226e-05;0,00793787748058671;0,173956400405443;0,000240206754984101
"anche";-0,35256044441061;0,17013772930062;-0,0253566961941066;-0,0738729943481996;0,220921609615071;0,136479165917375;-0,740341924580142;0,357272337129847;-0,0532465441286864;-0,155125952662312;0,463913443032984;0,28659269626596;0,616204770376094;0,138540905826757;0,00259879665739959;0,0188868592113295;0,165644642554371;0,0581240253740275;0,00107246649666097;0,000249757091730552;5,54755860120983e-06;4,70855849350227e-05;0,000421107485719707;0,0001607123617731;0,00862812769628991;0,17802995034863;0,000273465601562862
"fare";-0,19808911060813;0,19587249672202;-0,10728776336843;0,0313496447039705;-0,367108123462926;0,176049126275531;-0,391614722331872;0,387232560037029;-0,212103873515048;0,0619770686448041;-0,725758954615691;0,348042502142122;0,198055713074322;0,186952794283336;0,0473691544292428;0,00346307476362422;0,465690383835349;0,0984688796141263;0,00027762055658366;0,000271442180130599;8,14386938589484e-05;6,95337517612988e-06;0,000953494969251303;0,000219279566757118;0,00707506471095772;0,176436700953121;0,000220246123757043
"tutto";-0,290422969442707;0,213277541741877;-0,00899039610879439;-0,235365604411345;0,257976027004672;0,00150411093652933;-0,578692006313161;0,424973302796885;-0,0179141146161121;-0,468985611211377;0,514038765372113;0,00299706657929973;0,396802164760945;0,206595679252679;0,000310026517512852;0,181940152295184;0,214345277757992;6,69941568795146e-06;0,000640414504213366;0,000345373879500286;6,13701083087681e-07;0,000420615458249591;0,000505310050457475;1,71774611239057e-08;0,00759275237273512;0,182753607691018;0,000253589433901575
"prezzo";-0,276881586813778;-0,222914509603775;0,0602858065193942;0,0140462302211548;0,293114222633219;0,218196662967214;-0,539174541497269;-0,434083861956266;0,117395210215799;0,0273523776947646;0,5707845307203;0,424896747614737;0,354063729092971;0,221558714328736;0,0136852431543254;0,000636126230781723;0,271650296200048;0,138405890993139;0,000608544780562505;0,000394440106165142;2,88492509946362e-05;1,56611610657142e-06;0,000681990264961916;0,000377920630126191;0,00793787748058671;0,184448602675809;0,00027005680816854
"qualità";-0,443715399488667;-0,271073923399872;-0,0869963860668176;0,370973386438197;0,345494570406954;0,187239910875446;-0,587726058010103;-0,359052691461092;-0,115231617165186;0,491375161396779;0,457627033371329;0,248009816309743;0,415490039277705;0,1497083310733;0,0130221626719356;0,202753132910681;0,172455550695334;0,0465707833710452;0,00139296248239498;0,000519883339058392;5,3546715916507e-05;0,000973679273729486;0,000844525698948766;0,000248043167076866;0,00707506471095772;0,272863978434237;0,000526772179431465
