non;15;14;15;12;17;17;14
molto;16;12;16;12;16;20;11
ottimo;13;14;18;7;16;18;12
locale;15;6;13;12;17;18;7
buono;14;9;14;8;14;22;11
anche;13;15;14;13;15;17;13
fare;10;13;8;8;16;17;10
tutto;13;13;12;12;14;13;11
prezzo;14;12;15;10;11;19;11
qualità;9;11;16;8;10;18;10
servizio;15;4;10;10;12;18;2
pizza;3;1;16;5;2;11;2
piatto;15;2;8;7;10;16;1
più;9;11;12;8;15;14;10
mangiare;11;10;12;11;8;16;9
primo;12;7;9;4;12;18;5
personale;11;9;12;3;16;14;8
romano;16;4;13;1;3;8;3
provare;8;11;6;6;8;9;6
cibo;9;7;4;7;15;10;3
sempre;5;10;8;8;11;7;6
ristorante;12;2;2;9;9;16;0
tornare;10;6;9;8;10;15;5
trovare;13;10;6;5;12;4;5
prendere;3;5;3;4;10;12;10
gentile;9;7;11;6;10;15;4
roma;9;5;10;2;8;3;8
consiglio;6;10;12;5;8;9;7
due;6;5;4;5;10;13;4
cena;11;1;5;8;10;13;0
cucina;12;5;5;8;8;9;1
testaccio;5;11;6;3;5;5;4
vino;9;2;1;2;7;12;0
dire;9;1;5;5;10;9;9
davvero;8;9;5;4;6;5;6
tavolo;5;1;3;9;9;7;0
scelta;7;3;5;3;10;12;4
altro;9;6;4;7;10;5;9
dolce;10;1;4;4;7;12;7
porre;5;9;7;5;10;6;2
poco;8;4;6;6;7;7;6
amico;5;4;3;7;9;7;5
consigliare;9;8;6;1;8;7;5
buonissimo;8;5;6;1;4;5;11
solo;5;5;3;6;12;7;3
venire;7;4;5;7;9;7;3
pranzo;4;6;8;3;3;10;0
antipasto;9;0;3;3;6;13;0
accogliente;6;3;6;1;10;5;3
veramente;2;6;3;3;6;10;5
sicuramente;5;3;6;8;11;7;5
gusto;4;5;5;2;2;9;8
bene;6;5;5;6;5;4;3
grande;2;6;7;5;4;5;4
volere;4;6;5;7;8;3;4
veloce;4;6;6;1;5;9;1
bello;5;4;3;3;8;7;2
panino;0;9;1;1;2;1;0
carino;7;5;5;1;7;11;4
cameriere;6;1;1;4;9;11;0
zona;3;4;6;5;4;3;3
piccolo;4;4;5;5;5;4;5
servire;4;5;3;5;8;8;1
ordinare;2;3;2;5;7;9;2
ben;7;3;9;3;4;7;3
arrivare;5;4;2;5;8;5;1
simpatico;5;7;9;3;3;4;4
mai;1;4;4;3;8;6;9
casa;3;1;6;0;6;10;4
qui;6;7;5;4;7;2;2
pepe;11;2;7;0;0;8;0
disponibile;3;5;8;5;7;9;1
carciofo;10;4;1;0;0;7;0
anno;7;3;3;2;5;3;11
serata;5;1;2;7;12;3;0
sapore;3;2;6;5;6;6;7
euro;4;2;1;6;6;3;3
ambiente;4;1;7;1;6;9;2
tipico;7;1;4;2;4;2;1
menù;11;2;2;5;7;3;0
fresco;2;6;2;4;3;5;3
così;4;7;5;2;4;4;2
cacio;10;2;7;0;0;7;0
sera;5;2;4;5;5;5;4
secondo;8;1;3;2;4;11;0
qualche;7;4;5;5;5;5;2
pasta;6;1;5;0;1;10;2
carbonaro;7;1;3;1;0;8;1
carne;2;1;2;4;5;10;0
proprietario;1;3;3;2;4;3;4
eccellente;7;1;4;2;4;5;3
cliente;1;4;5;5;6;5;2
buon;2;2;2;6;5;6;2
atmosfera;6;1;6;0;7;7;5
musico;2;1;0;3;12;2;0
ingrediente;0;10;8;0;2;5;3
gelato;0;0;0;0;2;0;8
assolutamente;4;8;4;6;5;2;2
unico;3;8;1;5;4;5;4
tradizione;12;1;3;0;1;5;0
tempo;6;5;3;2;2;6;4
friggere;4;2;7;2;1;6;1
via;4;1;0;5;4;2;6
rimanere;0;1;6;7;4;7;3
proprio;1;4;2;2;4;4;3
portare;4;0;2;7;4;9;1
ogni;2;5;6;3;3;2;5
ne;6;3;3;2;4;6;3
menu;5;1;3;3;5;11;1
medio;5;2;3;3;6;7;2
soprattutto;3;2;6;1;6;3;4
pagare;3;2;2;8;4;6;0
troppo;5;0;1;4;4;10;2
pieno;4;3;5;1;5;6;2
giusto;3;3;3;0;7;3;3
conto;7;1;1;6;3;8;1
chiedere;3;0;1;6;6;3;3
caldo;3;4;2;1;4;4;2
sushi;0;1;0;7;3;0;1
prodotto;1;5;5;2;4;0;4
piacevole;1;1;2;3;8;4;3
migliore;4;3;3;2;2;4;3
diverso;7;0;3;3;4;6;2
ampio;3;1;4;2;3;7;1
sentire;2;2;6;0;7;4;5
preparare;3;7;3;3;7;5;2
pesce;2;2;1;9;3;4;1
assaggiare;3;6;3;1;3;0;4
trattoria;5;0;1;0;1;4;0
rapporto;6;1;8;1;0;4;3
cordiale;2;3;2;4;2;6;4
vedere;4;5;2;3;2;7;1
torta;0;0;0;1;1;1;6
piacere;4;4;0;1;5;1;6
offrire;1;1;3;2;10;2;2
mercato;1;11;2;0;0;0;0
alto;4;3;6;0;2;9;2
supplì;3;2;6;0;0;2;0
scegliere;3;3;4;2;4;6;1
ragazzo;2;4;4;1;5;4;2
birra;3;3;3;0;5;1;1
spesso;1;4;5;5;2;1;1
persona;5;1;3;2;6;4;1
giorno;6;1;3;1;4;3;3
cortese;4;3;4;0;3;3;2
location;4;0;2;2;3;7;1
gustoso;1;5;5;0;4;5;2
caffè;2;1;1;0;3;4;1
aperitivo;0;2;0;4;1;1;0
meglio;7;1;0;4;3;4;3
forse;9;2;3;4;1;1;3
attento;7;0;2;1;3;5;1
perdere;3;1;2;3;5;3;4
mettere;1;4;1;5;5;4;3
lasciare;7;2;1;3;5;2;1
comunque;4;5;1;2;5;4;2
cenare;2;0;4;4;6;4;0
ancora;1;3;4;2;2;5;2
un_posto;3;5;2;2;2;2;2
