"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";0;0;0;0;0;0;3;3;3
"2";0;0;0;0;0;0;0;0;0
"3";0;0;0;0;0;4;4;4;4
"4";0;0;0;0;0;0;3;3;3
"5";0;0;0;0;0;4;4;4;4
"6";0;0;0;0;0;0;0;0;0
"7";0;0;0;0;0;0;0;0;0
"8";0;0;0;0;0;0;0;0;0
"9";0;0;0;0;0;0;0;0;0
"10";0;0;0;0;0;0;0;0;0
"11";0;0;0;0;0;0;3;3;3
"12";0;0;0;0;0;0;0;2;2
"13";0;0;0;0;0;5;5;5;5
"14";0;0;0;0;0;5;5;5;5
"15";0;0;0;0;0;0;3;3;3
"16";0;0;7;7;7;7;7;7;7
"17";0;0;7;7;7;7;7;7;7
"18";0;0;0;0;0;0;0;0;0
"19";0;0;0;0;0;0;0;0;0
"20";0;0;0;0;0;5;5;5;5
"21";0;0;0;0;0;5;5;5;5
"22";0;0;0;0;0;5;5;5;5
"23";0;0;0;0;0;0;0;0;0
"24";0;0;0;0;0;5;5;5;5
"25";0;0;0;0;0;0;0;0;0
"26";0;0;0;0;0;0;0;2;2
"27";0;0;0;0;0;0;3;3;3
"28";0;0;0;0;0;5;5;5;5
"29";0;0;0;0;0;0;0;2;2
"30";0;0;0;0;6;6;6;6;6
"31";0;0;0;0;0;0;0;2;2
"32";0;0;0;0;0;0;0;0;0
"33";0;0;0;0;0;0;0;2;2
"34";0;0;0;0;6;6;6;6;6
"35";0;0;0;0;0;0;0;0;0
"36";0;0;0;0;0;0;3;3;3
"37";0;0;7;7;7;7;7;7;7
"38";0;0;0;0;0;5;5;5;5
"39";0;0;0;0;0;4;4;4;4
"40";0;0;0;0;0;4;4;4;4
"41";0;0;0;0;0;4;4;4;4
"42";0;0;0;0;6;6;6;6;6
"43";0;0;0;0;0;4;4;4;4
"44";0;0;7;7;7;7;7;7;7
"45";0;0;0;0;0;0;0;2;2
"46";0;0;0;0;0;4;4;4;4
"47";0;0;7;7;7;7;7;7;7
"48";0;0;0;0;0;4;4;4;4
"49";0;0;0;0;0;0;0;0;0
"50";0;0;0;0;0;0;0;0;1
"51";0;0;0;0;6;6;6;6;6
"52";0;0;0;0;0;5;5;5;5
"53";0;0;0;0;0;4;4;4;4
"54";0;0;0;0;0;0;0;0;0
"55";0;0;0;0;0;0;0;0;0
"56";0;0;0;0;0;0;0;0;1
"57";0;0;0;0;0;5;5;5;5
"58";0;0;0;0;0;0;0;0;1
"59";0;0;0;0;0;0;0;2;2
"60";0;0;0;0;0;0;0;0;0
"61";0;0;0;0;0;0;3;3;3
"62";0;0;0;0;0;0;0;0;1
"63";0;0;7;7;7;7;7;7;7
"64";0;0;0;0;0;0;3;3;3
"65";0;0;0;0;0;0;3;3;3
"66";0;0;0;0;0;0;0;2;2
"67";0;0;0;0;0;0;0;0;1
"68";0;0;0;0;0;0;0;0;1
"69";0;0;0;0;0;0;0;0;1
"70";0;0;0;0;6;6;6;6;6
"71";0;0;7;7;7;7;7;7;7
"72";0;0;0;0;0;0;0;0;1
"73";0;0;0;0;6;6;6;6;6
"74";0;0;0;0;0;0;0;0;0
"75";0;0;0;0;6;6;6;6;6
"76";0;0;0;0;0;0;0;0;0
"77";0;0;0;0;0;0;0;0;1
"78";0;0;7;7;7;7;7;7;7
"79";0;0;0;0;6;6;6;6;6
"80";0;0;0;0;0;0;0;0;0
"81";0;0;0;0;0;0;0;2;2
"82";0;0;0;0;0;5;5;5;5
"83";0;0;0;0;6;6;6;6;6
"84";0;0;0;0;0;0;0;0;1
"85";0;0;0;0;6;6;6;6;6
"86";0;0;0;0;0;4;4;4;4
"87";0;0;0;0;0;0;0;0;0
"88";0;0;0;0;0;0;0;0;1
"89";0;0;0;0;0;0;3;3;3
"90";0;0;0;0;6;6;6;6;6
"91";0;0;0;0;0;5;5;5;5
"92";0;0;7;7;7;7;7;7;7
"93";0;0;0;0;0;0;0;0;1
"94";0;0;0;0;6;6;6;6;6
"95";0;0;0;0;0;5;5;5;5
"96";0;0;0;0;0;5;5;5;5
"97";0;0;0;0;0;0;0;0;0
"98";0;0;0;0;0;0;0;0;1
"99";0;0;0;0;0;5;5;5;5
"100";0;0;0;0;0;0;0;0;0
"101";0;0;7;7;7;7;7;7;7
"102";0;0;0;0;0;4;4;4;4
"103";0;0;0;0;0;0;0;0;0
"104";0;0;0;0;0;0;3;3;3
"105";0;0;0;0;0;0;0;0;1
"106";0;0;0;0;0;0;0;2;2
"107";0;0;0;0;6;6;6;6;6
"108";0;0;0;0;6;6;6;6;6
"109";0;0;0;0;0;0;0;0;0
"110";0;0;0;0;6;6;6;6;6
"111";0;0;0;0;0;0;3;3;3
"112";0;0;0;0;0;0;3;3;3
"113";0;0;0;0;6;6;6;6;6
"114";0;0;7;7;7;7;7;7;7
"115";0;0;0;0;0;4;4;4;4
"116";0;0;7;7;7;7;7;7;7
"117";0;0;0;0;0;0;0;0;0
"118";0;0;7;7;7;7;7;7;7
"119";0;0;7;7;7;7;7;7;7
"120";0;0;0;0;0;4;4;4;4
"121";0;0;0;0;0;0;0;2;2
"122";0;0;0;0;0;0;0;2;2
"123";0;0;0;0;0;5;5;5;5
"124";0;0;7;7;7;7;7;7;7
"125";0;0;0;0;0;4;4;4;4
"126";0;0;0;0;0;0;0;0;0
"127";0;0;0;0;6;6;6;6;6
"128";0;0;0;0;0;0;0;0;0
"129";0;0;0;0;0;0;0;0;0
"130";0;0;0;0;0;0;0;0;0
"131";0;0;0;0;0;5;5;5;5
"132";0;0;0;0;0;0;0;2;2
"133";0;0;0;0;0;0;0;2;2
"134";0;0;0;0;0;0;3;3;3
"135";0;0;0;0;0;0;3;3;3
"136";0;0;7;7;7;7;7;7;7
"137";0;0;0;0;0;0;0;2;2
"138";0;0;0;0;0;0;0;0;1
"139";0;0;0;0;0;0;0;2;2
"140";0;0;0;0;6;6;6;6;6
"141";0;0;0;0;0;4;4;4;4
"142";0;0;0;0;0;0;0;0;0
"143";0;0;0;0;6;6;6;6;6
