"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"non";0,929;0,037;-0,12;-0,502;1,263;-1,677;0,037
"molto";3,222;-1,492;0,237;-0,355;0,237;0,711;-3,904
"ottimo";0,001;0,507;4,963;-13,104;0,857;0,012;-0,43
"locale";4,108;-11,536;-0,003;0,457;5,028;1,12;-7,806
"buono";1,33;-3,96;0,035;-4,842;0,035;8,476;-0,537
"anche";-0,025;1,585;-0,349;0,193;0,007;-0,541;-0,025
"fare";-0,234;1,534;-5,267;-1,633;4,318;1,112;-0,234
"tutto";0,675;0,675;-0,392;0,457;0,272;-2,521;-0,147
"prezzo";1,33;-0,011;0,618;-0,824;-2,584;1,575;-0,537
"qualità";-1,12;0,008;4,318;-1,633;-1,444;2,43;-0,234
"servizio";9,354;-8,625;-0,085;0,451;0,557;5,938;-16,215
"pizza";-1,706;-5,988;29,785;0,001;-4,602;3,488;-3,521
"piatto";14,937;-9,703;-0,158;-0,03;0,391;6,182;-13,336
"più";-0,665;0,097;0,018;-1,08;3,038;-0,032;-0,063
"mangiare";0,208;-0,01;0,084;0,696;-3,366;0,96;-0,435
"primo";2,875;-1,008;-0,247;-5,709;1,092;7,61;-4,342
"personale";0,546;-0,128;0,355;-11,637;7,206;0,123;-0,822
"romano";28,041;-1,658;9,363;-7,793;-4,675;-0,123;-3,371
"provare";0,215;4,342;-1,092;-0,148;0;-0,15;-0,379
"cibo";0,867;-0,022;-4,603;0,01;12,237;0;-5,303
"sempre";-1,5;2,161;-0,009;0,429;2,091;-2,017;-0,471
"ristorante";8,625;-6,317;-7,96;2,464;0,657;10,937;-12,985
"tornare";0,804;-1,567;-0,036;0,011;0,103;2,798;-3,201
"trovare";9,529;2,161;-1,253;-1,015;3,838;-8,067;-1,5
"prendere";-3,134;-0,447;-4,378;-1,069;2,486;2,791;4,344
"gentile";0,185;-0,414;0,825;-0,866;0,158;3,089;-5,081
"roma";2,867;-0,279;3,053;-4,172;0,476;-6,386;1,295
"consiglio";-0,683;1,753;3,247;-1,304;-0,06;-0,415;-0,083
"due";-0,014;-0,447;-2,459;-0,219;2,486;4,641;-1,487
"cena";6,515;-8,604;-1,249;1,336;2,23;4,238;-12,124
"cucina";9,617;-0,546;-1,249;1,336;0,201;0,017;-8,604
"testaccio";-0,008;11,257;0,012;-1,173;-0,192;-1,112;-0,441
"vino";7,806;-2,029;-5,028;-1,677;1,439;10,083;-6,914
"dire";2,118;-8,604;-1,249;-0,287;2,23;0,017;2,118
"davvero";1,684;3,453;-0,556;-0,588;-0,045;-1,926;0,031
"tavolo";0,091;-4,357;-1,368;8,625;5,02;0,184;-7,206
"scelta";0,435;-2,472;-0,674;-1,981;3,366;3,841;-1,029
"altro";1,695;-0,111;-3,182;0,202;1,767;-3,835;1,695
"dolce";5,056;-7,556;-2,028;-0,812;0,026;3,467;0,34
"porre";-0,208;3,151;0,058;-0,068;3,366;-0,96;-4,538
"poco";1,482;-1,029;-0,084;0,098;0,058;-0,24;0,01
"amico";-0,027;-0,541;-2,567;1,433;2,743;-0,019;-0,027
"consigliare";3,151;1,482;-0,084;-6,526;0,597;-0,24;-0,208
"buonissimo";2,392;-0,027;0,001;-5,389;-1,122;-1,297;10,614
"solo";-0,057;-0,057;-2,798;0,286;10,144;-0,051;-1,885
