"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"assaggiare";0,797;0,015;0,986;0,272;0,986;0,021;0,327
"trattoria";0,001;0,175;0,572;0,191;0,572;0,101;0,175
"rapporto";0,043;0,163;0,003;0,193;0,026;0,913;0,977
"cordiale";0,476;0,977;0,355;0,419;0,355;0,275;0,512
"vedere";0,578;0,219;0,314;0,986;0,314;0,119;0,144
"torta";0,224;0,224;0,192;0,903;0,741;0,568;0
"piacere";0,386;0,386;0,035;0,243;0,206;0,079;0,022
"offrire";0,208;0,208;0,933;0,66;0;0,258;0,582
"mercato";0,475;0;0,947;0,134;0,096;0,061;0,12
"alto";0,713;0,775;0,185;0,03;0,245;0,014;0,347
"supplì";0,267;0,808;0,001;0,151;0,111;0,782;0,136
"scegliere";0,977;0,977;0,706;0,55;0,706;0,275;0,163
"ragazzo";0,527;0,448;0,63;0,217;0,253;1;0,527
"birra";0,484;0,484;0,64;0,106;0,048;0,184;0,377
"spesso";0,265;0,273;0,127;0,045;0,562;0,112;0,265
"persona";0,146;0,184;0,857;0,603;0,071;1;0,184
"giorno";0,022;0,208;0,933;0,243;0,555;0,611;0,874
"cortese";0,273;0,719;0,41;0,074;0,903;0,768;0,705
"location";0,273;0,064;0,562;0,788;0,903;0,022;0,265
"gustoso";0,184;0,146;0,253;0,051;0,63;0,541;0,527
"caffè";0,711;0,598;0,502;0,17;0,299;0,152;0,598
"aperitivo";0,253;0,309;0,221;0,001;0,845;0,666;0,253
"meglio";0,004;0,184;0,03;0,363;0,857;1;0,95
"forse";0;0,476;0,784;0,419;0,115;0,056;0,977
"attento";0,001;0,064;0,562;0,304;0,903;0,317;0,265
"perdere";0,874;0,208;0,448;0,773;0,206;0,611;0,386
"mettere";0,163;0,512;0,115;0,131;0,304;0,913;0,977
"lasciare";0,003;0,582;0,152;0,773;0,206;0,258;0,208
"comunque";0,512;0,18;0,115;0,55;0,304;0,913;0,476
"cenare";0,641;0,056;0,481;0,259;0,037;0,818;0,056
"ancora";0,265;0,719;0,41;0,788;0,562;0,317;0,705
"un_posto";0,64;0,048;0,627;0,858;0,627;0,399;0,774
"sedere";0,598;0,002;0,127;0,653;0,854;0,519;0,154
"porzione";0,848;0,848;0,279;0,379;0,261;0,195;0,848
"pizzeria";0,475;0,12;0;0,134;0,947;0,738;0,12
"pasticceria";0,287;0,287;0,255;0,876;0,255;0,783;0
"già";0,002;0,927;0,774;0,423;0,774;0,95;0,094
"abbondante";0,561;0,083;0,697;0,094;0,279;0,048;0,848
"varietà";0,083;0,034;0,729;0,479;0,261;0,951;0,848
"prenotare";0,034;0,335;0,729;0,479;0,729;0,459;0,083
"poi";0,265;0,273;0,047;0,788;0,903;0,724;0,067
"fuori";0,048;0,774;0,342;0,858;0,055;0,63;0,298
"fritto";0,561;0,176;0,063;0,094;0,011;0,951;0,335
"classico";0,067;0,705;0,41;0,304;0,2;0,768;0,719
"vi";0,848;0,176;0,697;0,379;0,069;0,156;0,848
"riuscire";0,377;0,377;0,073;0,989;0,006;0,448;0,927
"quasi";0,64;0,298;0,228;0,858;0,228;0,071;0,222
"polpetta";0,03;0,03;0,127;0,17;0,502;0,886;0,598
"pessimo";0,377;0,377;0,073;0,989;0,222;0,004;0,377
"pane";0,611;0,671;0,226;0,191;0,572;0,101;0,175
"interno";0,335;0,034;0,261;0,094;0,069;0,537;0,335
"fantastico";0,423;0,101;0,551;0,906;0,34;0,217;0,408
"esperienza";0,719;0,265;0,2;0,304;0,026;0,317;0,705
"eccezionale";0,048;0,073;0,342;0,34;0,627;0,63;0,774
"conoscere";0,176;0,848;0,261;0,379;0,279;0,951;0,848
"soddisfare";0,641;0,797;0,164;0,272;0,174;0,134;0,641
"nulla";0,298;0,774;0,817;0,858;0,017;0,399;0,774
"grazia";0,335;0,561;0,697;0,379;0,729;0,459;0,034
"vero";0,273;0,067;0,2;0,212;0,562;0,112;0,705
"peccato";0,001;0,106;0,858;0,472;0,858;0,217;0,408
"patata";0,335;0,176;0,063;0,094;0,697;0;0,335
"passare";0,705;0,719;0,562;0,006;0,047;0,768;0,719
"nuovo";0,423;0,408;0,084;0,073;0,17;0,603;0,423
"entrare";0,533;0,136;0,111;0,729;0,379;0,628;0,048
"delizioso";0,298;0,774;0,817;0,084;0,342;0,253;0,64
"complimento";0,298;0,64;0,095;0,34;0,627;0,63;0,774
"cioccolato";0,475;0,475;0,096;0,134;0,947;0,255;0
"super";0,377;0,484;0,048;0,423;0,298;0,527;0,484
"stesso";0,073;0,048;0,627;0,34;0,095;0,63;0,298
"squisito";0,408;0,989;0,084;0,472;0,084;0,104;0,101
"sabato";0,927;0,377;0,298;0,014;0,64;0,527;0,927
"ritornare";0,901;0,335;0,464;0,134;0,464;0,738;0,12
"però";0,298;0,64;0,228;0,551;0,342;0,63;0,774
"oggi";0,808;0,808;0,441;0,586;0,957;0,628;0,808
"leggero";0,094;0,484;0,006;0,106;0,222;0,527;0,377
"freddo";0,484;0,094;0,298;0,989;0;0,95;0,094
"discreto";0,002;0,094;0,298;0,408;0,073;0,146;0,377
"curare";0,377;0,094;0,073;0,408;0,006;0,146;0,377
"condire";0,048;0,298;0,017;0,084;0,228;0,253;0,073
"attesa";0,149;0,671;0,747;0,727;0,226;0,101;0,671
"amatriciana";0;0,753;0,168;0,214;0,651;0,312;0,197
"abbastanza";0,408;0,106;0,551;0,906;0,084;0,104;0,989
"vicino";0,901;0,901;0,947;0,134;0,002;0,688;0,12
"valere";0,989;0,001;0,551;0,12;0,084;0,217;0,408
"tagliare";0,927;0,094;0,073;0,423;0,774;0;0,094
"subito";0,106;0,014;0,858;0,472;0,17;0,603;0,423
"semplice";0,022;0,484;0,774;0,106;0,64;0,527;0,377
"quartiere";0,711;0,154;0,058;0,653;0,127;0,152;0,598
"quanto";0,067;0,265;0,562;0,625;0,562;0,724;0,705
"quantità";0,774;0,298;0,228;0,858;0,002;0,253;0,073
"pollo";0,12;0,071;0,387;0,526;0,002;0,688;0,12
"formaggio";0,407;0,846;0,741;0,241;0,741;0,034;0,224
"carta";0,671;0,671;0,146;0,116;0,747;0,101;0,175
"vista";0,222;0,048;0,228;0,858;0,817;0,399;0,298
"particolare";0,222;0,298;0,228;0,34;0,095;0,253;0,298
"niente";0,901;0,475;0,947;0,134;0,126;0,284;0,475
"lungo";0,004;0,846;0,741;0,903;0,192;0,568;0,846
"gentilezza";0,901;0,475;0,464;0,134;0,464;0,738;0,901
"forno";0,671;0,671;0,747;0,191;0,146;0,001;0,671
"decidere";0,611;0,611;0,572;0,727;0,572;0,412;0,671
"cucinare";0,484;0,484;0,222;0,989;0,774;0,527;0,094
"bar";0,287;0,932;0,255;0,012;0,964;0,783;0,932
"acqua";0,484;0,094;0,073;0,989;0,048;0,448;0,927
"verdura";0,309;0,309;0,221;0,993;0,405;0,666;0,253
"salato";0,175;0,671;0,146;0,191;0,226;0,101;0,149
"ragazza|ragazzo";0,12;0,475;0,096;0,82;0,126;0,284;0,335
"punto";0,989;0,014;0,34;0,906;0,858;0,217;0,989
"problema";0,598;0,598;0,502;0,163;0,299;0,886;0,598
"parlare";0,598;0,598;0,006;0,653;0,127;0,519;0,598
"oltre";0,808;0,048;0,441;0,586;0,957;0,782;0,533
"noto";0,224;0,224;0,192;0,903;0,106;0,221;0,407
"non_sono";0,484;0,094;0,298;0,423;0,64;0,146;0,484
"nessuno";0,711;0,598;0,502;0,636;0,058;0,886;0,154
"idea";0,377;0,377;0,298;0,106;0,222;0,146;0,135
"famiglia";0,901;0,335;0,096;0,526;0,947;0,284;0,901
"capitare";0,711;0,204;0,127;0,636;0,127;0,886;0,204
"bottiglia";0,064;0,846;0,192;0,353;0,741;0,744;0,224
"ultimo";0,927;0,377;0,64;0,423;0,774;0,146;0,927
"taglio";0,95;0,253;0;0,271;0,221;0,168;0,253
"stile";0,106;0,423;0,34;0,12;0;0,104;0,106
"scoprire";0,598;0,711;0,502;0,17;0,299;0,351;0,03
"riso";0,197;0,102;0,168;0,006;0,161;0,12;0,197
"presente";0,753;0,197;0,168;0,078;0,634;0,312;0,753
"possibilità";0,533;0,267;0,011;0,151;0,441;0,782;0,533
"pezzo";0,611;0,175;0,572;0,541;0,747;0,101;0,175
"pena";0,598;0,002;0,299;0,17;0,127;0,351;0,711
"materia";0,154;0,002;0,502;0,17;0,502;0,519;0,711
"gustare";0,989;0,014;0,34;0,472;0,34;0,603;0,408
"focaccia";0,224;0,224;0,106;0,241;0,192;0;0,224
"credere";0,423;0,989;0,858;0,906;0,551;0,363;0,423
"consigliatissimo";0,901;0,901;0,947;0,526;0,464;0,284;0,12
"bravo";0,253;0,036;0,405;0,271;0,845;0,666;0,95
"accoglienza";0,175;0,671;0,747;0,191;0,226;0,014;0,175
"vivamente";0,175;0,611;0,036;0,191;0,146;1;0,149
"tradizionale";0,03;0,598;0,854;0,653;0,854;0,351;0,598
"staff";0,175;0,149;0,572;0,727;0,747;0,101;0,175
"spendere";0,267;0,533;0,379;0,729;0,379;0,299;0,136
"sala";0,846;0,224;0,192;0,048;0,106;0,744;0,224
"rendere";0,533;0,136;0,441;0,151;0,088;0,213;0,267
"quindi";0,611;0,175;0,146;0,727;0,226;0,412;0,611
"purtroppo";0,753;0,753;0,168;0,446;0,651;0,062;0,753
"prenotazione";0,149;0,175;0,146;0,541;0,003;0,412;0,175
"preferire";0;0,711;0,502;0,17;0,299;0,085;0,154
"pietanza";0,808;0,533;0,957;0,216;0,441;0,213;0,136
"pensare";0,149;0,671;0,572;0,116;0,226;0,101;0,175
"ostiense";0,846;0,224;0,741;0,903;0,106;0,568;0,407
"onesto";0,671;0,149;0,226;0,727;0,146;1;0,671
"neanche";0,175;0,671;0,146;0,727;0;1;0,175
"fermare";0,711;0,711;0,127;0,636;0,299;0,886;0,598
"croccante";0,808;0,808;0,088;0,586;0,111;0,213;0,136
"collega";0,671;0,671;0,747;0,727;0,747;0,412;0,671
"cocktail";0,598;0,598;0,127;0,163;0;0,085;0,154
"accompagnare";0,753;0,753;0,651;0,214;0,02;0,312;0,197
"vecchio";0,004;0,533;0,441;0,729;0,111;0,782;0,808
"simpatia";0,671;0,611;0,226;0,191;0,572;0,412;0,671
"ricco";0,509;0,753;0,651;0,446;0,651;0,312;0,197
"resto";0,136;0,267;0,441;0,586;0,957;0,045;0,533
"pulire";0,753;0,197;0,161;0,81;0,634;0,876;0,753
"proposta";0,407;0,224;0,741;0,241;0,52;0,221;0,846
"positivo";0,753;0,197;0,168;0,81;0,651;0,062;0,102
"pomodoro";0,204;0,204;0,058;0,17;0,854;0,085;0,154
"originale";0,671;0,175;0,572;0,191;0,572;0,001;0,611
"minuto";0,753;0,753;0,634;0,81;0,651;0,312;0,753
"invece";0,048;0,533;0,111;0,586;0,088;0,782;0,533
"insomma";0,001;0,106;0,084;0,472;0,003;0,217;0,423
"giro";0,611;0,611;0,572;0,191;0,747;1;0,611
"giovane";0,509;0,753;0,161;0,81;0,634;0,484;0,197
"giapponese";0,287;0,287;0,255;0;0,032;0,199;0,287
"gelateria";0,287;0,287;0,255;0,305;0,255;0,199;0
"dire_che";0,598;0,598;0,854;0,02;0,854;0,886;0,154
"decisamente";0,598;0,711;0,502;0,163;0,502;0,886;0,711
"costo";0,753;0,197;0,168;0,078;0,634;0,312;0,753
"capire";0,071;0,901;0,387;0,526;0,387;0,688;0,335
"banco";0,197;0;0,651;0,214;0,634;0,12;0,197
"accogliere";0,753;0,753;0,634;0,81;0,651;0,484;0,102
"zucca";0,373;0,648;0,004;0,39;0,34;0,914;0,373
"vario|varo";0,846;0,064;0,192;0,903;0,741;0,221;0,224
"uscire";0,407;0,846;0,741;0,353;0,741;0,744;0,224
"saporire";0,509;0,509;0,161;0,214;0,651;0,12;0,509
"rosso";0,648;0,648;0,34;0,39;0,742;0,196;0,373
"pronto";0,253;0,036;0,845;0,993;0,221;0,666;0,309
"presentare";0,004;0,224;0,192;0,241;0,192;0,034;0,846
"perfetto";0,671;0,671;0,036;0,116;0,572;0,412;0,175
"insalata";0,932;0,217;0,255;0,876;0,964;0,463;0,287
"food";0,479;0;0,395;0,444;0,395;0,338;0,427
"familiare";0,253;0,253;0;0,271;0,221;0,168;0,309
"cura";0,197;0,102;0,651;0,078;0,651;0,484;0,753
"cuore";0,407;0,407;0,741;0,241;0,52;0,744;0,224
"colazione";0,373;0,648;0,107;0,39;0,34;0,282;0,071
"coda";0,006;0,798;0,899;0,345;0,294;0,921;0,327
"base";0,533;0,533;0,011;0,216;0,111;0,782;0,533
"x";0,224;0,224;0,741;0,903;0,741;0,003;0,846
"tranquillo";0,102;0,197;0,634;0,214;0,634;0,876;0,753
"tiramisù";0,002;0,154;0,854;0,17;0,502;0,519;0,598
"sugo";0;0,427;0,395;0,444;0,395;0,719;0,427
"strepitoso";0,753;0,509;0,168;0,214;0,161;0,312;0,753
"spazio";0,149;0,671;0,572;0,727;0,226;1;0,175
"sorpresa";0,598;0,711;0,854;0,636;0,502;0,085;0,03
"secco";0,309;0,95;0,845;0,263;0,221;0,666;0,95
"scarso";0,309;0,95;0,845;0,263;0,845;0,168;0,95
"salso";0,671;0,611;0,146;0,541;0,036;1;0,175
"recensioni";0,753;0,753;0,651;0,214;0,634;0,062;0,753
"pausa";0,846;0,846;0,01;0,241;0,741;0,568;0,846
"ormai";0,598;0,204;0,502;0,636;0,127;0,886;0,204
"ordine";0,671;0,671;0,146;0,191;0,003;1;0,611
"occasione";0,671;0,175;0,747;0,541;0,036;0,101;0,611
"mozzarella";0,846;0,407;0,01;0,241;0,192;0,744;0,224
"misto";0,224;0,846;0,192;0,241;0,106;0,003;0,224
"luogo";0,149;0,671;0,226;0,191;0,747;1;0,175
"livello";0,598;0,598;0,127;0,163;0,058;0,519;0,154
"impeccabile";0,711;0,598;0,299;0,636;0,127;0,152;0,154
"impasto";0,197;0,753;0;0,214;0,168;0,484;0,753
"gradevole";0,808;0,533;0,441;0,729;0,957;0,628;0,808
"gestore";0,309;0,036;0,405;0,271;0,845;0,168;0,253
"gentilissimo";0,846;0,064;0,192;0,241;0,741;0,221;0,846
"frequentare";0,598;0,03;0,058;0,636;0,502;0,085;0,154
"fatto";0,309;0,95;0,845;0,271;0,221;0,143;0,95
"domenica";0,846;0,224;0,741;0,241;0,01;0,221;0,224
"deludere";0,175;0,175;0,747;0;0,572;1;0,671
"contorno";0,217;0,287;0,294;0,305;0,964;0,463;0,287
"cicoria";0,036;0,95;0,845;0,271;0,221;0,143;0,253
"bruschetta";0,932;0,287;0,964;0,305;0,964;0,006;0,287
"benissimo";0,509;0,753;0,651;0,446;0,651;0,876;0,753
"basso";0,932;0,287;0,255;0,876;0,255;0,006;0,932
"baccalà";0,427;0,027;0,563;0,444;0,395;0,719;0,427
"appena";0,611;0,611;0,146;0,191;0,572;0,101;0,611
"volentieri";0,197;0,509;0,634;0,446;0,651;0,484;0,509
"vivo";0,102;0,197;0,651;0,446;0,634;0,484;0,753
"tre";0,136;0,136;0,294;0,745;0,899;0,236;0,327
"rapido";0,932;0,287;0,255;0,876;0,964;0,006;0,287
"proporre";0,509;0,753;0,168;0,078;0,651;0,312;0,197
"posto";0,327;0,136;0,294;0,345;0,294;0,002;0,327
"pecorino";0,798;0,136;0,294;0,345;0,294;0,038;0,327
"pecca";0,064;0,004;0,192;0,903;0,192;0,142;0,846
"pasto";0,253;0,309;0,063;0,993;0,221;0,605;0,253
"passato";0,753;0,009;0,634;0,214;0,651;0,484;0,753
"olio";0,224;0,407;0,192;0,903;0,52;0,034;0,224
"lì";0,197;0,102;0,651;0,078;0,651;0,484;0,753
"fiore";0,327;0,798;0,013;0,345;0,294;0,921;0,798
"evitare";0,711;0,154;0,127;0,636;0,299;0,519;0,711
"economico";0,327;0,798;0,899;0,745;0,899;0,921;0,798
"crudo";0,253;0,95;0,845;0,993;0,221;0,605;0,036
"condimento";0,846;0,407;0,01;0,241;0,52;0,142;0,224
"buffet";0,932;0,287;0,255;0;0,964;0,783;0,287
"bibita";0,253;0,036;0,845;0,993;0,063;0,168;0,253
"bevanda";0,846;0,846;0,741;0,353;0,01;0,142;0,224
"bancone";0,287;0,017;0,255;0,305;0,294;0,783;0,932
"attenzione";0,197;0,753;0,651;0,446;0,161;0,484;0,509
"aprire";0,753;0,102;0,651;0,078;0,651;0,12;0,753
"trattare";0,217;0,287;0,964;0,012;0,964;0,199;0,287
"tagliere";0,327;0,327;0,899;0,745;0,294;0,002;0,327
"storico";0,932;0,932;0,964;0,876;0,255;0,783;0,217
"splendido";0,846;0,846;0,192;0,241;0,741;0,003;0,846
"sperare";0,671;0,611;0,572;0,727;0,747;1;0,611
"speciale";0,95;0,253;0,221;0,271;0,004;0,605;0,95
"sotto";0,253;0,95;0,845;0,271;0,063;0,143;0,253
"sopra";0,407;0,846;0,52;0,241;0,192;0,034;0,224
"rustico";0,648;0,373;0,742;0,39;0,34;0,914;0,071
"romanesco";0,217;0,932;0,964;0,305;0,255;0,463;0,932
"rispondere";0,846;0,224;0,192;0,002;0,52;0,568;0,846
"quattro";0,036;0,309;0,221;0,271;0,405;0,168;0,95
"professionalità";0,753;0,197;0,161;0,446;0,161;0,12;0,753
"professionale";0,009;0,753;0,651;0,214;0,651;0,312;0,197
"pinsa";0,494;0,494;0;0,509;0,463;0,408;0,494
"piazza";0,648;0,373;0,004;0,39;0,34;0,282;0,648
"panna";0,224;0,224;0,192;0,241;0,192;0,568;0
"manzo";0,846;0,224;0,192;0,903;0,741;0;0,224
"inoltre";0,671;0,149;0,146;0,727;0,003;0,412;0,175
"ideale";0,753;0,509;0,634;0,446;0,651;0,484;0,753
"hamburger";0,95;0,001;0,221;0,271;0,845;0,605;0,253
"gruppo";0,102;0,197;0,651;0,81;0,161;0,876;0,197
"gricia";0;0,197;0,168;0,214;0,168;0,006;0,197
"gestire";0,224;0,407;0,192;0,353;0,106;0,142;0,407
"genuino";0,327;0,006;0,899;0,345;0,899;0,236;0,798
"fungo";0,427;0,427;0,395;0,444;0,563;0,003;0,427
"formula";0,287;0,932;0,255;0;0,255;0,199;0,287
"eat";0,327;0,327;0,294;0;0,899;0,236;0,798
"crema";0,509;0,197;0,168;0,214;0,168;0,312;0
"continuare";0,197;0,102;0,651;0,446;0,161;0,12;0,753
"can";0,287;0,287;0,255;0;0,964;0,199;0,287
"bicchiere";0,846;0,846;0,741;0,048;0,106;0,142;0,224
"bere";0,95;0,95;0,221;0,271;0,004;0,605;0,253
"bambino";0,224;0,407;0,741;0,903;0,741;0,568;0,064
"aspettare";0,327;0,136;0,294;0,345;0,192;0,921;0,798
"apprezzare";0,009;0,753;0,651;0,214;0,161;0,484;0,197
"amichevole";0,932;0,932;0,294;0,305;0,032;0,199;0,287
"aggiungere";0,846;0,846;0,52;0,241;0,106;0,568;0,846
"you";0,287;0,287;0,255;0;0,964;0,199;0,287
"visita";0,846;0,846;0,741;0,353;0,52;0,142;0,407
"tenere";0,95;0,95;0,221;0,993;0,063;0,168;0,309
"spritz";0,373;0,648;0,34;0,598;0,107;0,914;0,373
"scadente";0,407;0,224;0,192;0,353;0,741;0,034;0,224
"salume";0,798;0,327;0,899;0,345;0,294;0,002;0,327
"richiesta";0,932;0,932;0,255;0,181;0,964;0,783;0,932
"pò";0,95;0,253;0,221;0,026;0,405;0,666;0,95
"probabilmente";0,95;0,309;0,221;0,263;0,405;0,168;0,95
"presto";0,253;0,95;0,845;0,993;0,845;0,605;0,309
