"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"non";0,335;0,848;0,729;0,479;0,261;0,195;0,848
"molto";0,073;0,222;0,627;0,551;0,627;0,399;0,048
"ottimo";0,977;0,476;0,026;0;0,355;0,913;0,512
"locale";0,043;0,001;0,958;0,499;0,025;0,29;0,005
"buono";0,249;0,047;0,851;0,028;0,851;0,004;0,464
"anche";0,874;0,208;0,555;0,66;0,933;0,462;0,874
"fare";0,628;0,215;0,022;0,201;0,038;0,292;0,628
"tutto";0,411;0,411;0,531;0,499;0,602;0,112;0,701
"prezzo";0,249;0,917;0,432;0,364;0,108;0,21;0,464
"qualità";0,29;0,928;0,038;0,201;0,229;0,119;0,628
"servizio";0,002;0,003;0,771;0,502;0,456;0,015;0
"pizza";0,192;0,014;0;0,981;0,032;0,062;0,061
"piatto";0;0,002;0,691;0,862;0,532;0,013;0
"più";0,415;0,755;0,894;0,299;0,081;0,857;0,801
"mangiare";0,648;0,919;0,772;0,404;0,067;0,327;0,51
"primo";0,09;0,315;0,619;0,017;0,296;0,006;0,037
"personale";0,46;0,72;0,551;0,001;0,007;0,726;0,365
"romano";0;0,198;0,002;0,005;0,031;0,726;0,066
"provare";0,643;0,037;0,296;0,7;0,986;0,698;0,538
"cibo";0,352;0,883;0,032;0,92;0;1;0,021
"sempre";0,221;0,142;0,926;0,513;0,148;0,156;0,493
"ristorante";0,003;0,012;0,005;0,117;0,418;0,001;0
"tornare";0,37;0,211;0,849;0,916;0,748;0,094;0,074
"trovare";0,002;0,142;0,263;0,314;0,05;0,005;0,221
"prendere";0,077;0,504;0,036;0,301;0,115;0,095;0,037
"gentile";0,667;0,52;0,364;0,352;0,691;0,079;0,024
"roma";0,09;0,598;0,081;0,041;0,49;0,012;0,255
"consiglio";0,409;0,185;0,072;0,254;0,806;0,52;0,773
"due";0,906;0,504;0,117;0,64;0,115;0,031;0,223
"cena";0,011;0,003;0,264;0,248;0,135;0,04;0
"cucina";0,002;0,46;0,264;0,248;0,654;0,895;0,003
"testaccio";0,928;0,001;0,914;0,279;0,661;0,292;0,506
"vino";0,005;0,154;0,025;0,195;0,23;0,001;0,009
"dire";0,146;0,003;0,264;0,592;0,135;0,895;0,146
"davvero";0,194;0,063;0,456;0,443;0,832;0,165;0,86
"tavolo";0,763;0,037;0,242;0,003;0,025;0,668;0,007
"scelta";0,51;0,116;0,412;0,159;0,067;0,05;0,31
"altro";0,193;0,739;0,074;0,653;0,184;0,05;0,193
"dolce";0,025;0,006;0,154;0,368;0,872;0,063;0,56
"porre";0,648;0,076;0,809;0,794;0,067;0,327;0,033
"poco";0,224;0,31;0,772;0,754;0,809;0,624;0,919
"amico";0,869;0,462;0,109;0,231;0,098;0,891;0,869
"consigliare";0,076;0,224;0,772;0,011;0,44;0,624;0,648
"buonissimo";0,122;0,869;0,979;0,02;0,29;0,255;0,001
"solo";0,811;0,811;0,094;0,593;0,001;0,821;0,17
"venire";0,415;0,381;0,503;0,299;0,14;0,753;0,15
"pranzo";0,767;0,369;0,094;0,456;0,242;0,045;0,007
"antipasto";0,007;0,007;0,242;0,456;0,592;0;0,007
"accogliente";0,369;0,372;0,592;0,048;0,005;0,535;0,372
"veramente";0,12;0,417;0,214;0,415;0,655;0,059;0,826
"sicuramente";0,598;0,101;0,714;0,167;0,023;0,564;0,598
"gusto";0,71;0,826;0,907;0,155;0,071;0,171;0,046
"bene";0,369;0,763;0,974;0,273;0,974;0,253;0,372
"grande";0,154;0,324;0,23;0,573;0,602;0,597;0,827
"volere";0,603;0,519;0,78;0,148;0,166;0,057;0,603
"veloce";0,888;0,282;0,473;0,063;0,89;0,089;0,049
"bello";0,64;0,888;0,308;0,545;0,061;0,528;0,175
"panino";0,12;0;0,387;0,526;0,947;0,255;0,12
"carino";0,329;0,869;0,606;0,02;0,569;0,062;0,462
"cameriere";0,282;0,049;0,029;0,984;0,014;0,006;0,01
"zona";0,655;0,85;0,266;0,317;0,92;0,243;0,655
"piccolo";0,888;0,888;0,89;0,518;0,89;0,331;0,64
"servire";0,767;0,763;0,242;0,63;0,094;0,34;0,037
"ordinare";0,222;0,548;0,145;0,413;0,133;0,053;0,222
"ben";0,189;0,301;0,042;0,377;0,449;0,815;0,301
"arrivare";0,521;0,984;0,145;0,413;0,036;0,804;0,065
"simpatico";0,826;0,16;0,033;0,415;0,214;0,219;0,71
"mai";0,032;0,71;0,497;0,415;0,116;0,85;0,01
"casa";0,548;0,065;0,363;0,018;0,363;0,013;0,984
"qui";0,324;0,112;0,958;0,955;0,23;0,034;0,154
"pepe";0;0,279;0,086;0,023;0,012;0,104;0,018
"disponibile";0,242;0,989;0,196;0,863;0,458;0,288;0,02
"carciofo";0;0,448;0,132;0,051;0,03;0,067;0,043
"anno";0,135;0,372;0,242;0,174;0,974;0,095;0
"serata";0,521;0,065;0,145;0,036;0;0,18;0,014
"sapore";0,335;0,12;0,655;0,687;0,655;0,85;0,16
"euro";0,645;0,387;0,086;0,048;0,15;0,368;0,839
"ambiente";0,984;0,065;0,133;0,082;0,363;0,053;0,222
"tipico";0,003;0,208;0,555;0,66;0,555;0,258;0,208
"menù";0;0,222;0,145;0,413;0,133;0,18;0,014
"fresco";0,387;0,074;0,278;0,539;0,65;0,791;0,839
"così";0,85;0,036;0,613;0,336;0,92;0,542;0,279
"cacio";0;0,347;0,051;0,03;0,016;0,192;0,025
"sera";0,521;0,222;0,784;0,413;0,751;0,804;0,984
"secondo";0,009;0,075;0,432;0,303;0,851;0,002;0,016
"qualche";0,112;0,827;0,958;0,573;0,958;0,597;0,154
"pasta";0,074;0,126;0,419;0,035;0,086;0,001;0,387
"carbonaro";0,003;0,208;0,933;0,243;0,035;0,009;0,208
"carne";0,43;0,144;0,314;0,478;0,36;0,001;0,033
"proprietario";0,235;0,797;0,986;0,722;0,481;0,686;0,327
"eccellente";0,02;0,111;0,934;0,411;0,934;0,876;0,775
"cliente";0,085;0,85;0,613;0,317;0,266;0,959;0,279
"buon";0,387;0,387;0,278;0,048;0,419;0,397;0,387
"atmosfera";0,282;0,049;0,473;0,013;0,195;0,528;0,64
"musico";0,641;0,235;0,041;0,699;0;0,299;0,056
"ingrediente";0,018;0;0,02;0,023;0,19;0,959;0,655
"gelato";0,197;0,197;0,168;0,214;0,634;0,12;0
"assolutamente";0,951;0,016;0,72;0,173;0,82;0,05;0,197
"unico";0,548;0,012;0,04;0,413;0,784;0,804;0,984
"tradizione";0;0,184;0,857;0,051;0,132;0,541;0,043
"tempo";0,144;0,409;0,48;0,336;0,19;0,611;0,85
"friggere";0,512;0,476;0,02;0,55;0,115;0,275;0,163
"via";0,448;0,184;0,03;0,104;0,63;0,222;0,031
"rimanere";0,018;0,085;0,266;0,021;0,92;0,286;0,655
"proprio";0,235;0,327;0,502;0,722;0,481;0,818;0,797
"portare";0,782;0,021;0,216;0,016;0,992;0,021;0,098
"ogni";0,347;0,307;0,185;0,881;0,589;0,118;0,307
"ne";0,117;0,713;0,533;0,372;0,992;0,537;0,713
"menu";0,464;0,075;0,432;0,701;0,681;0,002;0,075
"medio";0,409;0,279;0,48;0,758;0,266;0,286;0,279
"soprattutto";0,839;0,387;0,15;0,153;0,15;0,368;0,645
"pagare";0,839;0,387;0,278;0,001;0,859;0,397;0,028
"troppo";0,307;0,025;0,074;0,602;0,934;0,002;0,347
"pieno";0,713;0,775;0,481;0,135;0,481;0,465;0,347
"giusto";0,95;0,95;0,857;0,051;0,014;0,541;0,95
"conto";0,027;0,098;0,064;0,079;0,533;0,08;0,098
"chiedere";0,95;0,043;0,132;0,019;0,071;0,541;0,95
"caldo";0,797;0,327;0,502;0,272;0,481;0,818;0,641
"sushi";0,154;0,598;0,127;0;0,299;0,085;0,598
"prodotto";0,208;0,115;0,206;0,66;0,555;0,017;0,386
"piacevole";0,184;0,184;0,399;0,845;0,002;1;0,95
"migliore";0,386;0,874;0,933;0,66;0,448;0,91;0,874
"diverso";0,014;0,028;0,65;0,946;0,859;0,397;0,387
"ampio";0,874;0,208;0,555;0,66;0,933;0,048;0,208
"sentire";0,347;0,347;0,185;0,03;0,051;0,676;0,307
"preparare";0,548;0,059;0,387;0,646;0,133;0,804;0,222
"pesce";0,527;0,527;0,132;0;0,857;1;0,184
