"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
" 3";" 8";"37.50";" 5.12";"calice";"2.369487e-02"
" 4";"13";"30.77";" 4.68";"resto";"3.045432e-02"
" 4";"13";"30.77";" 4.68";"baccalà";"3.045432e-02"
" 3";" 9";"33.33";" 4.05";"offerta";"4.411782e-02"
" 3";" 9";"33.33";" 4.05";"settimana";"4.411782e-02"
" 4";"14";"28.57";" 3.96";"polpetta";"4.668497e-02"
" 4";"14";"28.57";" 3.96";"carta";"4.668497e-02"
" 4";"14";"28.57";" 3.96";"vecchio";"4.668497e-02"
" 2";" 5";"40.00";" 3.76";"moderno";"5.239955e-02"
" 2";" 5";"40.00";" 3.76";"pesante";"5.239955e-02"
" 2";" 5";"40.00";" 3.76";"entrata";"5.239955e-02"
" 2";" 5";"40.00";" 3.76";"storia";"5.239955e-02"
" 2";" 5";"40.00";" 3.76";"spartano";"5.239955e-02"
" 8";"39";"20.51";" 3.69";"veloce";"5.474920e-02"
" 6";"26";"23.08";" 3.65";"secondo";"5.620777e-02"
" 7";"33";"21.21";" 3.42";"sera";"6.423611e-02"
" 3";"10";"30.00";" 3.22";"positivo";"7.263033e-02"
" 3";"10";"30.00";" 3.22";"costo";"7.263033e-02"
" 3";"10";"30.00";" 3.22";"posto";"7.263033e-02"
" 3";"10";"30.00";" 3.22";"passato";"7.263033e-02"
" 3";"10";"30.00";" 3.22";"gruppo";"7.263033e-02"
" 4";"16";"25.00";" 2.82";"peccato";"9.330807e-02"
" 2";" 6";"33.33";" 2.63";"hamburger";"1.047232e-01"
" 2";" 6";"33.33";" 2.63";"inizio";"1.047232e-01"
" 2";" 6";"33.33";" 2.63";"salsiccia";"1.047232e-01"
" 2";" 6";"33.33";" 2.63";"alice";"1.047232e-01"
" 2";" 6";"33.33";" 2.63";"chef";"1.047232e-01"
" 2";" 6";"33.33";" 2.63";"arredo";"1.047232e-01"
" 6";"29";"20.69";" 2.56";"tipico";"1.097991e-01"
" 3";"11";"27.27";" 2.56";"rosso";"1.092720e-01"
" 8";"43";"18.60";" 2.54";"dolce";"1.112427e-01"
" 5";"23";"21.74";" 2.41";"alto";"1.208306e-01"
" 4";"17";"23.53";" 2.37";"pizzeria";"1.239537e-01"
" 4";"17";"23.53";" 2.37";"freddo";"1.239537e-01"
