"";"x"
"1";2
"2";5
"3";0
"4";6
"5";0
"6";0
"7";2
"8";6
"9";0
"10";7
"11";6
"12";2
"13";4
"14";4
"15";6
"16";0
"17";2
"18";2
"19";2
"20";4
"21";3
"22";3
"23";0
"24";4
"25";2
"26";2
"27";6
"28";3
"29";2
"30";1
"31";2
"32";7
"33";2
"34";3
"35";0
"36";6
"37";7
"38";0
"39";3
"40";0
"41";0
"42";5
"43";4
"44";7
"45";0
"46";4
"47";7
"48";0
"49";3
"50";5
"51";4
"52";6
"53";4
"54";5
"55";0
"56";0
"57";4
"58";1
"59";6
"60";5
"61";6
"62";1
"63";4
"64";0
"65";1
"66";2
"67";1
"68";1
"69";0
"70";3
"71";7
"72";5
"73";3
"74";7
"75";1
"76";2
"77";5
"78";7
"79";0
"80";5
"81";6
"82";3
"83";5
"84";1
"85";0
"86";3
"87";5
"88";5
"89";6
"90";0
"91";4
"92";2
"93";1
"94";5
"95";4
"96";4
"97";3
"98";1
"99";4
"100";5
"101";7
"102";4
"103";2
"104";6
"105";5
"106";3
"107";5
"108";0
"109";3
"110";0
"111";6
"112";6
"113";1
"114";7
"115";7
"116";7
"117";2
"118";7
"119";0
"120";0
"121";2
"122";6
"123";3
"124";7
"125";0
"126";7
"127";3
"128";6
"129";0
"130";2
"131";4
"132";2
"133";6
"134";6
"135";6
"136";7
"137";2
"138";1
"139";0
"140";3
"141";0
"142";0
"143";0
"144";4
"145";7
"146";2
"147";1
"148";4
"149";6
"150";1
"151";3
"152";1
