ottimo;14;20;16;12;11;19;12
locale;13;12;16;17;11;13;9
buono;14;14;15;13;13;14;12
prezzo;12;19;13;13;11;15;11
qualità;11;16;10;13;9;15;8
servizio;15;7;13;14;11;12;2
pizza;3;4;5;4;6;16;5
piatto;12;1;12;9;12;6;3
primo;14;9;10;10;9;9;5
personale;13;13;11;15;4;14;7
romano;13;5;5;3;12;13;2
cibo;9;7;10;13;4;7;3
ristorante;13;1;13;6;8;2;1
gentile;10;10;10;9;7;13;7
consiglio;8;16;8;7;6;12;7
cena;6;2;10;11;13;3;1
cucina;12;4;6;9;11;7;1
vino;9;1;10;4;6;2;0
tavolo;5;2;8;8;5;5;3
scelta;6;5;8;10;5;6;4
dolce;9;3;6;5;8;2;10
amico;4;5;5;12;4;6;4
buonissimo;6;8;4;5;4;9;10
solo;7;3;4;14;6;6;5
pranzo;4;5;5;3;6;9;4
antipasto;11;0;5;4;8;1;0
accogliente;5;8;7;7;4;8;2
sicuramente;2;4;8;11;6;5;4
gusto;6;10;2;3;2;5;6
grande;3;10;5;5;4;4;4
veloce;3;4;8;4;8;9;3
bello;6;4;8;6;4;6;2
panino;0;10;1;2;0;1;1
carino;4;4;11;4;2;8;3
cameriere;9;0;3;10;6;3;1
zona;3;6;1;6;4;5;3
piccolo;6;6;5;5;5;5;7
simpatico;2;9;4;6;3;8;2
casa;6;4;3;4;2;7;4
pepe;9;0;1;0;9;9;0
disponibile;5;7;9;8;1;7;1
carciofo;9;2;0;0;7;3;0
anno;6;4;5;3;4;3;10
serata;3;1;7;13;4;3;0
sapore;3;6;3;8;3;3;5
euro;2;2;5;5;8;2;5
ambiente;5;2;8;4;5;4;0
tipico;8;2;1;4;6;5;3
menù;7;3;6;7;5;1;0
fresco;4;8;3;4;1;3;4
cacio;8;0;1;0;8;9;0
sera;4;3;3;7;7;6;3
secondo;8;1;1;4;6;4;2
pasta;7;2;3;1;7;3;4
carbonaro;6;1;2;0;8;4;0
carne;2;2;6;4;3;1;2
proprietario;2;5;3;1;1;6;3
eccellente;10;2;3;3;2;4;5
cliente;3;4;2;10;3;4;6
atmosfera;5;4;10;4;3;5;4
musico;3;1;7;7;0;1;0
ingrediente;0;12;5;3;1;8;1
gelato;0;1;2;1;0;0;7
unico;1;6;5;3;4;4;4
tradizione;10;0;1;0;7;3;1
tempo;5;3;5;1;5;4;4
via;2;3;2;6;7;1;5
proprio;0;8;5;1;5;2;3
menu;8;0;7;5;5;1;0
medio;5;1;8;5;5;2;4
pieno;5;2;3;5;4;5;4
giusto;3;6;5;6;3;3;2
conto;4;0;5;5;10;1;1
caldo;4;8;3;5;2;1;4
prodotto;1;8;1;6;0;4;4
piacevole;1;2;9;9;2;1;3
migliore;5;6;1;1;3;2;2
diverso;6;3;4;2;3;2;2
ampio;3;2;4;4;2;2;1
pesce;3;2;4;5;1;1;1
trattoria;7;0;1;0;7;2;0
