"";"*RATING_3";"*RATING_4"
"adv";231;174
"nom";6434;5042
"pre";4565;3637
"ver";3506;2538
"adv_sup";2801;1889
"ver_sup";2368;1592
"int";17;18
"adj_sup";557;352
"pro";1736;1187
"sw";801;568
"abr";40;16
"det";2882;2087
"num";342;221
"nom_sup";495;309
"nr";1498;1255
"npr";4;7
"adj";4377;3573
"con";2057;1545
