"";"X.RATING_3";"X.RATING_4"
"adv";-0,3025;0,3025
"nom";-2,372;2,372
"pre";-2,8014;2,8014
"ver";1,0791;-1,0791
"adv_sup";3,9308;-3,9308
"ver_sup";3,5607;-3,5607
"int";-0,7093;0,7093
"adj_sup";2,2064;-2,2064
"pro";2,1808;-2,1808
"sw";0,7927;-0,7927
"abr";1,6994;-1,6994
"det";0,9586;-0,9586
"num";1,3388;-1,3388
"nom_sup";2,224;-2,224
"nr";-2,8131;2,8131
"npr";-0,8592;0,8592
"adj";-4,6034;4,6034
"con";-0,3206;0,3206
