"";"X.RATING_3";"X.RATING_4"
"adv";6,65;6,69
"nom";185,36;193,85
"pre";131,51;139,83
"ver";101,01;97,58
"adv_sup";80,69;72,63
"ver_sup";68,22;61,21
"int";0,49;0,69
"adj_sup";16,05;13,53
"pro";50,01;45,64
"sw";23,08;21,84
"abr";1,15;0,62
"det";83,03;80,24
"num";9,85;8,5
"nom_sup";14,26;11,88
"nr";43,16;48,25
"npr";0,12;0,27
"adj";126,1;137,37
"con";59,26;59,4
