"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"ottimo";0,315;0,137;0,023;0,24;0,199;0,158;0,086
"locale";0,232;0,053;0,032;0,042;0,951;0,317;0,033
"buono";0,113;0,205;0,583;0,244;0,353;0,399;0,481
"prezzo";0,728;0,096;0,65;0,996;0,764;0,87;0,22
"qualità";0,559;0,309;0,588;0,46;0,559;0,388;0,065
"servizio";0,001;0,006;0,098;0,139;0,266;0,987;0
"pizza";0,195;0,093;0,22;0,605;0,662;0;0,605
"piatto";0,003;0;0,626;0,021;0,003;0,148;0,016
"primo";0,001;0,276;0,861;0,645;0,599;0,396;0,031
"personale";0,04;0,942;0,049;0,847;0,002;0,455;0,049
"romano";0;0,05;0,014;0,22;0,002;0,031;0,005
"cibo";0,158;0,321;0,007;0,158;0,17;0,425;0,022
"ristorante";0;0,001;0,815;0;0,13;0,009;0,006
"gentile";0,281;0,542;0,736;0,645;0,562;0,266;0,266
"consiglio";0,914;0,015;0,227;0,658;0,32;0,436;0,334
"cena";0,824;0,004;0,024;0,049;0;0,024;0,004
"cucina";0,001;0,027;0,382;0,628;0,006;0,574;0,002
"vino";0,001;0,015;0,691;0,001;0,188;0,074;0,008
"tavolo";0,712;0,029;0,126;0,082;0,712;0,647;0,257
"scelta";0,715;0,209;0,058;0,296;0,833;0,556;0,257
"dolce";0,03;0,029;0,489;0,975;0,111;0,011;0,026
"amico";0,606;0,349;0,001;0,768;0,606;0,793;0,394
"buonissimo";0,824;0,942;0,361;0,203;0,359;0,443;0,049
"solo";0,387;0,02;0;0,229;0,77;0,504;0,508
"pranzo";0,813;0,546;0,203;0,989;0,33;0,091;0,575
"antipasto";0;0,005;0,883;0,542;0,004;0,032;0,014
"accogliente";1;0,611;0,588;0,46;0,559;0,489;0,042
"sicuramente";0,09;0,148;0,005;0,168;0,509;0,433;0,394
"gusto";0,253;0,025;0,26;0,115;0,186;0,773;0,447
"grande";0,439;0,033;0,945;0,925;0,87;0,36;0,628
"veloce";0,298;0,171;0,349;0,143;0,055;0,163;0,18
"bello";0,33;0,258;0,682;0,082;0,813;0,937;0,088
"panino";0,123;0;0,879;0,392;0,123;0,283;0,392
"carino";0,813;0,258;0,477;0,001;0,148;0,249;0,257
"cameriere";0,001;0,003;0,002;0,397;0,188;0,22;0,042
"zona";0,785;0,486;0,247;0,074;0,7;0,794;0,588
"piccolo";0,461;0,735;0,698;0,827;0,885;0,481;0,366
"simpatico";0,186;0,087;0,559;0,683;0,48;0,177;0,115
"casa";0,133;0,531;0,817;0,486;0,287;0,227;0,929
"pepe";0;0,006;0,013;0,074;0;0,01;0,016
"disponibile";0,827;0,791;0,178;0,034;0,03;0,664;0,016
"carciofo";0;0,313;0,037;0,044;0,001;0,788;0,044
"anno";0,29;0,294;0,23;0,925;0,87;0,145;0,003
"serata";0,62;0,018;0;0,102;0,889;0,251;0,01
"sapore";0,62;0,696;0,042;0,44;0,62;0,251;0,667
"euro";0,319;0,096;0,65;0,542;0,004;0,118;0,542
"ambiente";0,297;0,112;0,953;0,01;0,297;0,747;0,016
"tipico";0,004;0,096;0,883;0,064;0,11;0,87;0,535
"menù";0,025;0,271;0,098;0,22;0,342;0,032;0,014
"fresco";0,638;0,05;0,976;0,644;0,127;0,412;0,866
"cacio";0,001;0,009;0,017;0,097;0,001;0,004;0,021
"sera";0,988;0,154;0,211;0,357;0,064;0,727;0,357
"secondo";0,001;0,044;0,903;0,097;0,056;0,892;0,308
"pasta";0,014;0,131;0,069;0,644;0,014;0,412;0,866
"carbonaro";0,012;0,1;0,037;0,531;0;0,704;0,044
"carne";0,743;0,358;0,458;0,022;0,675;0,136;0,588
"proprietario";0,681;0,368;0,16;0,946;0,253;0,093;0,946
"eccellente";0;0,096;0,455;0,535;0,319;0,68;0,542
"cliente";0,571;0,424;0,002;0,149;0,571;0,503;0,348
"atmosfera";0,655;0,294;0,526;0,003;0,439;0,708;0,628
"musico";0,603;0,137;0,003;0,002;0,077;0,158;0,058
"ingrediente";0,019;0;0,409;0,604;0,088;0,076;0,056
"gelato";0,195;0,461;0,586;0,661;0,195;0,126;0
"unico";0,127;0,421;0,558;0,423;0,638;0,818;0,866
"tradizione";0;0,019;0,032;0,164;0,002;0,713;0,164
"tempo";0,256;0,351;0,069;0,423;0,256;0,818;0,866
"via";0,429;0,398;0,17;0,308;0,01;0,053;0,368
"proprio";0,042;0,018;0,106;0,267;0,149;0,241;0,834
"menu";0,001;0,009;0,455;0,029;0,217;0,053;0,021
"medio";0,389;0,021;0,717;0,019;0,389;0,101;0,929
"pieno";0,297;0,112;0,583;0,588;0,7;0,794;0,935
"giusto";0,785;0,486;0,247;0,481;0,785;0,366;0,244
"conto";0,576;0,009;0,455;0,368;0;0,053;0,097
"caldo";0,638;0,05;0,518;0,644;0,389;0,045;0,866
"prodotto";0,18;0,018;0,109;0,127;0,042;0,952;0,653
"piacevole";0,127;0,131;0,002;0,001;0,389;0,045;0,644
"migliore";0,056;0,093;0,183;0,212;0,675;0,407;0,588
"diverso";0,017;0,636;0,417;0,513;0,82;0,315;0,478
"ampio";0,53;0,467;0,324;0,264;0,879;0,522;0,271
"pesce";0,459;0,531;0,063;0,212;0,392;0,212;0,307
"trattoria";0;0,044;0,066;0,307;0;0,588;0,075
"rapporto";0,033;0,585;0,106;0,834;0,456;0,499;0,029
"cordiale";0,748;0,124;0,037;0,031;0,061;0,358;0,446
"torta";0,246;0,157;0,197;0,807;0,246;0,664;0
"mercato";0,436;0;0,076;0,086;0,436;0,081;0,347
"alto";0,89;0,236;0,811;0,43;0,121;0,157;0,43
"supplì";0,351;0,467;0,238;0,066;0,159;0;0,066
"ragazzo";0,82;0,437;0,236;0,978;0,623;0,713;0,164
"birra";0,161;0,104;0,395;0,724;0,973;0,968;0,111
"persona";0,199;0,137;0,117;0,787;0,809;0,461;0,651
"giorno";0,292;0,709;0,191;0,946;0,681;0,117;0,946
"cortese";0,217;0,398;0,903;0,795;0,032;0,289;0,795
"gustoso";0,973;0,104;0,02;0;0,037;0,57;0,111
"caffè";0,539;0,294;0,445;0,381;0,262;0,08;0,381
"aperitivo";0,219;0,535;0,616;0,001;0,219;0,576;0,715
"attento";0;0,272;0,884;0,164;0,344;0,315;0,164
"porzione";0,675;0,788;0,183;0,867;0,244;0,867;0,867
"pizzeria";0,392;0,187;0,066;0,307;0,124;0;0,075
"pasticceria";0,246;0,157;0,756;0,212;0,246;0,17;0
"abbondante";0,008;0,117;0,522;0,867;0,675;0,867;0,588
"varietà";0,077;0,068;0,209;0,321;0,315;0,538;0,787
"fritto";0,199;0,409;0,117;0,651;0,077;0,952;0,787
"classico";0,001;0,709;0,037;0,187;0,253;0,093;0,946
"polpetta";0,262;0,768;0,1;0,957;0,047;0,578;0,111
"pessimo";0,392;0,187;0,009;0,307;0,002;0,212;0,307
"pane";0,262;0,768;0,4;0,957;0,539;0,832;0,381
"interno";0,283;0,704;0,96;0;0,283;0,136;0,212
"fantastico";0,539;0,006;0,4;0,442;0,139;0,832;0,381
"esperienza";0,748;0,022;0,191;0,031;0,292;0,117;0,531
"eccezionale";0,953;0,187;0,718;0,307;0,019;0,867;0,622
"grazia";0,351;0,16;0,238;0,705;0,53;0,152;0,264
"vero";0,244;0,02;0,183;0,588;0,743;0,136;0,867
"peccato";0,013;0,052;0,796;0,086;0,093;0,662;0,54
"patata";0,886;0,681;0,879;0,953;0,008;0,743;0,098
"nuovo";0,392;0,145;0,264;0,045;0,953;0,05;0,075
"delizioso";0,53;0,16;0,647;0,063;0,087;0,458;0,705
"complimento";0,879;0,96;0,647;0,705;0,879;0,152;0,271
"cioccolato";0,6;0,342;0,362;0,127;0,155;0,093;0
"super";0,155;0,543;0,935;0,127;0,155;0,002;0,863
"squisito";0,154;0,115;0,131;0,562;0,174;0,108;0,039
"sabato";0,485;0,061;0,003;0,392;0,324;0,743;0,953
"oggi";0,6;0,864;0,454;0,863;0,205;0,928;0,863
"leggero";0,351;0,96;0,238;0,264;0,879;0,005;0,066
"freddo";0,459;0,044;0;0,075;0,124;0,588;0,075
"discreto";0,047;0,071;0,4;0,957;0,004;0,326;0,442
"attesa";0,018;0,969;0,005;0,144;0,174;0,433;0,144
"vicino";0,953;0,187;0,063;0,791;0,953;0,382;0,307
"semplice";0,124;0,531;0,718;0,075;0,459;0,113;0,307
"quartiere";0,047;0,768;0,1;0,957;0,539;0,578;0,957
"quantità";0,53;0,16;0;0,718;0,879;0,183;0,066
"pollo";0,11;0,366;0,044;0,165;0,436;0,245;0,347
"formaggio";0,044;0,178;0,197;0,078;0,246;0,17;0,212
"carta";0,539;0,645;0,969;0,089;0,047;0,08;0,111
"vista";0,124;0,531;0,718;0,791;0,392;0,382;0,791
"particolare";0,205;0,084;0,01;0,863;0,6;0,928;0,127
"lungo";0,124;0,004;0,718;0,075;0,392;0,05;0,622
"gentilezza";0,262;0,225;0,445;0,957;0,539;0,326;0,111
"forno";0,459;0,531;0,271;0,307;0,124;0,212;0,045
"bar";0,31;0,216;0,03;0,244;0,31;0,23;0,244
"acqua";0,459;0,531;0,264;0,212;0,953;0,05;0,791
"verdura";0,618;0,969;0,131;0,039;0,667;0,108;0,238
"salato";0,392;0,446;0,705;0,791;0,459;0,05;0,212
"ragazza|ragazzo";0,618;0,969;0,005;0,562;0,667;0,108;0,562
"punto";0,436;0,002;0,796;0,347;0,436;0,662;0,87
"problema";0,6;0,342;0,082;0,498;0,71;0,376;0,307
"noto";0,6;0,543;0,082;0,498;0,205;0,093;0,498
"idea";0,139;0,768;0,445;0,001;0,139;0,326;0,957
"famiglia";0,139;0,768;0,4;0,381;0,262;0,326;0,089
"bottiglia";0,525;0,918;0,586;0,634;0,01;0,499;0,164
"ultimo";0,004;0,294;0,969;0,442;0,539;0,832;0,957
"taglio";0,219;0,535;0,172;0,186;0,825;0;0,715
"stile";0,436;0,217;0;0,347;0,39;0,245;0,086
"riso";0,246;0,157;0,099;0,006;0,246;0,615;0,212
"presente";0,618;0,397;0,285;0,764;0,618;0,108;0,764
"possibilità";0,953;0,446;0,066;0,212;0,953;0,113;0,075
"pezzo";0,205;0,084;0,362;0,498;0,71;0,376;0,307
"pena";0,11;0,02;0,076;0,87;0,968;0,772;0,54
"materia";0,539;0,225;0,4;0,381;0,8;0,832;0,442
"focaccia";0,825;0,535;0,665;0,122;0,825;0,738;0,715
"bravo";0,174;0,017;0,516;0,562;0,618;0,388;0,144
"accoglienza";0,71;0,864;0,114;0;0,71;0,376;0,127
"vivamente";0,539;0,006;0,1;0,957;0,139;0,832;0,381
"tradizionale";0,154;0,098;0,131;0,562;0,154;0,092;0,562
"staff";0,539;0,645;0,1;0;0,539;0,832;0,111
"sala";0,667;0,098;0,005;0,764;0,618;0,108;0,764
"prenotazione";0,667;0,397;0;0,562;0,154;0,108;0,144
"pietanza";0;0,461;0,15;0,661;0,525;0,499;0,164
"onesto";0,219;0;0,172;0,555;0,219;0,738;0,186
"croccante";0,154;0,397;0,131;0,144;0,618;0,012;0,562
"collega";0,195;0,461;0,586;0,176;0;0,499;0,164
"cocktail";0,918;0,157;0;0,448;0,246;0,17;0,212
"vecchio";0,262;0,768;0,1;0,442;0,047;0,832;0,957
"simpatia";0,205;0,543;0,114;0,498;0,71;0,928;0,863
"ricco";0,71;0,543;0,114;0;0,155;0,928;0,127
"resto";0,155;0,864;0,935;0,307;0,03;0,928;0,127
"proposta";0,71;0,342;0,454;0,061;0,71;0,376;0,863
"positivo";0,825;0,134;0,665;0,555;0,073;0,576;0,555
"pomodoro";0,485;0,748;0,351;0,953;0,324;0,056;0,098
"originale";0,073;0,797;0,665;0,715;0,431;0,146;0,715
"minuto";0,742;0,461;0,586;0,661;0,01;0,499;0,634
"giro";0,539;0,294;0,445;0,442;0,262;0,578;0,957
"giovane";0,742;0,115;0,727;0,176;0,525;0,3;0,164
"giapponese";0,449;0,356;0;0,415;0,449;0,37;0,415
"costo";0,825;0,134;0,151;0,715;0,073;0,576;0,715
"banco";0,219;0,044;0,616;0,715;0,219;0,219;0,186
"zucca";0,174;0,098;0,131;0,144;0,001;0,012;0,764
"rosso";0,742;0,461;0,586;0,634;0,109;0,499;0,176
"pronto";0,246;0,621;0,756;0,448;0,246;0,615;0,078
"perfetto";0,918;0,67;0,197;0,448;0,918;0,149;0,212
"insalata";0,276;0,538;0,226;0,002;0,252;0,197;0,241
"familiare";0,742;0,461;0,15;0,661;0,742;0,058;0,661
"cura";0,276;0,112;0,226;0,002;0,978;0,197;0,241
"cuore";0,34;0,67;0,756;0,448;0,918;0,664;0,212
"colazione";0,276;0,538;0,226;0,911;0,276;0,766;0,002
"coda";0,525;0,115;0,15;0,164;0;0,3;0,164
"base";0,539;0,768;0,4;0,381;0,539;0,578;0,381
"tranquillo";0,825;0,134;0,616;0,555;0,825;0,738;0,555
"sugo";0,154;0,969;0,131;0,144;0,001;0,433;0,562
"strepitoso";0,742;0,918;0,727;0,661;0,525;0,499;0,634
"spazio";0,073;0,535;0,151;0,715;0,825;0,576;0,186
"sorpresa";0,195;0,075;0,727;0,164;0,742;0,856;0,661
"secco";0,219;0,535;0,665;0,715;0,005;0,576;0,555
"scarso";0,918;0,67;0,756;0,212;0,918;0,664;0,078
"salso";0,431;0,535;0,665;0,001;0,219;0,576;0,186
"pausa";0,219;0,797;0,616;0,715;0,219;0,034;0,715
"ordine";0,667;0,442;0,054;0,764;0,667;0,108;0,562
"occasione";0,667;0,969;0,054;0,144;0,174;0,968;0,238
"mozzarella";0,174;0,397;0,516;0,144;0,618;0;0,562
"misto";0,825;0,535;0,172;0,001;0,431;0,146;0,715
"luogo";0,073;0,134;0,665;0,555;0,825;0,219;0,186
"livello";0,918;0,621;0,009;0,807;0,918;0,664;0,212
"impeccabile";0,825;0,797;0,665;0,012;0,825;0,576;0,186
"impasto";0,195;0,075;0,15;0,634;0,742;0,058;0,634
"gradevole";0,205;0,342;0,362;0,307;0,155;0,928;0,498
"gestore";0,978;0,722;0,86;0,241;0,978;0,007;0,241
"fatto";0,431;0,797;0,665;0,715;0,431;0,576;0,715
"domenica";0,978;0,722;0,003;0,241;0,978;0,197;0,911
"contorno";0,918;0,157;0,197;0,807;0;0,615;0,212
"cicoria";0,825;0,134;0,172;0,715;0;0,738;0,186
"bruschetta";0,31;0,216;0,283;0,022;0,862;0,884;0,275
"basso";0,667;0,969;0,516;0,144;0;0,433;0,562
"baccalà";0,155;0,864;0,114;0,498;0,03;0,134;0,863
"vivo";0;0,115;0,727;0,634;0,195;0,499;0,661
"rapido";0,252;0,01;0,226;0,343;0,276;0,197;0,241
"posto";0,825;0,044;0,665;0,715;0,073;0,146;0,186
"pecorino";0,173;0,405;0,259;0,275;0,173;0,884;0,275
"pecca";0,431;0,797;0,172;0,186;0,431;0,738;0,555
"pasto";0,618;0,017;0,516;0,562;0,174;0,968;0,562
"passato";0,219;0,257;0,665;0,186;0,073;0,738;0,715
"olio";0,918;0,67;0,099;0,448;0,918;0,17;0,212
"fiore";0,219;0,134;0,172;0,186;0,431;0,003;0,122
"economico";0,174;0,442;0,131;0,764;0,154;0,433;0,238
"crudo";0,246;0,621;0,756;0,807;0,918;0,615;0,078
"condimento";0,742;0,346;0,586;0,634;0,195;0,058;0,634
"buffet";0,586;0,3;0,003;0,683;0,395;0,314;0,361
"bibita";0,246;0,178;0,099;0,807;0,246;0,615;0,212
"bevanda";0,978;0,538;0,058;0,343;0,276;0,197;0,241
"bancone";0,349;0,254;0,184;0,156;0,349;0,978;0,836
"attenzione";0,219;0,535;0,018;0,555;0,825;0,576;0,715
"tagliere";0,586;0,3;0,345;0,002;0,586;0,314;0,361
"storico";0,918;0,67;0,756;0,212;0,34;0,664;0,448
"splendido";0,044;0,621;0,756;0,448;0,918;0,17;0,807
"speciale";0,431;0,535;0,151;0,122;0,219;0,146;0,715
"rustico";0,34;0,621;0,197;0,807;0,246;0,664;0,006
"romanesco";0,004;0,254;0,298;0,315;0,349;0,245;0,836
"professionalità";0,825;0,535;0,151;0,555;0,219;0,738;0,715
"professionale";0;0,918;0,586;0,164;0,195;0,499;0,634
"piazza";0,862;0,216;0,259;0,971;0,31;0,003;0,971
"panna";0,246;0,157;0,197;0,212;0,918;0,17;0
"manzo";0,586;0,3;0,729;0,083;0,586;0,314;0,361
"ideale";0,349;0,278;0,885;0,315;0,349;0,022;0,315
"hamburger";0,349;0,278;0,885;0,836;0,105;0,268;0,315
"gruppo";0,219;0,535;0,018;0,555;0,073;0,146;0,186
"genuino";0,219;0,257;0,172;0,122;0,219;0,738;0,555
"fungo";0,918;0,621;0,197;0,807;0,918;0,615;0,078
"crema";0,742;0,115;0,586;0,164;0,01;0,126;0,001
"bicchiere";0,978;0,722;0,391;0,045;0,276;0,766;0,241
"bambino";0,31;0,216;0,259;0,275;0,31;0,05;0,001
"amichevole";0,246;0,621;0,756;0,006;0,918;0,664;0,807
"visita";0,978;0,722;0,86;0,045;0,276;0,766;0,911
"scadente";0,918;0,157;0,009;0,078;0,918;0,17;0,212
"salume";0,052;0,859;0,345;0,083;0,395;0,314;0,361
"richiesta";0,105;0,254;0,885;0,836;0,731;0,268;0,836
"possibile";0,252;0,538;0,86;0,241;0,024;0,197;0,241
"pistacchio";0,862;0,216;0,979;0,971;0,31;0,23;0,001
"passaggio";0,825;0,535;0,665;0,715;0,825;0,738;0,122
"palato";0,173;0,84;0,259;0,971;0,31;0,363;0,971
"osteria";0,173;0,216;0,259;0,275;0,173;0,05;0,275
"offerta";0,002;0,621;0,756;0,212;0,044;0,17;0,212
"norma";0,731;0,978;0,298;0,315;0,349;0,978;0,008
"interessante";0,011;0,84;0,979;0,244;0,31;0,23;0,275
"facile";0,978;0,722;0,86;0,343;0,276;0,197;0,045
"drink";0,513;0,426;0,01;0,321;0,513;0,44;0,483
"difficile";0,34;0,621;0,099;0,807;0,34;0,17;0,212
"cordialità";0,252;0,722;0,226;0,241;0,276;0;0,241
"certo";0,246;0,157;0,197;0,006;0,918;0,149;0,807
"biscotto";0,246;0,621;0,756;0,078;0,246;0,17;0,006
"amante";0,105;0,254;0,885;0,156;0,349;0,978;0,315
"vegetariano";0,34;0,621;0,197;0,078;0,246;0,615;0,807
"vasto";0,31;0,405;0,979;0,001;0,31;0,23;0,275
"top";0,586;0,3;0,729;0,683;0,586;0,817;0,361
"teatro";0,052;0,859;0,729;0,361;0,395;0,817;0,361
"tartufo";0,513;0,426;0,468;0,483;0,513;0,417;0,007
"signore";0,731;0,254;0,885;0,315;0,349;0,978;0,008
"sicuro";0,31;0,405;0,283;0,275;0,862;0,363;0,275
"scoperta";0,044;0,621;0,197;0,448;0,246;0,615;0,807
"ripieno";0,276;0,184;0,226;0,241;0,276;0,007;0,002
"patatina";0,276;0,538;0,058;0,343;0,276;0,766;0,241
"passo";0,011;0,405;0,259;0,275;0,862;0,23;0,971
"modico";0,246;0,178;0,756;0,212;0,246;0,149;0,448
"moderno";0,395;0,3;0,101;0,683;0,052;0,314;0,361
"massimo";0,34;0,621;0,503;0,078;0,918;0,17;0,212
"leggermente";0,011;0,84;0,259;0,022;0,31;0,23;0,275
"guanciale";0,426;0,668;0,4;0,415;0,019;0,37;0,415
"frutta";0,349;0,028;0,184;0,315;0,349;0,268;0,836
"festa";0,395;0,3;0,003;0,683;0,395;0,314;0,683
"famoso";0,011;0,216;0,979;0,244;0,31;0,23;0,971
"esterno";0,173;0,216;0,979;0,244;0,862;0,23;0,971
"coppia";0,918;0,621;0,756;0,006;0,34;0,17;0,212
"consegna";0,276;0,112;0,86;0,241;0,978;0,766;0,343
"calice";0,978;0,184;0,86;0,045;0,024;0,197;0,241
"bianco";0,246;0,621;0,756;0,807;0,246;0,615;0,006
"avviso";0,395;0,859;0,729;0,683;0,586;0,817;0,361
"assaggio";0,252;0,722;0,86;0,911;0,252;0,197;0,911
"artigianale";0,276;0,722;0,226;0,241;0,276;0,092;0,002
"amaro";0,34;0,621;0,756;0,448;0,34;0,664;0,212
"vuoto";0,276;0,538;0,003;0,911;0,276;0,766;0,241
"turista";0,001;0,3;0,345;0,361;0,586;0,817;0,361
"titolare";0,918;0,621;0,756;0,448;0,246;0,149;0,807
"specie";0,252;0,184;0,391;0,911;0,978;0,766;0,911
"spaghetto";0;0,254;0,298;0,156;0,349;0,268;0,315
"sorridente";0,276;0,184;0,391;0,045;0,276;0,488;0,911
"sfizioso";0,978;0,538;0,003;0,911;0,276;0,197;0,241
"settimana";0,246;0,67;0,197;0,448;0,044;0,664;0,807
"rigatone";0;0,216;0,259;0,275;0,862;0,363;0,275
"ricotta";0;0,254;0,298;0,836;0,349;0,268;0,836
"raffinato";0,862;0,216;0,259;0;0,31;0,884;0,275
"prossimo";0,978;0,538;0,86;0,241;0,276;0,092;0,911
"preparazione";0,978;0,184;0,003;0,343;0,276;0,197;0,911
"particolarmente";0,252;0,184;0,058;0,343;0,276;0,197;0,911
"melanzana";0,862;0,84;0,259;0,244;0,31;0,363;0,971
"lista";0,001;0,3;0,101;0,361;0,395;0,314;0,361
"italiano";0,349;0,254;0;0,315;0,349;0,978;0,315
"intimo";0,731;0,254;0,298;0;0,349;0,268;0,315
"inizio";0,349;0,254;0,885;0,836;0,105;0,268;0,156
"fortuna";0,246;0,178;0,099;0,448;0,246;0,17;0,807
"forte";0,019;0,356;0,4;0,415;0,449;0,63;0,51
"figlio";0,862;0,405;0,283;0,275;0,31;0,884;0,971
"cottura";0,173;0,84;0,979;0,244;0,862;0,23;0,275
"cortesia";0,173;0,405;0,979;0,971;0,31;0,23;0,971
"cornetto";0,395;0,3;0,729;0,361;0,395;0,817;0,002
"compleanno";0,024;0,184;0,86;0,911;0,978;0,197;0,343
"compagnia";0,276;0,184;0,391;0,343;0,252;0,488;0,241
"bagno";0,862;0,216;0,001;0,275;0,862;0,23;0,971
"vita";0,252;0,722;0,226;0,241;0,276;0,766;0,002
"superlativo";0,731;0,278;0,885;0,315;0,731;0,978;0,315
"superiore";0,586;0,859;0,345;0,361;0,586;0,314;0,083
"strada";0,276;0,112;0,058;0,911;0,978;0,197;0,241
"stella";0,105;0,978;0,184;0,315;0,731;0,268;0,315
"sottile";0,978;0,112;0,226;0,241;0,252;0,488;0,241
