"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"solito";0,586;0,859;0,345;0,361;0,395;0,314;0,002
"soddisfacente";0,173;0,216;0,979;0,971;0,011;0,23;0,275
"salsiccia";0,731;0,254;0,298;0,315;0,105;0,245;0,836
"salmone";0,395;0,859;0,003;0,683;0,395;0,314;0,361
"ricerca";0,862;0,84;0,283;0,971;0,862;0,23;0,971
"profumo";0,586;0,164;0,345;0,683;0,395;0,314;0,683
"polpo";0,426;0,356;0,042;0,51;0,449;0,37;0,415
"pizzetta";0,449;0,356;0,4;0,415;0,449;0,37;0
"personalmente";0,349;0,028;0,298;0,315;0,731;0,978;0,836
"moglie";0,426;0,356;0,4;0,51;0,449;0,63;0,51
"manco";0,731;0,978;0,885;0,836;0,349;0,978;0,836
"invitante";0,349;0,978;0,885;0,836;0,731;0,978;0,836
"insieme";0,173;0,216;0,979;0,244;0,862;0,23;0,971
"fila|filo";0,731;0,278;0,885;0,315;0,349;0,978;0,836
"elegante";0,349;0,254;0,885;0;0,731;0,268;0,315
"efficiente";0,105;0,978;0,885;0,315;0,731;0,978;0,315
"domicilio";0,349;0,278;0,298;0,836;0,731;0,978;0,836
"concerto";0,449;0,356;0,042;0,033;0,449;0,37;0,415
"complesso";0,862;0,216;0,979;0,022;0,862;0,884;0,275
"commensale";0,586;0,3;0,345;0,361;0;0,314;0,361
"cassa";0,31;0,216;0;0,275;0,31;0,23;0,971
"autentico";0,426;0,356;0,4;0,51;0,449;0,63;0,51
"aspetto";0,105;0,254;0,184;0,836;0,349;0,268;0,836
"aspettativa";0,105;0,254;0,298;0,836;0,731;0,978;0,836
"aria";0,276;0,722;0,391;0,343;0,276;0,766;0,343
"alice";0,731;0,978;0,885;0,315;0,105;0,978;0,315
"zuppa";0,395;0,859;0,101;0,683;0,395;0,314;0,683
"voto";0,173;0,216;0,979;0,971;0,173;0,23;0,971
"trippa";0,586;0,3;0,345;0,361;0,001;0,817;0,361
"tortino";0;0,356;0,551;0,415;0,449;0,37;0,415
"torno";0,449;0,075;0,4;0,51;0,426;0,37;0,415
"tonno";0,586;0,859;0,729;0,683;0,586;0,314;0,361
"spuntino";0,31;0,405;0,259;0,275;0,862;0,05;0,971
"spettacolare";0,349;0,978;0,298;0,836;0,731;0,978;0,156
"sito";0,731;0,278;0,184;0,315;0,731;0,268;0,315
"sedia";0,349;0,254;0,184;0,156;0,731;0,268;0,836
"ritardo";0,349;0,278;0,298;0,836;0,731;0,978;0,836
"ricordo";0,105;0,254;0,885;0,315;0,731;0,978;0,836
"raviolo";0,173;0,216;0,03;0,971;0,862;0,23;0,275
"pubblico";0,052;0,859;0,101;0,361;0,395;0,314;0,361
"prosciutto";0,105;0,978;0,298;0,315;0,349;0,022;0,315
"presenza";0,586;0,3;0,729;0,083;0,395;0,314;0,683
"preciso";0,395;0,164;0,003;0,361;0,395;0,314;0,361
"oliva";0,449;0,356;0,551;0,415;0,426;0,063;0,415
"naturale";0,586;0,859;0,729;0,683;0,395;0,817;0,361
"messicano";0,513;0,449;0,468;0,007;0,513;0,44;0,483
"mesa|mese";0,395;0,3;0,101;0,361;0,586;0,142;0,361
"mattina|mattino";0,426;0,356;0,4;0,415;0,449;0,63;0,033
"margherita";0,862;0,216;0,259;0,275;0,31;0;0,971
"mare";0;0,216;0,259;0,275;0,173;0,23;0,275
"latino";0,513;0,449;0,354;0,321;0,513;0,44;0,483
"informale";0,052;0,3;0,345;0,083;0,395;0,817;0,361
"grado";0,449;0,668;0,551;0,51;0,449;0,37;0,51
"gestione";0,349;0,254;0,885;0,836;0,731;0,978;0,156
"generoso";0,862;0,405;0,979;0,971;0,862;0,884;0,275
"gambero";0,019;0,356;0,551;0,415;0,426;0,37;0,415
"fratello";0,862;0,405;0,979;0,244;0,31;0,884;0,275
"foto";0,395;0,859;0,345;0,361;0,586;0,817;0,083
"fisso";0,349;0,254;0,885;0;0,731;0,268;0,315
"filetto";0,395;0,3;0,345;0,361;0,586;0;0,361
"fermo";0,731;0,278;0,184;0,315;0,349;0,268;0,836
"elevato";0,731;0,978;0,298;0,836;0,731;0,978;0,836
"coccio";0,513;0,426;0,468;0,007;0,257;0,44;0,483
"centro";0,349;0,978;0,885;0,156;0,349;0,978;0,836
"cece";0,586;0,859;0,345;0,083;0,395;0,314;0,683
"caro";0,052;0,3;0,729;0,083;0,395;0,314;0,361
"breve";0,449;0,075;0,4;0,51;0,449;0,63;0,415
"assurdo";0,862;0,216;0,03;0,275;0,173;0,23;0,971
"abbacchio";0;0,216;0,259;0,275;0,862;0,23;0,275
"versione";0,449;0,668;0,042;0,415;0,449;0,63;0,415
"temperatura";0,586;0,3;0,729;0,683;0,586;0,314;0,683
"tavola|tavolo";0,513;0,426;0,354;0,321;0,513;0,417;0,483
"sublime";0,052;0,3;0,345;0,361;0,395;0,817;0,083
"stomaco";0,395;0,859;0,729;0,683;0,395;0,817;0,683
"spettacolo";0,586;0,3;0,729;0,683;0,586;0,817;0,361
"sorriso";0,586;0,859;0,729;0,683;0,395;0,817;0,361
"siciliano";0,257;0,426;0,468;0,483;0,257;0,44;0,321
"scorso";0,349;0,978;0,298;0,836;0,349;0,245;0,156
"scontrino";0,513;0,426;0,354;0,483;0,257;0,44;0,321
"programma";0,449;0,668;0,042;0,51;0,449;0,37;0,415
"porta";0,004;0,978;0,298;0,315;0,349;0,268;0,156
"popolare";0,395;0,859;0,345;0,083;0,586;0,817;0,361
"pesante";0,395;0,3;0,729;0,361;0,052;0,817;0,683
