l;15;15;14;14;12;13;11
due;7;6;10;7;5;7;3
altro;7;6;11;8;5;6;12
un_po;7;1;8;3;10;8;5
in_questo;6;3;7;9;5;6;5
all;6;6;5;12;2;5;4
qualche;6;2;5;6;5;6;2
buon;4;4;3;7;2;0;4
ogni;4;8;3;5;1;2;5
dell;3;2;5;6;2;3;3
stesso;2;3;3;2;3;4;1
quello_che;1;4;4;2;3;2;2
di_una;2;1;1;2;4;1;3
nessuno;4;1;5;1;1;0;1
nell;1;1;5;5;2;1;1
dall;3;1;1;2;1;1;2
é;0;2;1;4;0;1;0
e_che;3;0;0;3;1;2;4
in_cui;2;2;2;1;1;3;0
vario|varo;2;2;2;1;0;1;3
una_volta;0;1;5;2;2;2;0
x;0;0;1;1;3;1;1
e_poi;1;2;1;1;4;1;1
tre;0;3;1;0;5;1;0
sono_stati;1;0;3;1;0;2;0
quattro;1;3;1;1;1;2;0
di_questo;2;1;2;1;0;1;2
in_particolare;1;1;1;2;1;0;0
in_modo;2;0;5;0;0;0;1
andato;0;0;3;1;0;0;0
al_momento;0;1;3;1;0;1;0
qualsiasi;1;0;4;1;0;1;0
piu;1;0;0;0;1;0;5
etc;0;1;1;0;0;2;1
di_questa;1;1;0;0;1;2;2
son;0;0;1;0;2;3;0
senz;2;1;0;0;0;1;1
gran;0;1;0;1;1;1;0
di_fronte;1;3;1;0;0;0;1
per_questo;0;1;0;1;1;1;1
per_cui;0;1;2;0;0;1;1
non_so;0;0;2;2;1;0;0
e_quindi;1;0;2;0;0;1;2
di_cui;1;0;2;1;0;1;0
vaio;0;1;2;1;0;1;0
sopratutto;1;0;2;1;0;0;0
po;1;2;1;0;0;1;0
per_finire;2;0;0;0;1;1;0
in_generale;0;1;2;0;1;1;0
ha_detto;0;0;2;0;0;1;1
tutt;0;1;0;0;0;0;3
simile;0;1;1;1;0;1;0
sei;0;0;1;1;1;0;1
quinto;1;0;1;0;2;0;0
quelli_che;2;0;1;0;0;0;1
quarto;1;0;1;0;2;0;0
mezz;0;0;2;1;0;0;0
ex;0;1;0;2;0;0;0
e_come;1;1;0;0;0;2;0
quest;1;0;1;0;0;1;0
peggio;0;1;0;0;2;0;0
malissimo;0;0;1;0;1;0;1
cinque;0;0;1;0;1;1;0
al_punto;0;1;0;1;0;1;0
