"";"";"";"";"commensale";""
"79";"complesso";"1.17930920828064";"0.0921459955856743";"1.04658359339196";"298"
"80";"compleanno";"0.0337723168434983";"-0.491687516262814";"1.04000611046854";"300"
"81";"possibile";"0.799915412510392";"-0.917774580423897";"1.04000611046854";"302"
"82";"menù";"1.23563424632926";"0.175860024646928";"1.03702943936451";"303"
"83";"dolce";"-0.249672487494747";"-0.248510032297702";"1.03155620539904";"305"
"84";"momento";"-0.641969270186015";"-0.609444893375955";"1.02622700390634";"308"
"85";"assurdo";"0.893097902565136";"0.570008368261454";"1.02156995395326";"311"
"86";"baccalà";"-0.887666762622743";"-1.14686692812915";"1.01916941274033";"313"
"87";"esperienza";"0.92038014107643";"0.406088993261251";"1.01643279575759";"315"
"88";"grande";"-0.428737901003947";"0.457146133059364";"1.01364816795059";"317"
"89";"rapporto";"0.249574231268786";"-1.00127785248926";"1.01355214630208";"318"
"90";"impressione";"0.670093157538617";"0.475515314071824";"1.01244789734413";"320"
"91";"ricetta";"0.773469827604072";"-0.487491379964401";"1.01244789734413";"321"
"92";"presentazione";"1.65543367747744";"1.04752547337608";"1.01244789734413";"322"
"93";"cattivo";"-0.085037990215891";"0.324450205649761";"1.01244789734413";"323"
"94";"struttura";"0.773469827604072";"-0.487491379964401";"1.01244789734413";"325"
"95";"lontano";"0.00121709484067599";"-0.400724139167303";"1.01244789734413";"327"
"96";"salvo";"-2.28276085685772";"0.797146257943238";"1.01244789734413";"333"
"97";"pausa";"-0.878457221186447";"0.353647631013115";"1.0106234860223";"334"
"98";"disponibile";"0.30469756439943";"0.607380020941088";"1.00995133448268";"335"
"99";"verdura";"-0.643802026629528";"0.289572181683807";"0.99838072583637";"337"
"100";"personale";"-0.0479659878317986";"0.258652792316925";"0.997228466054165";"338"
"101";"sapore";"-0.294556237802621";"0.798931752096598";"0.993147545992187";"339"
"102";"polpo";"1.82839389676852";"1.65424088737146";"0.99305152434367";"340"
"103";"versione";"0.223148260179205";"1.70609555034764";"0.99305152434367";"341"
"104";"programma";"0.952764493939666";"2.70401482220479";"0.99305152434367";"342"
"105";"ordinazione";"1.08847136141897";"0.621512699258293";"0.99305152434367";"343"
"106";"cinema";"0.223148260179205";"1.70609555034764";"0.99305152434367";"344"
"107";"tiepido";"1.82839389676852";"1.65424088737146";"0.99305152434367";"347"
"108";"tardo";"1.08847136141897";"0.621512699258293";"0.99305152434367";"348"
"109";"realtà";"0.32652493024466";"0.743088856311417";"0.99305152434367";"349"
"110";"metro";"1.08847136141897";"0.621512699258293";"0.99305152434367";"350"
"111";"adatto";"1.81808759517943";"1.61943197111544";"0.99305152434367";"351"
"112";"velocità";"0.985094691353518";"1.58451939329452";"0.99305152434367";"352"
"113";"seguito";"0.985094691353518";"1.58451939329452";"0.99305152434367";"353"
"114";"formaggio";"0.406641022597623";"0.10231561724677";"0.988874582633176";"354"
"115";"splendido";"0.527905854236402";"-0.192680587985253";"0.988874582633176";"355"
"116";"scoperta";"-0.207301515824383";"-0.836347082448977";"0.988874582633176";"356"
"117";"settimana";"-0.266988437972249";"-0.454755995663133";"0.988874582633176";"357"
"118";"posto";"0.248573319818727";"-0.009252240624759";"0.988346463566331";"359"
"119";"bicchiere";"0.863117160771869";"1.10826172112019";"0.98772232285097";"360"
"120";"visita";"-0.0122718238693389";"0.729319629129021";"0.98772232285097";"361"
"121";"sorridente";"0.0994252205129174";"1.07611278730771";"0.98772232285097";"362"
"122";"facile";"-1.23558775856953";"1.04230157881461";"0.98772232285097";"363"
"123";"nuovo";"0.658790278951958";"1.31026398840065";"0.987626301202453";"364"
"124";"forno";"-0.872806459979155";"-0.559654445942033";"0.987626301202453";"365"
"125";"quartiere";"-0.490466557257965";"-0.945965544946292";"0.984313554328612";"366"
"126";"polpetta";"0.432562641713313";"-1.48934965968646";"0.984313554328612";"367"
"127";"carta";"0.888531394528621";"0.302659271324314";"0.984313554328612";"368"
"128";"vecchio";"-0.266475035258226";"-1.3105028312947";"0.984313554328612";"369"
"129";"buonissimo";"-0.966795696601248";"-0.0785307462861614";"0.980040590969601";"370"
"130";"fresco";"-0.665742478227564";"0.530287045779503";"0.979272417781464";"373"
"131";"caldo";"-0.420673354873969";"0.744842543934078";"0.979272417781464";"374"
"132";"salume";"0.86227363770556";"-0.168314077956538";"0.974999454422452";"375"
"133";"teatro";"0.408703784858785";"-0.509124297250764";"0.974999454422452";"376"
"134";"informale";"0.944974973757924";"-0.938719433185518";"0.974999454422452";"377"
"135";"pesante";"-0.211891215887351";"-0.685670649998055";"0.974999454422452";"379"
"136";"entrata";"-1.02882060430491";"-0.493642579698214";"0.974999454422452";"380"
"137";"storia";"0.275787836161771";"-1.21260964082722";"0.974999454422452";"381"
"138";"spartano";"0.914001953567725";"-1.95950676421297";"0.974999454422452";"382"
"139";"testa";"0.361281986749556";"-1.73705485067123";"0.974999454422452";"383"
"140";"dettaglio";"-0.882207387600791";"0.019576884502915";"0.974999454422452";"385"
"141";"veloce";"0.0629394980783686";"-0.415270600069871";"0.971494664251577";"387"
"142";"migliore";"-0.37167263537421";"-0.562341942530698";"0.969910307051044";"388"
"143";"pomodoro";"-0.0981581366606863";"-0.795712367291458";"0.969910307051044";"389"
"144";"impasto";"-1.37817967564279";"-0.381903964131378";"0.966501538528687";"390"
"145";"familiare";"-1.03145561786088";"-0.805877224289367";"0.966501538528687";"391"
"146";"condimento";"-1.01237853996389";"-0.148584694379995";"0.966501538528687";"392"
"147";"strada";"0.471106181882639";"1.84085756996951";"0.966261484407394";"393"
"148";"proposta";"0.0985203530657037";"-0.017576243931072";"0.962660672588002";"394"
"149";"parmigiano";"-0.669121891283247";"0.136269780751139";"0.960308142199332";"397"
"150";"meraviglioso";"0.0438535938436108";"-1.48541065182154";"0.960308142199332";"399"
"151";"estremamente";"0.163871012542668";"0.171182358572057";"0.960308142199332";"400"
"152";"enorme";"0.196201209956521";"-0.94831307033821";"0.960308142199332";"401"
"153";"delizioso";"-0.331242140126456";"0.107387900888664";"0.959876044781005";"402"
"154";"sera";"0.235526717881703";"-0.201498321773971";"0.9587237849988";"403"
"155";"passato";"-0.654226725892618";"-0.434139096417602";"0.949073609322829";"405"
"156";"positivo";"0.0190162311716689";"-0.501341973848532";"0.949073609322829";"406"
"157";"costo";"0.784388985965431";"0.0305742988401488";"0.949073609322829";"407"
"158";"sorpresa";"-1.3067555842448";"0.692159255123176";"0.946769089758418";"409"
"159";"torno";"-0.17320604787638";"0.40579381999488";"0.946336992340091";"410"
"160";"breve";"-0.935152479050693";"0.527369977048003";"0.946336992340091";"411"
"161";"sano";"-0.162899746287299";"0.440602736250905";"0.946336992340091";"412"
"162";"viaggio";"-0.130569548873446";"-0.678892692659362";"0.946336992340091";"414"
"163";"giornata";"-1.7613300994568";"0.219816133751898";"0.946336992340091";"415"
"164";"vegetariano";"-0.226251070936798";"-0.354264187935981";"0.943360321236061";"419"
"165";"massimo";"1.28707984102728";"0.626239721631006";"0.943360321236061";"420"
"166";"pronto";"-1.6035253746989";"0.6987687678693";"0.943360321236061";"421"
"167";"crudo";"-1.58915639807052";"0.201215243909181";"0.943360321236061";"423"
"168";"problema";"-0.253110046158107";"0.786863239031802";"0.939759509416669";"425"
"169";"tavolo";"0.526852417084316";"0.25477970459541";"0.939135368701307";"426"
"170";"bello";"0.402132470012453";"0.0335829467644444";"0.939135368701307";"427"
"171";"manzo";"1.65054605365662";"0.289294049486865";"0.938319184688912";"429"
"172";"presenza";"0.3541826544612";"1.03610824362069";"0.938319184688912";"430"
"173";"superiore";"-1.68696988609438";"-0.493725508950128";"0.938319184688912";"431"
"174";"insapore|insaporo";"-1.02057556303365";"-0.465795446693393";"0.938319184688912";"433"
"175";"simpatico";"-0.345659497781742";"0.328532866507631";"0.93505444863933";"435"
"176";"famiglia";"-0.964822934149955";"0.281332986986313";"0.932893961547694";"436"
