"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";1;0;0;0;0;0;0;0;2;2
"2";2;0;0;0;0;0;5;5;5;5
"3";3;0;0;0;0;0;0;0;0;0
"4";4;0;0;0;6;6;6;6;6;6
"5";5;0;0;0;0;0;0;0;0;0
"6";6;0;0;0;0;0;0;0;0;0
"7";7;0;0;0;0;0;0;0;2;2
"8";8;0;0;0;6;6;6;6;6;6
"9";9;0;0;0;0;0;0;0;0;0
"10";10;0;0;7;7;7;7;7;7;7
"11";11;0;0;0;6;6;6;6;6;6
"12";12;0;0;0;0;0;0;0;2;2
"13";13;0;0;0;0;0;0;3;3;3
"14";14;0;0;0;0;0;0;3;3;3
"15";15;0;0;0;6;6;6;6;6;6
"16";16;0;0;0;0;0;0;0;0;0
"17";17;0;0;0;0;0;0;0;2;2
"18";18;0;0;0;0;0;0;0;2;2
"19";19;0;0;0;0;0;0;0;2;2
"20";20;0;0;0;0;0;0;3;3;3
"21";21;0;0;0;0;0;0;4;4;4
"22";22;0;0;0;0;0;0;4;4;4
"23";23;0;0;0;0;0;0;0;0;0
"24";24;0;0;0;0;0;0;3;3;3
"25";25;0;0;0;0;0;0;0;2;2
"26";26;0;0;0;0;0;0;0;2;2
"27";27;0;0;0;6;6;6;6;6;6
"28";28;0;0;0;0;0;0;4;4;4
"29";29;0;0;0;0;0;0;0;2;2
"30";30;0;0;0;0;0;0;0;0;1
"31";31;0;0;0;0;0;0;0;2;2
"32";32;0;0;7;7;7;7;7;7;7
"33";33;0;0;0;0;0;0;0;2;2
"34";34;0;0;0;0;0;0;4;4;4
"35";35;0;0;0;0;0;0;0;0;0
"36";36;0;0;0;6;6;6;6;6;6
"37";37;0;0;7;7;7;7;7;7;7
"38";38;0;0;0;0;0;0;0;0;0
"39";39;0;0;0;0;0;0;4;4;4
"40";40;0;0;0;0;0;0;0;0;0
"41";41;0;0;0;0;0;0;0;0;0
"42";42;0;0;0;0;0;5;5;5;5
"43";43;0;0;0;0;0;0;3;3;3
"44";44;0;0;7;7;7;7;7;7;7
"45";45;0;0;0;0;0;0;0;0;0
"46";46;0;0;0;0;0;0;3;3;3
"47";47;0;0;7;7;7;7;7;7;7
"48";48;0;0;0;0;0;0;0;0;0
"49";49;0;0;0;0;0;0;4;4;4
"50";50;0;0;0;0;0;5;5;5;5
"51";51;0;0;0;0;0;0;3;3;3
"52";52;0;0;0;6;6;6;6;6;6
"53";53;0;0;0;0;0;0;3;3;3
"54";54;0;0;0;0;0;5;5;5;5
