"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"ottimo";-0,334768320981273;-0,0405637831037776;-0,425768263549636;-0,0634954051677208;-0,00210455353772631;-0,0603181136259711;-0,608500490707433;-0,073731832962114;-0,773908942573149;-0,115414102173625;-0,00382539738728195;-0,109638814187569;0,428471991381307;0,00528414245336014;0,549554987927743;0,00948111956474321;9,18850600383086e-06;0,00719857016686888;0,0015699437214699;2,30500716551444e-05;0,00253946334611954;5,64780864292773e-05;6,2046220593785e-08;5,09672120777396e-05;0,0140086206896552;0,222535396571548;0,000693734951998198
"locale";0,137415756229893;0,199129148936892;-0,0394577958884618;0,00966266961731915;0,138673957359336;-0,105022712349999;0,456921695001075;0,662125150365932;-0,131201279045469;0,0321293824006217;0,461105344740305;-0,349211451853386;0,271212889969753;0,47837758372398;0,0177310215434881;0,000824845898437048;0,149871239026265;0,0819824198381024;0,000231460290339607;0,000486041222255673;1,90839852815425e-05;1,14445228396351e-06;0,000235718271406601;0,000135197882536491;0,0122575431034483;0,114814657263952;0,000161583903900879
"buono";-0,131226735012182;-0,0468075075704828;-0,0167252048647123;-0,10125118990909;0,0612813732655238;0,0681097776881833;-0,67021116266959;-0,239058863024876;-0,0854202384691301;-0,51711777866264;0,312980890841055;0,347855437303435;0,573502195518098;0,061289397760003;0,00738693336911444;0,210006146283028;0,0678638716962585;0,079951455373509;0,00022035874438119;2,8036040230506e-05;3,5795508334896e-06;0,000131185523775676;4,8055446845946e-05;5,93614591311565e-05;0,0127963362068966;0,0753998958207964;7,2749017716832e-05
"prezzo";-0,295239891118;0,0813362767010422;-0,341345110928121;0,0347568820750534;-0,160894467786589;0,117151547118429;-0,589163619058768;0,16230996075933;-0,681168524147879;0,0693588198837025;-0,321071676895432;0,23378083909075;0,421085870469315;0,0268443600759246;0,446312264523211;0,00358957897566386;0,067856903270751;0,0343110226851398;0,00110367184413963;8,37642041100914e-05;0,00147528954295878;1,5295775868594e-05;0,000327772197985854;0,000173774459761679;0,0126616379310345;0,197972864391517;0,000496250804596701
"qualità";-0,203094251510693;0,0542637781219552;-0,410003157304218;0,272427664942882;-0,18625224178707;-0,0689041121446702;-0,355731932974314;0,0950463075061291;-0,718145464918401;0,4771736232067;-0,326232128673645;-0,120689742918755;0,16908534229384;0,0101389887013383;0,546406620377046;0,187134736874746;0,0771622590093764;0,0100720527436583;0,00045558681973713;3,25234003930011e-05;0,00185673657030617;0,000819744110365158;0,000383158890193718;5,24404211983451e-05;0,0110452586206897;0,214911975015301;0,000510149094074374
"servizio";0,677192333678175;-0,197827818101323;-0,138198122437698;0,106126020060043;0,0961932511572407;-0,314000994816401;0,849190543554152;-0,248073559059856;-0,173298681740251;0,133080674688878;0,120625109254823;-0,393753239964178;0,805137198715055;0,0577144328370553;0,0265877118601008;0,0121627247286087;0,00881507984367958;0,089582852015531;0,0045710694777269;0,000390093288724411;0,000190369794902016;0,000112263224393867;9,22322839502692e-05;0,000982778856570722;0,0099676724137931;0,328392365115487;0,00107492919780369
"pizza";-0,583638368901031;-0,704388219888343;-0,511117185334811;0,952879293109442;1,1880049694222;-0,472558487314891;-0,305880906362027;-0,369165083398958;-0,267873046458211;0,499397567673191;0,622625338175936;-0,247664694631237;0,141669884828536;0,173331670620604;0,086151271073704;0,232277394453186;0,318505988699018;0,0480637903249522;0,00197295946431824;0,00287378756272241;0,0015131133374484;0,0052590375446094;0,00817460933687898;0,00129342612191992;0,00579202586206897;0,674716031654383;0,00263677183526022
"piatto";0,906880337284465;-0,432768219948477;0,459226943364008;-0,301589495059787;0,472709415430727;0,0704777544875267;0,730788040184856;-0,348736019856204;0,370057155441222;-0,243028751395178;0,380921686221532;0,0567928291761094;0,619892066666071;0,118574339111758;0,126038051296986;0,0421686621974145;0,0913894007011513;0,00193748002661998;0,0060929090838396;0,00138750784898378;0,00156235401443019;0,000673840556865967;0,00165543918763838;3,67983921428105e-05;0,00740840517241379;0,501196363588395;0,00186097504284519
"primo";0,279256801368032;-0,208969240196995;-0,0589379198301366;-0,130461309996939;-0,262624331557508;-0,177851753789355;0,566793583747204;-0,424134430975201;-0,119623352539598;-0,264790805707426;-0,533035490392656;-0,36097682281028;0,429235456052673;0,201890870742603;0,0151603256144913;0,0576225981660067;0,20599145608015;0,0900992933440762;0,00069328769306036;0,000388213558863365;3,08813003768371e-05;0,000151310631034987;0,000613162932208759;0,000281204506669269;0,00889008620689655;0,18546925592192;0,000305808696509594
"personale";-0,0479659878317986;0,258652792316925;-0,335238125555444;0,167406773748249;-0,22101030138903;-0,670436821327402;-0,0570078069053234;0,307410085905721;-0,398432122277647;0,19896375460773;-0,262671804651557;-0,796817382068251;0,0054267408900592;0,132547190307196;0,210188987906809;0,0406592768020047;0,0625156211794855;0,548662182914447;2,38626981584563e-05;0,000693884369200885;0,00116562692128184;0,000290669066278745;0,000506614709812148;0,00466195930996128;0,0103717672413793;0,283321684167971;0,000832553961129138
