passare;1;2;2;1;2;1;6
nuovo;4;1;2;1;2;4;1
entrare;2;4;0;2;1;5;5
delizioso;1;4;0;4;3;3;3
complimento;3;3;1;3;2;3;2
cioccolato;2;0;1;0;1;1;10
super;1;5;0;2;1;3;4
squisito;0;1;0;7;1;2;4
sabato;6;2;3;2;0;1;2
ritornare;2;6;4;1;2;3;1
oggi;1;1;1;1;1;2;3
leggero;2;5;1;1;2;3;1
freddo;7;2;7;1;0;0;0
discreto;1;1;7;6;2;1;1
curare;5;0;4;0;4;0;1
condire;0;7;3;4;3;0;0
attesa;4;1;2;1;1;1;1
amatriciana;1;2;9;3;0;2;0
vicino;5;4;2;3;0;0;1
valere;0;1;3;0;1;0;4
tagliare;3;0;4;3;5;1;0
semplice;2;2;4;3;1;4;1
quartiere;0;1;0;4;2;3;1
quantità;8;0;1;2;3;0;1
pollo;5;1;1;0;1;0;2
formaggio;0;1;0;5;5;0;1
carta;2;0;4;1;5;2;0
vista;1;4;2;3;0;1;1
particolare;3;1;1;7;1;1;1
lungo;1;0;3;2;0;3;2
gentilezza;3;1;2;2;4;2;2
forno;0;2;3;2;2;1;2
decidere;1;4;2;4;0;2;2
cucinare;2;1;1;2;4;3;1
bar;3;0;0;0;1;6;1
acqua;5;0;4;2;3;1;3
verdura;1;0;2;1;2;3;1
salato;3;0;3;1;2;1;3
ragazza|ragazzo;4;0;1;2;0;0;4
punto;1;2;1;1;1;3;3
problema;2;0;2;0;0;1;2
parlare;0;4;2;3;0;1;1
noto;3;1;2;1;0;4;2
non_sono;3;1;2;4;1;2;3
idea;2;3;0;2;4;0;4
famiglia;1;1;2;2;2;3;4
capitare;0;2;3;0;1;6;3
bottiglia;1;1;5;2;2;0;1
ultimo;2;0;0;6;0;0;2
taglio;0;4;1;0;0;1;0
stile;8;1;2;0;2;1;0
scoprire;1;0;0;2;2;5;4
riso;3;1;0;0;1;2;0
presente;3;0;2;2;3;0;1
possibilità;0;4;2;0;5;2;1
pezzo;2;1;1;3;0;0;1
pena;0;1;2;0;1;0;3
materia;1;0;3;1;3;4;2
gustare;1;0;1;2;2;1;4
focaccia;0;1;1;1;5;0;0
credere;3;2;2;3;0;0;3
consigliatissimo;2;0;0;5;1;5;0
bravo;1;4;2;0;2;5;1
accoglienza;0;1;2;1;8;2;0
vivamente;0;2;0;1;4;2;3
tradizionale;0;3;4;3;1;0;1
staff;0;1;1;2;6;2;1
spendere;2;2;1;2;2;2;1
sala;5;0;2;2;3;2;0
rendere;1;0;2;1;4;1;3
prenotazione;5;0;3;1;1;0;0
preferire;3;1;1;5;3;2;0
pietanza;0;0;3;3;3;1;0
pensare;1;1;3;1;0;1;1
ostiense;2;2;2;1;2;1;3
onesto;0;2;0;2;3;0;1
fermare;3;2;1;1;3;1;1
croccante;0;3;1;3;1;1;0
collega;1;1;4;2;3;0;0
cocktail;6;0;0;1;1;1;0
accompagnare;4;0;1;1;5;2;0
vecchio;1;1;6;1;0;1;3
simpatia;0;2;2;3;1;1;3
ricco;0;3;0;2;4;1;0
resto;2;2;3;1;2;2;1
pulire;1;5;1;2;0;2;1
proposta;1;1;2;2;3;3;1
positivo;1;1;4;1;1;2;3
pomodoro;1;4;3;1;1;1;0
originale;1;1;1;5;3;1;2
minuto;1;0;5;0;2;0;2
giro;2;2;3;0;2;3;2
giovane;2;1;2;1;2;1;0
giapponese;4;0;0;0;0;0;0
gelateria;0;0;0;0;0;0;6
dire_che;1;3;0;3;4;0;1
costo;2;1;4;0;2;0;1
capire;1;1;2;2;2;0;3
banco;2;2;0;0;0;3;1
accogliere;1;1;2;2;1;3;4
zucca;0;4;5;0;0;0;1
uscire;1;2;1;1;0;3;0
saporire;1;2;1;2;2;4;2
rosso;1;1;3;2;1;2;0
pronto;1;2;0;1;2;0;2
presentare;0;0;3;3;1;2;1
perfetto;0;2;1;0;1;3;0
insalata;0;0;2;0;2;2;0
food;0;1;0;1;0;1;0
familiare;0;2;1;0;4;1;2
cura;0;0;1;1;1;2;1
cuore;1;1;1;1;4;4;1
colazione;0;0;0;0;0;5;3
coda;0;1;6;3;0;1;0
base;0;2;1;0;4;0;3
tranquillo;2;1;2;2;2;1;1
tiramisù;1;2;5;3;0;0;1
sugo;0;2;6;1;1;1;0
strepitoso;2;1;2;2;1;1;2
spazio;2;0;0;4;0;2;0
sorpresa;2;0;1;0;1;2;5
secco;1;1;4;1;0;1;3
scarso;1;1;2;0;0;0;2
salso;2;0;0;2;2;2;0
recensioni;1;2;2;3;0;1;2
pausa;1;2;0;1;0;6;0
ordine;5;0;1;0;1;1;3
occasione;4;2;1;0;0;1;3
mozzarella;0;6;2;0;0;1;0
misto;1;0;2;2;4;1;1
luogo;1;3;2;3;1;2;0
livello;4;0;2;2;1;0;0
impeccabile;0;1;1;1;5;1;0
impasto;0;3;1;0;1;2;1
gradevole;3;2;2;1;4;0;2
gestore;1;1;1;1;0;2;0
gentilissimo;1;1;0;1;3;3;2
frequentare;1;1;0;1;1;3;3
fatto;0;0;2;3;1;2;1
domenica;4;0;1;4;0;1;0
deludere;1;1;1;1;2;1;1
contorno;0;1;5;3;2;0;0
cicoria;0;0;6;1;1;3;0
bruschetta;1;1;1;1;3;0;0
basso;0;2;5;1;0;0;1
baccalà;0;4;4;0;1;0;1
vivo;2;1;2;1;3;1;1
rapido;0;1;0;5;0;2;0
proporre;2;0;2;4;0;0;0
posto;0;1;3;1;1;3;0
pecorino;0;0;3;2;1;2;0
pecca;0;1;3;2;0;1;1
pasto;0;2;0;2;1;1;0
passato;1;1;2;0;1;2;1
olio;2;0;1;1;2;0;1
fiore;0;4;2;0;1;0;2
evitare;3;1;3;1;0;1;3
economico;0;2;2;0;2;2;1
crudo;0;2;1;0;2;0;3
condimento;2;3;0;1;0;2;0
buffet;3;0;1;1;0;0;0
bibita;3;0;0;0;1;4;0
bevanda;3;0;1;0;2;1;0
bancone;2;1;0;0;1;4;1
attenzione;4;0;1;0;1;2;1
aprire;2;1;1;0;0;3;1
trattare;0;1;3;0;1;0;1
tagliere;0;0;1;3;3;0;0
storico;0;0;2;1;0;0;2
splendido;0;0;2;2;2;1;1
sperare;2;2;3;0;0;0;2
speciale;3;0;0;2;1;2;1
rustico;0;1;0;2;0;1;2
romanesco;0;0;0;4;0;1;1
rispondere;3;0;2;0;1;1;2
professionalità;3;2;1;0;1;1;1
professionale;1;2;3;3;1;2;0
piazza;0;3;1;0;1;2;1
panna;0;0;1;0;0;1;8
manzo;0;0;2;3;3;0;0
ideale;1;1;0;2;0;2;1
hamburger;1;0;3;0;0;0;1
gruppo;3;1;3;1;1;1;0
gricia;0;0;3;6;1;0;0
gestire;3;0;0;0;0;2;3
genuino;0;1;0;0;2;6;1
fungo;0;2;1;1;1;1;1
crema;0;0;4;1;0;0;5
continuare;3;0;0;0;1;1;1
bicchiere;3;0;0;1;2;1;0
bere;4;0;1;1;2;2;0
bambino;0;2;0;1;1;2;4
aspettare;2;0;3;0;0;3;2
apprezzare;2;1;2;2;3;0;0
