"";"x"
"1";0
"2";3
"3";0
"4";0
"5";0
"6";6
"7";0
"8";2
"9";6
"10";0
"11";6
"12";7
"13";1
"14";1
"15";2
"16";0
"17";7
"18";6
"19";0
"20";1
"21";5
"22";0
"23";6
"24";1
"25";0
"26";6
"27";2
"28";0
"29";0
"30";4
"31";0
"32";6
"33";6
"34";5
"35";5
"36";2
"37";7
"38";0
"39";5
"40";1
"41";0
"42";0
"43";1
"44";7
"45";0
"46";1
"47";7
"48";0
"49";6
"50";3
"51";2
"52";2
"53";1
"54";3
"55";5
"56";4
"57";1
"58";4
"59";0
"60";3
"61";2
"62";4
"63";7
"64";5
"65";5
"66";0
"67";3
"68";4
"69";4
"70";5
"71";7
"72";3
"73";5
"74";6
"75";4
"76";0
"77";3
"78";7
"79";4
"80";3
"81";6
"82";5
"83";0
"84";4
"85";5
"86";0
"87";3
"88";3
"89";2
"90";4
"91";1
"92";7
"93";4
"94";3
"95";1
"96";1
"97";5
"98";4
"99";1
"100";3
"101";7
"102";0
"103";2
"104";0
"105";3
"106";0
"107";3
"108";4
"109";5
"110";3
"111";2
"112";2
"113";5
"114";7
"115";7
"116";7
"117";6
"118";7
"119";7
"120";0
"121";7
"122";2
"123";1
"124";7
"125";0
"126";0
"127";5
"128";2
"129";0
"130";2
"131";1
"132";0
"133";6
"134";2
"135";0
"136";7
"137";6
"138";3
"139";6
"140";5
"141";0
"142";6
"143";4
"144";1
"145";7
"146";0
"147";4
"148";0
"149";2
"150";3
"151";5
"152";4
