"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
"****";"16";"117";"13.68";"****";""
" 4";" 4";"100.00";"26.14";"giapponese";"3.169122e-07"
" 4";" 4";"100.00";"26.14";"direttore";"3.169122e-07"
" 5";" 6";" 83.33";"25.99";"italiano";"3.423221e-07"
" 8";"14";" 57.14";"25.45";"stile";"4.532887e-07"
" 6";" 9";" 66.67";"23.19";"cocktail";"1.465716e-06"
" 8";"15";" 53.33";"22.92";"quantità";"1.686216e-06"
" 4";" 5";" 80.00";"19.46";"spiegare";"1.025429e-05"
" 3";" 3";"100.00";"19.44";"americano";"1.040355e-05"
" 3";" 3";"100.00";"19.44";"apericena";"1.040355e-05"
" 8";"17";" 47.06";"18.78";"musico";"1.469099e-05"
"11";"30";" 36.67";"18.07";"serata";"2.134289e-05"
" 5";" 8";" 62.50";"17.34";"bagno";"3.124641e-05"
"11";"31";" 35.48";"16.99";"arrivare";"3.754320e-05"
" 4";" 6";" 66.67";"15.04";"sushi";"1.050474e-04"
" 4";" 6";" 66.67";"15.04";"fortuna";"1.050474e-04"
" 4";" 6";" 66.67";"15.04";"salmone";"1.050474e-04"
" 8";"20";" 40.00";"14.16";"offrire";"1.677832e-04"
" 3";" 4";" 75.00";"13.19";"zuppa";"2.808769e-04"
" 3";" 4";" 75.00";"13.19";"arredare";"2.808769e-04"
" 3";" 4";" 75.00";"13.19";"venerdì";"2.808769e-04"
" 3";" 4";" 75.00";"13.19";"divanetti";"2.808769e-04"
" 3";" 4";" 75.00";"13.19";"persone_che";"2.808769e-04"
" 7";"17";" 41.18";"12.74";"freddo";"3.573522e-04"
"11";"36";" 30.56";"12.55";"solo";"3.958850e-04"
" 5";"10";" 50.00";"12.22";"pollo";"4.723191e-04"
" 5";"10";" 50.00";"12.22";"prenotazione";"4.723191e-04"
" 4";" 7";" 57.14";"11.92";"sfizioso";"5.563477e-04"
" 4";" 7";" 57.14";"11.92";"raviolo";"5.563477e-04"
" 5";"11";" 45.45";"10.39";"ordine";"1.269016e-03"
" 3";" 5";" 60.00";" 9.50";"buffet";"2.060324e-03"
" 3";" 5";" 60.00";" 9.50";"organizzare";"2.060324e-03"
" 3";" 5";" 60.00";" 9.50";"notare";"2.060324e-03"
" 3";" 5";" 60.00";" 9.50";"sbagliare";"2.060324e-03"
" 3";" 5";" 60.00";" 9.50";"cassa";"2.060324e-03"
" 3";" 5";" 60.00";" 9.50";"preciso";"2.060324e-03"
" 3";" 5";" 60.00";" 9.50";"salvare";"2.060324e-03"
" 3";" 5";" 60.00";" 9.50";"parcheggio";"2.060324e-03"
" 7";"20";" 35.00";" 9.29";"chiedere";"2.300636e-03"
" 8";"25";" 32.00";" 9.04";"cliente";"2.636013e-03"
" 8";"25";" 32.00";" 9.04";"piacevole";"2.636013e-03"
" 6";"16";" 37.50";" 8.91";"sabato";"2.833102e-03"
" 4";" 9";" 44.44";" 7.82";"livello";"5.169101e-03"
" 4";" 9";" 44.44";" 7.82";"attenzione";"5.169101e-03"
" 4";" 9";" 44.44";" 7.82";"preparazione";"5.169101e-03"
" 7";"22";" 31.82";" 7.55";"lasciare";"5.984524e-03"
" 2";" 3";" 66.67";" 7.32";"drink";"6.804240e-03"
" 2";" 3";" 66.67";" 7.32";"live";"6.804240e-03"
" 2";" 3";" 66.67";" 7.32";"brunch";"6.804240e-03"
" 2";" 3";" 66.67";" 7.32";"accettabile";"6.804240e-03"
" 2";" 3";" 66.67";" 7.32";"trattato";"6.804240e-03"
" 2";" 3";" 66.67";" 7.32";"tavolino";"6.804240e-03"
" 2";" 3";" 66.67";" 7.32";"soluzione";"6.804240e-03"
" 2";" 3";" 66.67";" 7.32";"responsabile";"6.804240e-03"
" 2";" 3";" 66.67";" 7.32";"principale";"6.804240e-03"
" 2";" 3";" 66.67";" 7.32";"ma_questo";"6.804240e-03"
" 2";" 3";" 66.67";" 7.32";"competenza";"6.804240e-03"
" 2";" 3";" 66.67";" 7.32";"umido";"6.804240e-03"
" 2";" 3";" 66.67";" 7.32";"tendenza";"6.804240e-03"
" 2";" 3";" 66.67";" 7.32";"romantico";"6.804240e-03"
" 2";" 3";" 66.67";" 7.32";"personale_che";"6.804240e-03"
" 2";" 3";" 66.67";" 7.32";"parcheggiare";"6.804240e-03"
" 2";" 3";" 66.67";" 7.32";"dozzinale";"6.804240e-03"
" 2";" 3";" 66.67";" 7.32";"divertire";"6.804240e-03"
" 2";" 3";" 66.67";" 7.32";"difficoltà";"6.804240e-03"
" 2";" 3";" 66.67";" 7.32";"brutto";"6.804240e-03"
" 2";" 3";" 66.67";" 7.32";"artistico";"6.804240e-03"
" 2";" 3";" 66.67";" 7.32";"accadere";"6.804240e-03"
" 3";" 6";" 50.00";" 7.07";"continuare";"7.843425e-03"
" 3";" 6";" 50.00";" 7.07";"festa";"7.843425e-03"
" 3";" 6";" 50.00";" 7.07";"assurdo";"7.843425e-03"
" 3";" 6";" 50.00";" 7.07";"minimo";"7.843425e-03"
" 6";"18";" 33.33";" 6.96";"pagare";"8.318176e-03"
" 8";"28";" 28.57";" 6.92";"ordinare";"8.529014e-03"
" 5";"14";" 35.71";" 6.54";"curare";"1.052827e-02"
" 5";"14";" 35.71";" 6.54";"sala";"1.052827e-02"
" 4";"10";" 40.00";" 6.42";"domenica";"1.129106e-02"
" 4";"10";" 40.00";" 6.42";"bere";"1.129106e-02"
" 5";"15";" 33.33";" 5.63";"vicino";"1.763177e-02"
" 3";" 7";" 42.86";" 5.37";"riso";"2.047504e-02"
" 3";" 7";" 42.86";" 5.37";"bevanda";"2.047504e-02"
