"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
"****";"16";"117";"13.68";"****";""
" 1";"50";" 2.00";"-10.08";"romano";"0.001497353"
" 0";"31";" 0.00";" -6.68";"pepe";"0.009744069"
" 0";"29";" 0.00";" -6.11";"cacio";"0.013457050"
" 0";"26";" 0.00";" -5.30";"tradizione";"0.021379177"
" 0";"25";" 0.00";" -5.04";"carciofo";"0.024817287"
" 0";"24";" 0.00";" -4.78";"carbonaro";"0.028739731"
" 0";"24";" 0.00";" -4.78";"cordiale";"0.028739731"
" 0";"21";" 0.00";" -4.05";"classico";"0.044054926"
" 3";"48";" 6.25";" -3.80";"buonissimo";"0.051214375"
" 1";"30";" 3.33";" -3.66";"pasta";"0.055892721"
"11";"99";"11.11";" -3.58";"ottimo";"0.058343821"
" 1";"28";" 3.57";" -3.18";"gusto";"0.074402723"
" 0";"17";" 0.00";" -3.15";"polpetta";"0.075885512"
" 0";"17";" 0.00";" -3.15";"condire";"0.075885512"
" 0";"16";" 0.00";" -2.94";"trattoria";"0.086615204"
" 0";"15";" 0.00";" -2.73";"squisito";"0.098745790"
" 0";"15";" 0.00";" -2.73";"capitare";"0.098745790"
" 0";"14";" 0.00";" -2.52";"supplì";"0.112462402"
" 0";"14";" 0.00";" -2.52";"pizzeria";"0.112462402"
" 0";"14";" 0.00";" -2.52";"possibilità";"0.112462402"
" 0";"14";" 0.00";" -2.52";"accoglienza";"0.112462402"
" 0";"13";" 0.00";" -2.32";"mercato";"0.127980465"
" 0";"13";" 0.00";" -2.32";"staff";"0.127980465"
" 2";"33";" 6.06";" -2.26";"pizza";"0.132960449"
" 4";"49";" 8.16";" -2.17";"roma";"0.140747293"
" 0";"12";" 0.00";" -2.12";"formaggio";"0.145553143"
" 0";"12";" 0.00";" -2.12";"forno";"0.145553143"
" 0";"12";" 0.00";" -2.12";"vivamente";"0.145553143"
" 0";"12";" 0.00";" -2.12";"tradizionale";"0.145553143"
" 0";"12";" 0.00";" -2.12";"simpatia";"0.145553143"
" 1";"23";" 4.35";" -2.11";"rapporto";"0.146360782"
" 1";"23";" 4.35";" -2.11";"gustoso";"0.146360782"
" 2";"32";" 6.25";" -2.06";"anno";"0.151493643"
"*****";"*";"*";"*";"*";"*"
"*";"*";"*";"*";"*";"*"
"0";"13";"0";"-2.32";"*RATING_4.6";"0.1279805"
"**";"classe";"2";"**";"";""
"****";"16";"117";"13.68";"****";""
"0";"38";"0.00";"-8.92";"vino";"0.002827754"
"1";"45";"2.22";"-8.13";"dolce";"0.004365414"
"2";"45";"4.44";"-5.28";"ristorante";"0.021596143"
"0";"25";"0.00";"-5.04";"piacevole";"0.024817287"
"7";"79";"8.86";"-4.78";"fare";"0.028861012"
"1";"34";"2.94";"-4.68";"antipasto";"0.030554549"
"0";"23";"0.00";"-4.54";"esperienza";"0.033207006"
"0";"22";"0.00";"-4.29";"caldo";"0.038286792"
"4";"57";"7.02";"-4.17";"piatto";"0.041064639"
"0";"21";"0.00";"-4.05";"perdere";"0.044054926"
"4";"56";"7.14";"-3.88";"trovare";"0.048791147"
"0";"20";"0.00";"-3.82";"giorno";"0.050596565"
"0";"18";"0.00";"-3.37";"acqua";"0.066396295"
"0";"17";"0.00";"-3.15";"caffè";"0.075885512"
"6";"67";"8.96";"-2.96";"primo";"0.085415794"
"1";"27";"3.70";"-2.96";"menu";"0.085539583"
"1";"27";"3.70";"-2.96";"medio";"0.085539583"
"0";"16";"0.00";"-2.94";"mettere";"0.086615204"
"0";"16";"0.00";"-2.94";"tagliare";"0.086615204"
"2";"36";"5.56";"-2.90";"atmosfera";"0.088355427"
"1";"26";"3.85";"-2.74";"menù";"0.098127075"
"1";"26";"3.85";"-2.74";"tradizione";"0.098127075"
"1";"26";"3.85";"-2.74";"piacere";"0.098127075"
"0";"15";"0.00";"-2.73";"cioccolato";"0.098745790"
"0";"15";"0.00";"-2.73";"quantità";"0.098745790"
"4";"51";"7.84";"-2.60";"cena";"0.106534754"
"1";"25";"4.00";"-2.52";"carciofo";"0.112332421"
"0";"14";"0.00";"-2.52";"curare";"0.112462402"
"0";"14";"0.00";"-2.52";"carta";"0.112462402"
"0";"14";"0.00";"-2.52";"scoprire";"0.112462402"
"0";"14";"0.00";"-2.52";"materia";"0.112462402"
"0";"14";"0.00";"-2.52";"sala";"0.112462402"
"5";"58";"8.62";"-2.49";"tornare";"0.114632923"
"0";"13";"0.00";"-2.32";"salato";"0.127980465"
"0";"13";"0.00";"-2.32";"consigliatissimo";"0.127980465"
"0";"13";"0.00";"-2.32";"accompagnare";"0.127980465"
"0";"12";"0.00";"-2.12";"aperitivo";"0.145553143"
"0";"12";"0.00";"-2.12";"rendere";"0.145553143"
"1";"23";"4.35";"-2.11";"via";"0.146360782"
"1";"23";"4.35";"-2.11";"conto";"0.146360782"
"2";"32";"6.25";"-2.06";"cameriere";"0.151493643"
"2";"32";"6.25";"-2.06";"anno";"0.151493643"
"*****";"*";"*";"*";"*";"*"
"8";"86";"9.30";"-5.26";"l";"0.0218508"
"0";"14";"0.00";"-2.52";"di_una";"0.1124624"
"0";"13";"0.00";"-2.32";"dall";"0.1279805"
"0";"12";"0.00";"-2.12";"una_volta";"0.1455531"
"1";"23";"4.35";"-2.11";"dell";"0.1463608"
"*";"*";"*";"*";"*";"*"
"**";"classe";"3";"**";"";""
"****";"17";"117";"14.53";"****";""
"6";"76";"7.89";"-7.69";"personale";"0.005557276"
"0";"28";"0.00";"-6.26";"gusto";"0.012366664"
"0";"25";"0.00";"-5.40";"preparare";"0.020080399"
"1";"33";"3.03";"-4.89";"disponibile";"0.026942142"
