"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"conferma";2,07;-1,002;1,801;0,048;0,023;-1,002;-1,226
"comporre";0,45;-0,656;-0,704;0,45;0,366;-0,656;0,234
"colpire";0,45;-0,656;0,366;-0,656;0,366;-0,656;0,234
"cinema";0,45;13,194;-0,704;-0,656;-0,704;-0,656;-0,803
"chef";-1,002;-1,002;6,407;2,07;0,023;-1,002;-1,226
"bravissimi";2,07;0,048;-1,075;0,048;-1,075;0,048;0,001
"arredo";2,07;-1,002;1,801;-1,002;0,023;0,048;-1,226
"arredamento";0,177;-0,827;0,126;-0,827;2,728;0,177;-1,013
"aperto";-1,002;0,048;0,023;0,048;-1,075;-1,002;5,299
"americano";19,436;-0,488;-0,523;-0,488;-0,523;-0,488;-0,597
"alternativo";0,177;0,177;-0,888;-0,827;0,126;0,177;0,054
"accettabile";7,324;-0,488;0,877;-0,488;-0,523;-0,488;-0,597
"zabaione";-0,827;-0,827;-0,888;0,177;-0,888;-0,827;15,611
"venerdì";13,194;-0,656;0,366;-0,656;-0,704;-0,656;-0,803
"vegan";-0,488;1,008;-0,523;-0,488;-0,523;-0,488;5,756
"un_pochino";-0,488;-0,488;0,877;-0,488;6,739;-0,488;-0,597
"tripadvisor";-0,656;0,45;-0,704;-0,656;-0,704;4,629;0,234
"trattato";7,324;-0,488;-0,523;-0,488;-0,523;-0,488;0,661
"trascorrere";0,45;-0,656;-0,704;-0,656;4,196;0,45;-0,803
"tra_cui";-0,488;1,008;-0,523;1,008;-0,523;1,008;-0,597
"tipicamente";-0,656;-0,656;4,196;0,45;-0,704;-0,656;0,234
"tiepido";4,629;-0,656;-0,704;-0,656;4,196;-0,656;-0,803
"testa";-0,827;3,066;2,728;-0,827;0,126;-0,827;-1,013
"tavolino";7,324;-0,488;-0,523;-0,488;-0,523;1,008;-0,597
"tardo";3,066;-0,827;0,126;-0,827;-0,888;3,066;-1,013
"superbo";-0,488;-0,488;0,877;1,008;-0,523;-0,488;0,661
"sufficiente";-0,488;-0,488;6,739;-0,488;-0,523;-0,488;0,661
"storia";-0,488;-0,488;0,877;1,008;-0,523;-0,488;0,661
"spiegazione";4,629;0,45;-0,704;-0,656;-0,704;0,45;-0,803
"spazioso";0,177;0,177;0,126;-0,827;-0,888;0,177;0,054
"spartano";-0,656;-0,656;12,195;0,45;-0,704;-0,656;-0,803
"sollecitare";1,008;-0,488;6,739;-0,488;-0,523;-0,488;-0,597
"seguire";0,45;-0,656;4,196;-0,656;-0,704;0,45;-0,803
"sbaglio";4,629;-0,656;0,366;-0,656;-0,704;-0,656;0,234
"sano";-0,656;-0,656;-0,704;0,45;-0,704;13,194;-0,803
"salvare";9,495;-0,827;0,126;-0,827;-0,888;0,177;-1,013
"sala|sale";3,066;-0,827;8,696;-0,827;-0,888;-0,827;-1,013
"rovinare";3,066;0,177;0,126;-0,827;-0,888;-0,827;0,054
"rivedere";4,629;-0,656;0,366;0,45;-0,704;-0,656;-0,803
"risultato";0,45;-0,656;0,366;0,45;-0,704;-0,656;0,234
"ristorazione";0,177;-0,827;2,728;0,177;-0,888;0,177;-1,013
"rispecchiare";4,629;-0,656;-0,704;4,629;-0,704;-0,656;-0,803
"riservare";-0,656;-0,656;-0,704;0,45;4,196;0,45;-0,803
"radicchio";-0,488;-0,488;6,739;1,008;-0,523;-0,488;-0,597
"raccontare";0,177;-0,827;0,126;0,177;0,126;0,177;-1,013
"prevedere";0,45;0,45;-0,704;0,45;0,366;-0,656;-0,803
"presentazione";1,008;-0,488;-0,523;-0,488;6,739;-0,488;-0,597
"precedente";1,008;-0,488;0,877;-0,488;-0,523;1,008;-0,597
