"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";0,319453665461466;-2,09780797462213;0,171165117329106;-0,730926369774007;-0,44206860417826;0,410814487241321;0,13708320455196;-0,900206417354596;0,0734499720236159;-0,313653402334301;-0,189699438273868;0,176287745222957;0,0227294108757782;0,846412045504264;0,00502633990212131;0,0777667409607855;0,027427400141067;0,0206380626159781;0,0158695542549639;0,684353418716139;0,00455595579243273;0,08307995214482;0,0303898335730243;0,0262446314266149;0,155506654092005;0,908309396476847;0,128297026536367
"classe 2";-0,361651417094094;1,36839633567371;0,486154009662315;-1,42361423200511;-1,84501011817247;0,113853769488271;-0,130471274586019;0,493669886568525;0,175387487198048;-0,513590586374444;-0,665615591046983;0,0410744869767583;0,0241917234481371;0,299080580623799;0,033673100972602;0,244988285950828;0,396749913800684;0,00131639520395205;0,0150623630396413;0,215643600136464;0,0272182696741811;0,233398150711798;0,392021849254794;0,00149282052064659;0,115162946662475;0,996728296143835;0,114410621258602
"classe 3";0,893495957002235;0,321587287147249;-0,965905296258344;-0,692772675803576;0,795237952689272;-1,46121666487893;0,396338213836967;0,142650148533686;-0,428457652051514;-0,307301093834002;0,352752787826486;-0,648168576979332;0,228701121251788;0,0255834316123688;0,205873812428777;0,0898542907994129;0,114159005678844;0,335828338228812;0,131257220424016;0,0170033996989067;0,153393555680848;0,0789077245262006;0,103975787152107;0,351048606136281;0,164413706381641;0,80090031746657;0,10546174460388
"classe 4";0,981156710180391;0,684619729198548;-0,206722977823989;0,381440726423425;0,615136514982945;1,72556721053703;0,439862112919213;0,306921695083843;-0,0926759251311582;0,171003594163056;0,275771693152271;0,773588593275157;0,28577118210662;0,120148523607731;0,00977165400345122;0,0282273433883175;0,0707811411496044;0,485300155744275;0,161100448330862;0,0784366095831296;0,0071515058291928;0,0243486066599356;0,0633232225200025;0,49829181288218;0,167347794194698;0,786772521892651;0,103590125633962
"classe 5";0,454083619974147;-0,0351694705082399;0,582536967303523;1,89787540859978;-0,935827098566834;-0,839892672044396;0,189697787931168;-0,0146923836594313;0,243360405935587;0,792855656852008;-0,390950747120715;-0,350873220213253;0,0548116081031714;0,000283929472024712;0,0694859108368189;0,625763862528723;0,146698264304024;0,102956424755237;0,0306381811077307;0,000183790460857893;0,0504241154054504;0,535213062180981;0,130131531408178;0,104818729475573;0,148590589961228;0,831418310965053;0,102714197450667
"classe 6";-1,09938376055121;0,163308136210043;1,93819089031595;-0,222301029356932;1,54308619302067;-0,287952633637629;-0,401295151273342;0,0596104523062253;0,707475073250112;-0,081143935725667;0,563254642715082;-0,105107970320785;0,211911288825815;0,00403783943952993;0,507338073620063;0,0056625573750128;0,263068409071848;0,00798183166773027;0,142104086830693;0,00313562109707539;0,441673181015906;0,00581019730345132;0,279955048619945;0,00974877490972923;0,1175730902232;1,02374617504304;0,123223209796387
"classe 7";-1,95837220784519;-0,0972807968718106;-1,54971123117377;0,546475827352338;0,0392780569963489;0,252148950665098;-0,761715750126014;-0,0378377076968431;-0,602765627597976;0,212553692852613;0,0152773382550123;0,098074220176298;0,647365355673873;0,00137940298567907;0,312255029511928;0,0329439069344542;0,000164093674989189;0,00589221121907369;0,503968146012094;0,00124356030742724;0,315583416601988;0,0392423064728125;0,000202727471948672;0,00835462464897553;0,131405218484753;1,04337525162383;0,143051914732176
