"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";0;0;0;0;0;0;0;0;0
"2";0;0;0;0;4;4;4;4;4
"3";0;0;0;0;0;0;0;0;0
"4";0;0;0;0;0;3;3;3;3
"5";0;0;0;0;0;0;0;0;0
"6";0;0;0;0;0;0;0;0;0
"7";0;0;0;0;0;0;0;0;0
"8";0;0;0;0;0;3;3;3;3
"9";0;0;0;0;0;0;0;0;0
"10";0;0;0;0;0;0;0;0;0
"11";0;0;0;0;0;0;0;0;0
"12";0;0;0;0;0;0;2;2;2
"13";0;0;0;0;0;0;0;1;1
"14";0;0;0;0;0;0;0;1;1
"15";0;0;0;0;0;3;3;3;3
"16";0;0;0;0;0;0;2;2;2
"17";0;0;0;0;0;3;3;3;3
"18";0;0;0;0;0;0;0;1;1
"19";0;0;0;0;0;0;0;0;0
"20";0;0;0;0;0;0;0;1;1
"21";0;0;0;0;0;0;0;0;0
"22";0;0;0;0;0;0;0;0;0
"23";0;0;0;0;0;0;0;0;0
"24";0;0;0;0;0;0;0;1;1
"25";0;0;0;0;0;0;0;0;0
"26";0;0;0;0;0;0;0;0;0
"27";0;0;0;0;0;3;3;3;3
"28";0;0;0;0;0;0;0;0;0
"29";0;0;0;0;0;0;2;2;2
"30";0;0;0;0;4;4;4;4;4
"31";0;0;0;0;0;0;0;0;0
"32";0;0;0;0;0;3;3;3;3
"33";0;0;0;0;0;0;2;2;2
"34";0;0;0;0;0;0;0;0;0
"35";0;0;0;0;0;0;2;2;2
"36";0;0;0;0;0;0;2;2;2
"37";0;0;0;0;0;0;0;0;0
"38";0;0;0;0;0;0;0;1;1
"39";0;0;0;0;0;0;0;0;0
"40";0;0;0;0;0;0;0;1;1
"41";0;0;0;0;0;0;0;0;0
"42";0;0;0;0;0;0;0;1;1
"43";0;0;0;0;0;0;0;1;1
"44";0;0;0;0;0;0;0;0;0
"45";0;0;0;0;0;0;0;0;0
"46";0;0;0;0;0;0;0;1;1
"47";0;0;0;0;0;0;0;1;1
"48";0;0;0;0;0;0;0;0;0
"49";0;0;0;0;0;0;0;0;0
"50";0;0;0;0;0;0;0;0;0
"51";0;0;0;0;0;3;3;3;3
"52";0;0;0;0;0;3;3;3;3
"53";0;0;0;0;0;0;0;1;1
"54";0;0;0;0;4;4;4;4;4
"55";0;0;0;0;0;0;2;2;2
"56";0;0;0;0;4;4;4;4;4
"57";0;0;0;0;0;0;0;1;1
"58";0;0;0;0;4;4;4;4;4
"59";0;0;0;0;0;0;0;0;0
"60";0;0;0;0;4;4;4;4;4
"61";0;0;0;0;0;3;3;3;3
"62";0;0;0;0;0;0;2;2;2
"63";0;0;0;0;0;3;3;3;3
"64";0;0;0;0;0;0;2;2;2
"65";0;0;0;0;0;0;2;2;2
"66";0;0;0;0;0;0;0;0;0
"67";0;0;0;0;4;4;4;4;4
"68";0;0;0;0;4;4;4;4;4
"69";0;0;0;0;4;4;4;4;4
"70";0;0;0;0;0;0;2;2;2
"71";0;0;0;0;0;0;0;0;0
"72";0;0;0;0;0;3;3;3;3
"73";0;0;0;0;0;0;0;0;0
"74";0;0;0;0;0;0;0;0;0
"75";0;0;0;0;0;3;3;3;3
"76";0;0;0;0;0;3;3;3;3
"77";0;0;0;0;4;4;4;4;4
"78";0;0;0;0;0;0;0;0;0
"79";0;0;0;0;4;4;4;4;4
"80";0;0;0;0;0;3;3;3;3
"81";0;0;0;0;0;0;0;0;0
"82";0;0;0;0;0;0;0;0;0
"83";0;0;0;0;0;3;3;3;3
"84";0;0;0;0;4;4;4;4;4
"85";0;0;0;0;0;0;0;0;0
"86";0;0;0;0;0;0;0;0;0
"87";0;0;0;0;4;4;4;4;4
"88";0;0;0;0;0;3;3;3;3
"89";0;0;0;0;0;3;3;3;3
"90";0;0;0;0;4;4;4;4;4
"91";0;0;0;0;0;0;0;1;1
"92";0;0;0;0;0;0;2;2;2
"93";0;0;0;0;4;4;4;4;4
"94";0;0;0;0;4;4;4;4;4
"95";0;0;0;0;0;0;0;1;1
"96";0;0;0;0;0;0;0;1;1
"97";0;0;0;0;0;0;2;2;2
"98";0;0;0;0;4;4;4;4;4
"99";0;0;0;0;0;0;0;1;1
"100";0;0;0;0;4;4;4;4;4
"101";0;0;0;0;0;0;0;0;0
"102";0;0;0;0;0;0;0;0;0
"103";0;0;0;0;0;3;3;3;3
"104";0;0;0;0;0;3;3;3;3
"105";0;0;0;0;4;4;4;4;4
"106";0;0;0;0;0;0;0;0;0
"107";0;0;0;0;0;0;0;0;0
"108";0;0;0;0;4;4;4;4;4
"109";0;0;0;0;0;0;2;2;2
"110";0;0;0;0;0;0;0;0;0
"111";0;0;0;0;0;0;0;0;0
"112";0;0;0;0;0;3;3;3;3
"113";0;0;0;0;0;0;0;0;0
"114";0;0;0;0;0;0;0;0;0
"115";0;0;0;0;0;0;0;0;0
"116";0;0;0;0;0;0;0;0;0
"117";0;0;0;0;0;0;2;2;2
"118";0;0;0;0;0;0;0;0;0
"119";0;0;0;0;0;0;2;2;2
"120";0;0;0;0;0;0;0;0;0
"121";0;0;0;0;0;0;0;0;0
"122";0;0;0;0;0;0;0;0;0
"123";0;0;0;0;0;0;0;1;1
"124";0;0;0;0;0;0;2;2;2
"125";0;0;0;0;0;0;0;0;0
"126";0;0;0;0;0;0;0;0;0
"127";0;0;0;0;0;0;0;0;0
"128";0;0;0;0;0;3;3;3;3
"129";0;0;0;0;0;0;2;2;2
"130";0;0;0;0;0;0;2;2;2
"131";0;0;0;0;0;0;0;1;1
"132";0;0;0;0;0;0;2;2;2
"133";0;0;0;0;0;0;0;0;0
"134";0;0;0;0;0;3;3;3;3
"135";0;0;0;0;0;0;0;0;0
"136";0;0;0;0;0;0;0;0;0
"137";0;0;0;0;0;0;2;2;2
"138";0;0;0;0;4;4;4;4;4
