"";"x"
"1";0
"2";4
"3";0
"4";3
"5";0
"6";0
"7";0
"8";3
"9";0
"10";0
"11";0
"12";2
"13";1
"14";1
"15";3
"16";2
"17";3
"18";1
"19";0
"20";1
"21";0
"22";0
"23";0
"24";1
"25";0
"26";0
"27";3
"28";0
"29";2
"30";4
"31";0
"32";3
"33";2
"34";0
"35";2
"36";2
"37";0
"38";1
"39";0
"40";1
"41";0
"42";1
"43";1
"44";0
"45";0
"46";1
"47";1
"48";0
"49";0
"50";0
"51";3
"52";3
"53";1
"54";4
"55";2
"56";4
"57";1
"58";4
"59";0
"60";4
"61";3
"62";2
"63";3
"64";2
"65";2
"66";0
"67";4
"68";4
"69";4
"70";2
"71";0
"72";3
"73";0
"74";0
"75";3
"76";3
"77";4
"78";0
"79";4
"80";3
"81";0
"82";0
"83";3
"84";4
"85";0
"86";0
"87";4
"88";3
"89";3
"90";4
"91";1
"92";2
"93";4
"94";4
"95";1
"96";1
"97";2
"98";4
"99";1
"100";4
"101";0
"102";0
"103";3
"104";3
"105";4
"106";0
"107";0
"108";4
"109";2
"110";0
"111";0
"112";3
"113";0
"114";0
"115";0
"116";0
"117";2
"118";0
"119";2
"120";0
"121";0
"122";0
"123";1
"124";2
"125";0
"126";0
"127";0
"128";3
"129";2
"130";2
"131";1
"132";2
"133";0
"134";3
"135";0
"136";0
"137";2
"138";4
"139";0
"140";0
"141";0
"142";0
"143";4
"144";1
"145";0
"146";2
"147";4
"148";0
"149";3
"150";4
"151";2
"152";0
