"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 101";0,0202963796625196;0,31221978238352;90,9491890874615
"facteur 102";0,0199570768215507;0,307000277184519;91,256189364646
"facteur 103";0,0194938704537615;0,299874760528123;91,5560641251741
"facteur 104";0,0192146321705093;0,295579230119262;91,8516433552934
"facteur 105";0,0184019149441474;0,283077178040358;92,1347205333337
"facteur 106";0,018327468852809;0,281931971711768;92,4166525050455
"facteur 107";0,0178731058571655;0,274942492899203;92,6915949979447
"facteur 108";0,0174045570811317;0,267734793825684;92,9593297917704
"facteur 109";0,0173952139331406;0,267591067915888;93,2269208596863
"facteur 110";0,0169518412598691;0,260770653543208;93,4876915132295
"facteur 111";0,0163887828694847;0,252109110399152;93,7398006236287
"facteur 112";0,0162026912034541;0,249246457037442;93,9890470806661
"facteur 113";0,0158145706350837;0,24327598735713;94,2323230680232
"facteur 114";0,0155261292483822;0,238838885347621;94,4711619533708
"facteur 115";0,0152328760768128;0,234327763515398;94,7054897168862
"facteur 116";0,0149997682664418;0,230741859475559;94,9362315763618
"facteur 117";0,0148518119558451;0,228465843365056;95,1646974197268
"facteur 118";0,0143490983123234;0,220732585168698;95,3854300048956
"facteur 119";0,0141837534382568;0,218189080294544;95,6036190851901
"facteur 120";0,0136955846429244;0,210679565909249;95,8142986510993
"facteur 121";0,0134671924417421;0,207166202218929;96,0214648533183
"facteur 122";0,013220099082521;0,203365158085581;96,2248300114039
"facteur 123";0,0126536688309923;0,194651745506178;96,41948175691
"facteur 124";0,0122939969943779;0,189118903471074;96,6086006603811
"facteur 125";0,0121148060040232;0,186362403398456;96,7949630637796
"facteur 126";0,0119441704144404;0,18373751129788;96,9787005750774
"facteur 127";0,0113070283301371;0,173936336594989;97,1526369116724
"facteur 128";0,011138538060201;0,171344446007214;97,3239813576796
"facteur 129";0,0106065813910664;0,163161341520783;97,4871426992004
"facteur 130";0,0104939632872509;0,161428934044654;97,6485716332451
"facteur 131";0,0102709073112554;0,157997657657305;97,8065692909024
