"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,0186517805544032;21,646949290922;21,646949290922
"facteur 2";0,0120751335711516;14,0142011285953;35,6611504195173
"facteur 3";0,00798814813835458;9,27091315357092;44,9320635730883
"facteur 4";0,00620079263968707;7,19653780202452;52,1286013751128
"facteur 5";0,00587111704876658;6,81392174141331;58,9425231165261
"facteur 6";0,00501999874632106;5,82612785868589;64,768650975212
"facteur 7";0,00456300703073004;5,29575080085401;70,064401776066
"facteur 8";0,00423450341445274;4,91449491470964;74,9788966907756
"facteur 9";0,00366426520491191;4,25268584132536;79,231582532101
"facteur 10";0,00317117823574317;3,68041722672973;82,9119997588307
"facteur 11";0,00276558636097104;3,20969397752607;86,1216937363568
"facteur 12";0,00262833095066034;3,05039760910514;89,1720913454619
"facteur 13";0,0024781447015988;2,87609392221872;92,0481852676806
"facteur 14";0,00232708878216517;2,70078091022312;94,7489661779038
"facteur 15";0,00186095731402232;2,1597964061239;96,9087625840277
"facteur 16";0,00142960891684721;1,65918056126474;98,5679431452924
"facteur 17";0,00123391106231474;1,43205685470759;100
