assurdo	6
unico	18
appetito	3
bucatino	4
presente	10
dozzinale	3
riso	5
bruschetta	5
patatina	7
decimo	3
pavimento	3
famoso	3
piacevole	15
chef	3
posizione	4
tipo	8
prodotto	7
settimana	5
sugo	11
interno	10
mozzarella	5
accoglienza	8
resto	11
economico	5
verdura	5
pulizia	3
attento	8
negativo	4
consegna	5
lungo	6
comunicazione	3
commensale	5
salmone	3
pizza	78
caldo	12
fungo	7
centro	3
teatro	4
modesto	3
innovativo	3
maleducazione	3
band	3
lento	5
giusto	11
luce	5
panino	21
tavola|tavolo	3
angolo	3
colazione	3
stella	5
cibo	50
largo	3
grado	5
pesante	4
mercato	7
sabato	14
cicoria	8
parcheggio	5
aspetto	3
bibita	9
condimento	5
vicino	12
domicilio	5
menu	19
sottile	3
bar	8
ordine	9
bancone	7
menù	20
soluzione	3
fetta	3
consiglio	29
urlo	3
favore	4
caffè	17
pezzo	11
fidanzato	3
sapore	17
pecca	4
bello	19
bottiglia	10
principale	3
sconto	3
gambero	5
responsabile	4
serata	31
piazza	7
surgelato	3
scoperta	4
vuoto	6
focaccia	7
cucina	36
migliore	7
accogliente	15
specie	5
eccellente	7
alice	5
fisso	4
carta	9
strada	4
dolce	29
particolarmente	5
bagno	4
particolare	5
vivo	8
fermo	3
avviso	7
moderno	6
mediocre	4
vista	6
tardo	4
acqua	9
sbaglio	3
signore	5
zona	22
scarso	9
minuto	10
rovina	3
speciale	6
ristorazione	3
forno	10
posto	5
biscotto	4
caratteristico	3
bravo	5
cassa	6
pessimo	20
alto	13
soddisfacente	4
ripassata	3
risultato	3
enorme	3
italiano	3
ampio	20
sala|sale	5
gustoso	9
aperitivo	16
oliva	4
can	8
pranzo	20
passabile	4
prenotazione	9
domenica	6
guanciale	4
cocktail	8
realtà	4
ordinazione	5
stile	10
trattato	5
possibilità	5
concerto	4
olio	9
squisito	3
simpatico	13
giro	9
formula	7
pizzeria	12
fedeltà	3
vegetariano	6
romano	51
basso	9
gusto	19
americano	4
salso	6
voto	4
cubano	3
insalata	10
gentilezza	4
tagliere	4
quantità	16
mattatoio	5
sera	25
piccolo	17
cameriere	38
giovane	7
noto	11
buffet	10
sala	9
bicchiere	4
preciso	4
calice	4
salsiccia	7
telefono	3
mesa|mese	4
cattivo	3
cioccolato	9
cordiale	8
ricco	3
pubblico	5
collega	7
addio	3
originale	4
proposta	6
orario	3
punto	9
disponibile	15
insapore|insaporo	6
storico	4
parere	3
minimo	4
sfizioso	3
mare	3
mensa	3
carino	27
ambiente	13
raviolo	5
rustico	3
efficiente	6
breve	3
casa	16
pollo	11
baccalà	5
soldo	4
brutto	3
parmigiano	3
cura	6
diverso	16
porzione	12
medio	18
arredo	3
pepe	22
sedia	5
persona	17
costo	12
sufficiente	4
scelta	34
parecchio	3
abbacchio	3
ricerca	3
integrale	3
proprio	16
insieme	3
dimensione	4
caffetteria	3
secondo	20
entrata	3
panna	5
coupon	5
