"";"banalfreq";"X.RATING_1.2";"X.RATING_1.8";"X.RATING_2";"X.RATING_2.2";"X.RATING_2.4";"X.RATING_2.6";"X.RATING_2.8";"X.RATING_3";"X.RATING_3.2";"X.RATING_3.4";"X.RATING_3.6";"X.RATING_3.8";"X.RATING_4";"X.RATING_4.2";"X.RATING_4.25";"X.RATING_4.33";"X.RATING_4.4";"X.RATING_4.5";"X.RATING_4.6";"X.RATING_4.75";"X.RATING_4.8";"X.RATING_5"
"ogni";40;-0,0913;-0,0945;-0,2072;-0,5516;-0,0736;-0,573;-0,1544;-1,2546;-1,0261;0,3305;-0,1729;0,326;1,5311;0,3093;-0,1137;-0,0416;0,4502;-0,0336;0,874;-0,056;-0,3934;0,4882
"pecca";13;-0,0296;-0,0307;-0,0673;0,4713;-0,0239;-0,186;0,5189;0,2158;-0,3331;-0,2252;-0,2925;0,2407;0,5855;0,348;-0,0369;-0,0135;-0,7293;-0,0109;-0,3119;-0,0182;0,192;1,2087
"bello";56;-0,1278;-0,1323;-0,2903;0,2795;-0,1031;-0,8028;-0,2639;1,4128;-0,4311;-0,9722;0,505;-0,5231;-0,2394;0,333;-0,1594;0,9014;-0,5043;-0,047;0,3638;-0,0784;1,6129;-0,3778
"verdura";19;-0,0433;-0,0448;-0,0983;-0,2617;-0,0349;0,3322;-0,2289;-0,211;-0,4869;-0,3293;0,6045;-0,1823;0,7652;-0,4657;-0,054;-0,0197;-0,5071;-0,0159;0,3476;-0,0266;1,2888;0,3957
"piazza";12;-0,0273;-0,0283;-0,0621;-0,1653;-0,0221;-0,1717;-0,1446;1,3378;0,8302;-0,2079;0,3344;0,2631;-0,4125;-0,6347;-0,0341;-0,0125;0,7696;-0,0101;-0,2746;1,4216;-0,4125;-0,3898
"scoperta";10;-0,0228;-0,0236;-0,0517;-0,1377;-0,0184;-0,143;-0,1204;0,8237;-0,2562;-0,1732;-0,225;0,8878;0,2622;-0,1679;-0,0284;-0,0104;0,4609;-0,0084;0,4262;-0,014;-0,3437;-0,3248
"focaccia";18;-0,041;-0,0425;-0,0932;-0,2479;-0,0331;0,9434;-0,2169;-0,564;1,0953;-0,3119;0,2171;-0,1668;-0,6189;-0,1811;-0,0511;-0,0187;-0,4679;-0,0151;1,6775;-0,0252;0,3951;-0,5848
"migliore";36;-0,0821;-0,085;-0,1865;-0,4963;-0,0662;-0,1714;-0,4341;-0,2692;0,4682;-0,6244;-0,8109;-0,4906;0,8705;-0,4023;-0,1023;-0,0374;-0,4553;-0,0302;0,3009;-0,0504;1,2827;1,8868
"cura";15;-0,0342;-0,0354;-0,0776;-0,2066;-0,0276;-0,2146;0,468;-0,4699;0,2312;-0,2599;0,761;0,6082;0,9979;-0,7934;-0,0426;-0,0156;0,2535;1,5446;0,52;-0,021;-0,5157;-0,4873
"eccellente";43;-0,0981;-0,1016;-0,2228;-0,593;-0,0791;-0,2278;-0,5187;-1,3488;-0,2597;-0,3057;-0,4511;-0,3196;1,3784;0,4315;-0,1223;-0,0447;-0,6609;-0,0361;0,5051;-0,0602;0,9789;1,4886
