"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
"0";"12";"0.00";"-2.13";"attesa";"0.14419736"
"0";"12";"0.00";"-2.13";"croccante";"0.14419736"
"0";"12";"0.00";"-2.13";"zucca";"0.14419736"
"0";"12";"0.00";"-2.13";"sugo";"0.14419736"
"0";"12";"0.00";"-2.13";"occasione";"0.14419736"
"0";"12";"0.00";"-2.13";"mozzarella";"0.14419736"
"0";"12";"0.00";"-2.13";"basso";"0.14419736"
"2";"32";"6.25";"-2.08";"cliente";"0.14908655"
"*****";"*";"*";"*";"*";"*"
"3";"42";"7.14";"-2.39";"un_po";"0.1222614"
"*";"*";"*";"*";"*";"*"
"0";"12";"0";"-2.13";"*RATING_4.2";"0.1441974"
"**";"classe";"4";"**";"";""
"****";"18";"123";"14.63";"****";""
" 0";" 28";" 0.00";"-6.21";"pepe";"0.01266912"
" 3";" 53";" 5.66";"-6.00";"romano";"0.01428014"
" 0";" 26";" 0.00";"-5.65";"cacio";"0.01743706"
" 0";" 25";" 0.00";"-5.38";"gustoso";"0.02038045"
"12";"104";"11.54";"-5.16";"ottimo";"0.02305018"
" 0";" 22";" 0.00";"-4.59";"tradizione";"0.03210413"
" 0";" 21";" 0.00";"-4.34";"carciofo";"0.03720121"
" 0";" 21";" 0.00";"-4.34";"carbonaro";"0.03720121"
" 0";" 21";" 0.00";"-4.34";"cordiale";"0.03720121"
" 0";" 21";" 0.00";"-4.34";"classico";"0.03720121"
" 0";" 17";" 0.00";"-3.38";"trattoria";"0.06592518"
" 0";" 17";" 0.00";"-3.38";"pizzeria";"0.06592518"
" 0";" 17";" 0.00";"-3.38";"possibilità";"0.06592518"
" 1";" 27";" 3.70";"-3.31";"pasta";"0.06892544"
" 1";" 27";" 3.70";"-3.31";"tempo";"0.06892544"
" 0";" 16";" 0.00";"-3.15";"mercato";"0.07578732"
" 0";" 16";" 0.00";"-3.15";"pena";"0.07578732"
" 0";" 14";" 0.00";"-2.71";"polpetta";"0.09983002"
" 0";" 14";" 0.00";"-2.71";"quartiere";"0.09983002"
" 0";" 14";" 0.00";"-2.71";"vivamente";"0.09983002"
" 0";" 14";" 0.00";"-2.71";"staff";"0.09983002"
" 0";" 14";" 0.00";"-2.71";"vecchio";"0.09983002"
" 1";" 24";" 4.17";"-2.62";"proprio";"0.10584059"
" 1";" 24";" 4.17";"-2.62";"rapporto";"0.10584059"
" 0";" 13";" 0.00";"-2.49";"accoglienza";"0.11443001"
" 0";" 13";" 0.00";"-2.49";"simpatia";"0.11443001"
" 0";" 13";" 0.00";"-2.49";"ricco";"0.11443001"
" 0";" 13";" 0.00";"-2.49";"baccalà";"0.11443001"
