"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"ottimo";1,008;2,214;1,382;-5,165;-1,646;1,996;-2,945
"locale";1,428;-3,731;4,155;4,586;-0,004;-1,001;-4,538
"buono";2,518;-1,609;1,357;-0,301;0,864;-0,711;-0,496
"prezzo";0,121;2,776;0;-0,206;-0,09;-0,027;-1,503
"qualità";0,342;1,034;-0,546;0,293;-0,342;0,746;-3,413
"servizio";11,312;-7,605;2,189;2,73;1,236;0;-19,279
"pizza";-1,681;-2,82;-0,267;-1,504;0,191;21,309;-0,267
"piatto";8,604;-16,352;5,342;0,238;8,604;-2,092;-5,847
"primo";10,814;-1,188;0,212;0,031;0,276;-0,72;-4,664
"personale";4,226;-0,005;0,037;3,871;-9,423;0,558;-3,868
"romano";13,229;-3,839;-1,505;-6,003;9,491;4,676;-7,893
"cibo";1,992;-0,983;1,991;7,298;-1,879;-0,637;-5,207
"ristorante";19,259;-10,599;14,221;-0,055;2,293;-6,905;-7,671
"gentile";1,163;-0,371;0,212;-0,113;-0,336;1,235;-1,236
"consiglio";0,012;5,921;-0,196;-1,459;-0,991;0,607;-0,931
"cena";0,049;-8,404;3,868;5,064;17,712;-5,118;-8,369
"cucina";10,964;-4,898;-0,235;0,764;7,564;-0,316;-9,884
"vino";10,25;-5,943;11,031;-0,158;1,736;-3,183;-6,937
"tavolo";0,136;-4,769;3,016;2,346;0,136;-0,21;-1,287
"scelta";0,133;-1,577;1,094;3,592;-0,044;-0,346;-1,287
"dolce";4,711;-4,76;0,001;-0,478;2,536;-6,544;4,941
"amico";-0,267;-0,876;-0,087;11,203;-0,267;-0,069;-0,727
"buonissimo";0,049;0,005;-1,621;-0,834;-0,84;0,589;3,868
"solo";0,748;-5,428;-1,449;15,421;0,086;-0,446;-0,438
"pranzo";-0,056;-0,365;0;-1,617;0,95;2,855;-0,314
"antipasto";23,472;-7,813;0,373;-0,021;8,395;-4,575;-6,086
"accogliente";0;0,258;0,546;0,293;-0,342;0,478;-4,13
"sicuramente";-2,866;-2,095;1,9;7,854;0,436;-0,616;-0,727
"gusto";1,304;5,053;-2,486;-1,27;-1,749;-0,083;0,577
"grande";-0,6;4,568;0,009;-0,005;-0,027;-0,839;-0,235
"veloce";-1,081;-1,874;2,147;-0,876;3,69;1,949;-1,801
"bello";0,95;-1,278;3,016;0,168;-0,056;0,006;-2,919
"panino";-2,373;29,677;-0,734;-0,023;-2,373;-1,155;-0,734
"carino";-0,056;-1,278;11,966;-0,506;-2,095;1,329;-1,287
"cameriere";10,25;-8,905;-0,718;9,559;1,736;-1,506;-4,155
"zona";-0,074;0,486;-3,198;1,34;0,148;0,068;-0,294
"piccolo";0,543;-0,115;-0,048;-0,15;0,021;-0,496;0,817
"simpatico";-1,749;2,931;-0,167;0,341;-0,499;1,824;-2,486
"casa";2,257;-0,392;-0,486;-0,054;-1,133;1,458;-0,008
"pepe";13,472;-7,464;-3,198;-6,215;13,472;6,716;-5,814
"disponibile";0,048;0,071;4,491;1,813;-4,697;0,189;-5,78
"carciofo";22,234;-1,019;-4,061;-4,341;10,567;-0,073;-4,061
"anno";1,118;-1,101;0,009;-1,439;-0,027;-2,124;8,936
"serata";-0,245;-5,613;2,67;24,728;0,019;-1,319;-6,647
"sapore";-0,245;0,152;-0,597;4,141;-0,245;-1,319;0,185
"euro";-0,995;-2,776;0,373;0,206;8,395;-2,443;0,373
"ambiente";1,085;-2,525;6,622;-0,004;1,085;-0,104;-5,814
"tipico";8,395;-2,776;-3,428;-0,021;2,557;0,027;-0,385
"menù";5,055;-1,213;1,503;2,744;0,902;-4,575;-6,086
"fresco";0,222;3,852;-0,213;0,001;-2,329;-0,674;0,029
"cacio";10,622;-6,788;-2,754;-5,652;10,622;8,158;-5,287
"sera";0;-2,03;-0,847;1,562;3,424;0,122;-0,847
"secondo";10,622;-4,074;-2,754;0,015;3,646;-0,019;-1,04
"pasta";6,091;-2,283;-0,213;-3,308;6,091;-0,674;0,029
"carbonaro";6,342;-2,711;-0,393;-4,341;15,864;0,145;-4,061
"carne";-0,107;-0,844;5,249;0,55;0,175;-2,224;-0,293
"proprietario";-0,169;0,812;0,005;-1,976;-1,307;2,819;0,005
"eccellente";17,603;-2,776;-0,385;-0,559;-0,995;-0,17;0,373
"cliente";-0,321;-0,639;-2,082;9,559;-0,321;-0,449;0,882
"atmosfera";0,2;-1,101;8,936;-0,402;-0,6;-0,14;-0,235
"musico";0,271;-2,214;9,998;8,871;-3,121;-1,996;-3,604
"ingrediente";-5,511;14,731;0,27;-0,682;-2,91;3,156;-3,664
"gelato";-1,678;-0,544;0,193;-0,297;-1,678;-2,346;25,169
"unico";-2,329;0,648;0,641;-0,344;0,222;-0,053;0,029
"tradizione";27,678;-5,516;-1,935;-4,593;9,635;-0,135;-1,935
"tempo";1,292;-0,869;0,641;-3,308;1,292;-0,053;0,029
"via";-0,624;-0,713;-1,04;1,881;6,679;-3,731;0,81
"proprio";-4,141;5,568;1,231;-2,615;2,078;-1,376;-0,044
"menu";10,622;-6,788;4,752;0,558;1,524;-3,731;-5,287
"medio";0,741;-5,291;5,497;0,131;0,741;-2,682;-0,008
"pieno";1,085;-2,525;-0,294;0,301;0,148;0,068;0,007
"giusto";-0,074;0,486;0,496;1,34;-0,074;-0,819;-1,357
"conto";0,313;-6,788;0,81;0,558;21,242;-3,731;-2,754
"caldo";0,222;3,852;-0,213;0,418;-0,741;-4,006;0,029
"prodotto";-1,795;5,568;-2,333;2,565;-4,141;0,004;0,203
"piacevole";-2,329;-2,283;11,058;9,683;-0,741;-4,006;-0,213
"migliore";3,657;2,819;-1,56;-1,774;0,175;-0,687;-0,293
"diverso";5,688;-0,224;0,428;-0,659;0,052;-1,011;-0,503
"ampio";0,394;-0,529;1,249;0,972;-0,023;-0,411;-1,209
"pesce";0,548;-0,393;1,561;3,448;-0,734;-1,56;-1,044
"trattoria";15,473;-4,061;-1,044;-3,382;15,473;-0,293;-3,164
"rapporto";4,566;0,298;-0,044;-2,615;0,557;0,458;-4,782
"cordiale";0,103;2,365;4,626;-4,341;-3,517;-0,844;0,581
"torta";-1,349;-1,999;-0,06;-1,665;-1,349;-0,189;33,348
"mercato";-0,607;14,084;-2,95;-3,153;-0,607;3,035;-0,885
"alto";0,019;-1,402;-0,624;-0,057;2,407;2,006;-0,624
"supplì";-0,868;-0,529;-3,382;-1,391;1,98;23,912;-3,382
"ragazzo";0,052;0,605;-0,001;1,405;-0,241;-0,135;-1,935
"birra";-1,968;2,646;0,125;0,723;-0,001;-0,002;-2,541
"persona";1,646;-2,214;0,073;2,455;-0,058;-0,543;-0,205
"giorno";1,11;-0,139;0,005;1,707;-0,169;-2,459;0,005
"cortese";1,524;-0,713;0,068;0,015;-4,579;1,125;0,068
"gustoso";-0,001;2,646;12,958;-5,379;-4,358;0,322;-2,541
"caffè";-0,377;-1,1;0,768;0,584;1,258;-3,068;0,768
"aperitivo";-1,512;-0,385;11,962;0,251;-1,512;-0,313;-0,133
"attento";20,629;-1,206;-1,935;-0,021;0,897;-1,011;-1,935
"porzione";0,175;-0,073;0,028;-1,774;1,359;-0,028;0,028
"pizzeria";-0,734;-1,745;-1,044;-3,382;2,367;26,246;-3,164
"pasticceria";-1,349;-1,999;-1,557;-0,096;-1,349;-1,886;45,941
"abbondante";7,071;-2,459;0,028;-0,411;0,175;-0,028;-0,293
"varietà";-3,121;3,34;0,987;-1,58;-1,008;0,379;0,073
"fritto";1,646;-0,68;-0,205;2,455;-3,121;-0,004;0,073
"classico";10,567;-0,139;-1,745;-4,341;-1,307;2,819;0,005
"polpetta";1,258;-0,087;0,003;-2,708;3,957;0,31;-2,534
"pessimo";-0,734;-1,745;-1,044;6,74;9,829;-1,56;-1,044
