id|name|no_review|no_rating|link
91|27. Felice a Testaccio|5650|40|/Restaurant_Review-g187791-d1519608-Reviews-Felice_a_Testaccio-Rome_Lazio.html
91|3. La Fata Ignorante|4605|45|/Restaurant_Review-g187791-d3598856-Reviews-La_Fata_Ignorante-Rome_Lazio.html
91|15. Lo Scopettaro|4331|45|/Restaurant_Review-g187791-d802441-Reviews-Lo_Scopettaro-Rome_Lazio.html
91|La Fontana di Venere|3751|45|/Restaurant_Review-g187791-d1763966-Reviews-La_Fontana_di_Venere-Rome_Lazio.html
91|63. Porto Fluviale|3724|35|/Restaurant_Review-g187791-d3684994-Reviews-Porto_Fluviale-Rome_Lazio.html
91|55. Flavio Al Velavevodetto|3691|40|/Restaurant_Review-g187791-d1878559-Reviews-Flavio_Al_Velavevodetto-Rome_Lazio.html
91|45. Da Bucatino|2664|40|/Restaurant_Review-g187791-d796383-Reviews-Da_Bucatino-Rome_Lazio.html
91|8. Sushisen|2040|45|/Restaurant_Review-g187791-d793647-Reviews-Sushisen-Rome_Lazio.html
91|85. Angelina a Testaccio|1989|35|/Restaurant_Review-g187791-d1968652-Reviews-Angelina_a_Testaccio-Rome_Lazio.html
91|51. Trattoria Perilli|1964|40|/Restaurant_Review-g187791-d785276-Reviews-Trattoria_Perilli-Rome_Lazio.html
91|23. Gelateria La Romana - Roma, via Ostiense|1851|40|/Restaurant_Review-g187791-d6463411-Reviews-Gelateria_La_Romana_Roma_via_Ostiense-Rome_Lazio.html
91|35. Pizzeria da Remo|1775|40|/Restaurant_Review-g187791-d781235-Reviews-Pizzeria_da_Remo-Rome_Lazio.html
91|75. La Dogana Food|1470|35|/Restaurant_Review-g187791-d6103968-Reviews-La_Dogana_Food-Rome_Lazio.html
91|19. Pecorino|1344|40|/Restaurant_Review-g187791-d1077801-Reviews-Pecorino-Rome_Lazio.html
91|6. Trapizzino Testaccio|1344|45|/Restaurant_Review-g187791-d4313949-Reviews-Trapizzino_Testaccio-Rome_Lazio.html
91|12. Sakana Sushi|1298|45|/Restaurant_Review-g187791-d2527304-Reviews-Sakana_Sushi-Rome_Lazio.html
91|61. Da Oio a Casa Mia|1268|35|/Restaurant_Review-g187791-d812379-Reviews-Da_Oio_a_Casa_Mia-Rome_Lazio.html
91|59. Oishi Restaurant|1136|40|/Restaurant_Review-g187791-d5770644-Reviews-Oishi_Restaurant-Rome_Lazio.html
91|44. Doppiozeroo|1120|35|/Restaurant_Review-g187791-d1504821-Reviews-Doppiozeroo-Rome_Lazio.html
91|53. Rec23 Restaurant Emporio Club|979|40|/Restaurant_Review-g187791-d2479482-Reviews-Rec23_Restaurant_Emporio_Club-Rome_Lazio.html
