"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,102643151089302;11,0302994572266;11,0302994572266
"facteur 2";0,0863112626033676;9,27523232619948;20,3055317834261
"facteur 3";0,0579520586956538;6,22767865943332;26,5332104428594
"facteur 4";0,0567015672188647;6,09329759931083;32,6265080421703
"facteur 5";0,0552167534629394;5,93373565881842;38,5602437009887
"facteur 6";0,0534650707402739;5,74549528642143;44,3057389874101
"facteur 7";0,0474273588514268;5,09666709414877;49,4024060815589
"facteur 8";0,0449641624238424;4,83196561207337;54,2343716936323
"facteur 9";0,0432540608561044;4,64819365852129;58,8825653521536
"facteur 10";0,0420151849556372;4,51506083838207;63,3976261905356
"facteur 11";0,0408693619082238;4,39192771937868;67,7895539099143
"facteur 12";0,0397254806398506;4,26900326899143;72,0585571789057
"facteur 13";0,0362628250195556;3,89689730767041;75,9554544865762
"facteur 14";0,0342148475539661;3,6768163330767;79,6322708196529
"facteur 15";0,0330320543072874;3,54971030049298;83,1819811201458
"facteur 16";0,0312744517913784;3,36083377174745;86,5428148918933
"facteur 17";0,030093619355187;3,23393845294858;89,7767533448419
"facteur 18";0,0279059877710038;2,99884988425651;92,7756032290984
"facteur 19";0,0245529018086209;2,63851856279573;95,4141217918941
"facteur 20";0,0230735817774472;2,47954699222574;97,8936687841199
"facteur 21";0,0196005987030618;2,10633121588015;100
