"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"unico";0,10844308923265;1,14739722782371;0,583368558350711;1,11071488937926;0,319390676559992;0,254254096485044;0,0619024046431504;0,65496702450807;0,333003392015546;0,634027700723464;0,182317296930282;0,145135481423164;0,00243464824990132;0,229190994415471;0,0397793233908693;0,141092112820404;0,0113610330581375;0,0069712161748789;4,4238558371882e-05;0,00495250356318182;0,00128021597116797;0,00464090193458479;0,000383744065988754;0,000243182949697814;0,00376181301036792;0,704123366410453;0,00186506820076454
"presente";-1,30258632261779;-0,350186892107907;-0,131057170953287;-0,377249209923622;0,0891920636425652;-0,644773646151397;-0,840370714651836;-0,225924995274788;-0,0845522530844035;-0,243384398132037;0,0575427493464999;-0,415979256342852;0,2388621599548;0,0145168233861597;0,00136519534221457;0,0110676672167112;0,000602459205126747;0,0304852003696295;0,00280219839450197;0,000202528256654327;2,83666095099573e-05;0,000235040406916592;1,31382728601476e-05;0,00068659464041514;0,00165152766308836;0,853881932279971;0,00120415252563861
"amichevole";0,88775227430378;-1,14330250302402;-0,260893299569182;0,106143807017954;-0,435724624033479;2,01449684442569;0,350296131445197;-0,451133109397002;-0,102945288009237;0,0418830410819444;-0,171931578878852;0,794895684118973;0,100011565768475;0,139484657881955;0,00487675999318695;0,000789807123774658;0,0129607979139811;0,268250161370734;0,000867717148947463;0,0014391859217407;7,49411657143904e-05;1,24046328304593e-05;0,000209034900070594;0,00446815032887538;0,0011010184420589;0,89935606626828;0,000890549225360368
"dell";-0,21632409703987;-0,886834518764327;-0,335738966847873;-0,357063837579584;0,63848115273969;-0,0462858590947207;-0,177620156664163;-0,728165231306042;-0,275669741400989;-0,293179241877542;0,524246368890829;-0,0380045573111739;0,0098258505467054;0,138861875492113;0,0133629624053553;0,0147882634288329;0,0460465833060229;0,00023431343047387;0,000141689310366437;0,00238129097175654;0,000341295676427429;0,000386028193002381;0,0012343077364277;6,48670197453887e-06;0,00302780071566199;0,699173260549629;0,00148011993695117
"patatina";-1,1629454298764;0,423999720294957;-0,679459178277344;-0,601688664902454;-1,47012153863703;-1,03821679885865;-0,491650894246762;0,179251610856365;-0,287250548497129;-0,254372013129517;-0,621513744801542;-0,438920180145611;0,0858639948243485;0,00959756476015064;0,0165484776949952;0,0126970013020441;0,0738141784407091;0,0356458266289865;0,00124088638670558;0,000164947025241033;0,000423584526053146;0,000332167400194603;0,00198298682297873;0,000988984421903202;0,00091751536838242;1,27150707002195;0,00148337483174218
"attesa";-1,26491860153089;0,425167034724357;1,58895284318908;1,36009920075201;-0,540912941431133;-1,77690851400785;-0,408135574458294;0,137183366382582;0,512687678604178;0,438846316235183;-0,174529660498103;-0,573333000437117;0,0830814578119832;0,00789288203239578;0,0740184283090265;0,0530621945293472;0,00817286991034888;0,0853983060350436;0,00322969258711578;0,000364884316282105;0,0050963359054345;0,00373402480865198;0,000590596368893382;0,00637332645906769;0,00201853381044133;1,40596824901707;0,00399013008343614
"piacevole";-0,115224579208942;-0,956754198331484;-0,310054280431566;0,275470850297371;-0,955693309618944;0,572330854811578;-0,0752991588601532;-0,62523800793963;-0,20262019334565;0,180019952863264;-0,624544718120331;0,374017698766131;0,00253990968948145;0,147253714954756;0,0103834665529327;0,00801944658595874;0,0939952693499991;0,0326409283602722;4,38536867180107e-05;0,00302354614706828;0,000317534787164116;0,000250649675849898;0,00301684459801952;0,00108195741492767;0,00330305532617671;0,732488787988319;0,0017722207251151
"prodotto";2,33299990290196;1,48770093741361;0,843982661770623;1,427166001207;-1,17217933209879;-0,456845691671702;0,673817050200474;0,429677796377792;0,243759078972634;0,41219409562921;-0,338548843863351;-0,131946176241207;0,442762551270269;0,151394537892965;0,0327150344418585;0,0915283237523138;0,0601271267528235;0,00884342865857903;0,0179781620047583;0,00731050067442222;0,00235278854952742;0,0067276723204003;0,00453841250734787;0,000689374024769599;0,00330305532617671;1,1232961443074;0,00416777614472623
"sugo";-2,22207615883941;-0,216798357659146;3,83007023488989;-1,7626415153273;3,39722684418287;-1,90449475024387;-0,36080454341473;-0,0352021383862589;0,621898910551997;-0,286204892038301;0,551616953143436;-0,309237987214799;0,160317365258239;0,00128325261131083;0,268915017321145;0,0557257296422721;0,20158242880205;0,0613426334860063;0,00634248228090238;6,03744738390531e-05;0,0188432087401278;0,00399088646314107;0,0148248557878442;0,00465908831561524;0,00128452151573539;1,77800772865538;0,00406077261805816
"mozzarella";0,757913730783376;-0,872647366243644;-0,0406597484093708;0,627043614087541;0,490552509859715;-0,428340915773018;0,516304710301625;-0,594463363473059;-0,0276981650691815;0,427153590664375;0,334173351403822;-0,291793674459409;0,0348369874123273;0,0388343552892242;5,66068916420119e-05;0,0131723004096398;0,00785078235392158;0,00579589264735237;0,000737871834694895;0,000978180379976838;2,12359041838579e-06;0,000505052914538169;0,000309109524636693;0,000235678792710684;0,00128452151573539;1,30096156854438;0,00217405395353814
