unico	8
colazione	3
zona	3
onesto	3
artigianale	4
pasticceria	12
barbaro	5
leggero	4
carbonaro	3
tempo	6
alto	5
buonissimo	11
conto	3
tipico	3
pranzo	4
prezzo	11
castagnola	3
gustoso	4
accogliente	5
pizza	5
festa	3
grande	8
ottimo	30
vita	3
oggi	3
pronto	3
delizioso	4
torta	19
giusto	4
atmosfera	6
panino	7
idea	3
squisito	7
simpatico	6
giro	3
buono	19
semplice	3
romano	5
cibo	7
accoglienza	3
gusto	8
cordiale	6
proprietario	8
tortino	3
mattina|mattino	4
sorpresa	3
splendido	3
mercato	7
gentile	4
varietà	4
fantastico	6
qualità	14
gentilezza	3
impasto	3
carne	3
bambino	5
amico	5
primo	15
cioccolato	6
vino	5
locale	15
originale	3
crema	3
ambiente	4
consiglio	10
disponibile	6
carino	4
grazia	5
cena	3
piccolo	9
casa	4
prodotto	11
sapore	5
pecca	3
bello	3
piatto	11
materia	4
esperienza	3
antipasto	4
personale	12
via	3
scelta	4
cucina	5
migliore	7
sicuramente	8
anno	8
dolce	9
pasta	4
super	6
panna	4
eccellente	7
banco	3
vivamente	5
eccezionale	3
familiare	3
diverso	5
vista	3
formaggio	4
ingrediente	8
gelato	8
